MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cアルフレッド\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nJe vous souhaite le bonjour, Votre Divinité !\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リュール\nBonjour, Alfred.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nQuel sourire, ce matin ! Y a-t-il une raison\nparticulière à votre bonne humeur ?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nPlus que vous ne le pensez !\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cアルフレッド\nJ'étais debout avant les premiers rayons de\nl'aube pour ma séance d'exercice, que j'ai\nterminée par une longue course à pied.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nEt pour couronner le tout, me voici ébloui par\nla vision de votre radieux visage ! La vie ne\nme comble-t-elle pas de ses bienfaits ?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nAllons, vous vous moquez.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cアルフレッド\nEn aucune façon ! Vous-même, ne vous\nsentez-vous pas heureu\x0E\x0A\x00\x0A\x02x\x04se à la vue d'un ami ?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リュール\nSi, c'est vrai. C'est toujours une grande joie\nque de voir mes amis.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cアルフレッド\nVous voyez ! Il en va de même pour moi !\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cアルフレッド\nÀ présent, dites-moi ce que je peux faire pour\nvous être utile. Je doute que le quotidien soit\nsimple depuis votre réveil.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cアルフレッド\nIl vous faudra certainement encore quelque\ntemps avant de vous adapter. Faites-moi\npart de vos difficultés, je suis là pour ça !\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nAttendez que j'y réfléchisse... Hmm. Ma foi, non.\nIl n'y a rien qui m'ennuie particulièrement, en\nce moment.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cアルフレッド\nFort bien, voilà qui est heureux ! Néanmoins,\nsi cela changeait, j'insiste pour en être le\npremier informé !\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\nAvant votre départ de Lythos, vous m'avez\ndemandé de vous assister, de vous aider à\nprendre vos marques. Comme à un ami.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cアルフレッド\nQue vous m'offriez ainsi votre amitié...\nJ'en ai conçu une grande joie.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\nJe suis moi aussi très heureu\x0E\x0A\x00\x0A\x02x\x04se de pouvoir\nvous compter parmi mes amis, Alfred.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cアルフレッド\x022\n\x0E\x03\x02\x0A\x08リュール\nBonjour, Alfred. Puis-je vous ennuyer\nun moment ?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nBien évidemment ! Demandez-moi n'importe\nquoi, je vous écoute !\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\nJe vous suis très reconnaissant\x0E\x0A\x00\x06
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nMais voulez-vous bien cesser, s'il vous plaît ?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cアルフレッド\nOh non ! C'est la viande, n'est-ce pas ?\nLa quantité vous a semblé trop imposante ?\nJ'espérais vous aider à prendre des forces...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\nIl est vrai que vos portions suffiraient à nourrir\nun régiment, mais ce n'est pas ce qui m'ennuie.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\nJe me sens terriblement coupable à l'idée\nque vous vous donnez tant de mal chaque\njour simplement pour me servir.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cアルフレッド\nOh, je vois... et j'en suis désolé ! Si je vous ai\ncausé de l'embarras, là n'était certes pas mon\nintention !\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\nJe voulais offrir à mon ami\x0E\x0A\x00\x06
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リュール\nJe vous en remercie, Alfred.\nUne dernière chose...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リュール\nChaque nuit, au moment de m'assoupir,\nj'entends le chant lancinant d'une flûte...\x0E\x04\x00\x00
