MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ルミエル\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08ルミエル\nNous voici. En ces murs, nous devrions\nêtre en sécurité.\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x0A\x08リュール\nAinsi, voici le château de Lythos.\nIl est magnifique.\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0A\x08ルミエル\nT'entendre le dire me ravit, \x0E\x06\x03\x00.\x0E\x04\x02\x00
MID_OP1_#004	Cet endroit ne te rappelle peut-être rien,\nmais j'ai longtemps attendu de t'accueillir\nen son enceinte.\x0E\x04\x02\x00
MID_OP1_#005	Bienvenue à la maison, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x02\x00
MID_OP1_#007	C'est chez moi ?\x0E\x04\x00\x00
MID_OP1_#008	\x0E\x03\x02\x0A\x08ルミエル\nOui, chez toi.\x0E\x04\x02\x00
MID_OP1_#009	Je sens la joie m'irradier. Je pourrais\nmême en pleurer.\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x00\x10\nヴァンドレ\x023\n\x0E\x03\x00\x0C\x06クラン\x024\n\x0E\x03\x00\x0C\x06フラン\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nVotre Majesté Lumera...\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x02\x0A\x08ルミエル\nVander. Clanne. Framme. Merci de tout ce que\nvous avez fait. Vous êtes de valeureux\ngardiens.\x0E\x04\x02\x00
MID_OP1_#012	Vos prédécesseurs et vous avez veillé sur\nmon enfant toutes ces années. Je vous suis\néternellement reconnaissante.\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x0C\nヴァンドレ\nVous êtes trop aimable.\x0E\x04\x00\x00
MID_OP1_#014	\x0E\x03\x02\x08\x06クラン\nAh oui, c'est vraiment gentil de nous\ndire ça ! Je me sens tout bizarre, tout à coup...\x0E\x04\x00\x00
MID_OP1_#015	\x0E\x03\x02\x08\x06フラン\nLa reine Lumera en personne nous a fait\nun compliment ! On est géniaux, c'est tout !\x0E\x04\x00\x00
MID_OP1_#016	\x0E\x03\x01\x0C\nヴァンドレ\n\x0E\x03\x01\x08\x06クラン\n\x0E\x03\x01\x08\x06フラン\n\x0E\x03\x02\x0A\x08ルミエル\nMalgré la joie de nos retrouvailles,\nje suis préoccupée de voir des Aberrations à\nLythos.\x0E\x04\x00\x00
MID_OP1_#017	\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nDes Aberrations ?\x0E\x04\x00\x00
MID_OP1_#018	\x0E\x03\x02\x0A\x08ルミエル\nCes ennemis que tu as affrontés dans\nla plaine.\x0E\x04\x00\x00
MID_OP1_#019	\x0E\x03\x02\x0A\x08リュール\nOh, ces créatures étaient vraiment\népouvantables. J'en ai la chair de poule\nrien qu'à y repenser.\x0E\x04\x00\x00
MID_OP1_#020	\x0E\x03\x02\x0A\x08ルミエル\nC'est tout à fait compréhensible.\nLes Aberrations sont des cadavres\nressuscités par une force maléfique.\x0E\x04\x02\x00
MID_OP1_#021	Le Dragon déchu s'en est servi comme soldats\ndurant la guerre.\x0E\x04\x02\x00
