MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nNous y voilà. Le royaume de Firene.\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x0A\x08リュール\nCet endroit est superbe.\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nN'est-ce pas ? En plus, il n'y a pas l'ombre\nd'une Aberration, ce qui est plutôt bon signe.\x0E\x04\x02\x00
MID_OP1_#004	On a fait une sacrée trotte depuis Lythos,\navec cette traversée. J'espère que vous n'êtes\npas trop éreinté\x0E\x0A\x00\x06
MID_OP1_#005	\x0E\x03\x02\x0A\x08リュール\nJe vais bien, ne vous inquiétez pas.\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nParfait. Au fait, je suis désolé si je vous ai\ndemandé de m'accompagner de façon un peu\ninsistante.\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x0A\x08リュール\nAllons, ce n'est rien. Je voulais venir,\nde toute manière.\x0E\x04\x02\x00
MID_OP1_#008	Pourriez-vous m'en dire davantage au sujet de\nvotre royaume avant que nous n'arrivions\nau château ?\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\nAvec grand plaisir ! Alors, voyons un peu...\x0E\x04\x02\x00
MID_OP1_#010	Firene figure parmi les quatre nations d'Elyos\net se situe au sud-ouest du continent.\x0E\x04\x02\x00
MID_OP1_#011	Ma mère, la reine Ève, en est la souveraine.\nNous sommes connus comme... une patrie\noù les terres sont luxuriantes.\x0E\x04\x02\x00
MID_OP1_#012	Notre peuple prise par-dessus tout la paix.\nNotre nation n'a plus connu la guerre depuis\ndes siècles.\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x0A\x08リュール\nVos souverains doivent sans doute être fort\néclairés, génération après génération.\x0E\x04\x00\x00
MID_OP1_#014	\x0E\x03\x02\x0E\x0Cアルフレッド\nMerci ! Cette remarque est fort aimable.\nPréserver la paix n'est pas toujours aisé.\x0E\x04\x02\x00
MID_OP1_#015	Mère a dû conclure un pacte de non-agression\navec nos voisins.\x0E\x04\x02\x00
MID_OP1_#016	Grâce à lui, aucune guerre ne peut éclater entre\nles royaumes de Solm, Brodia et nous.\x0E\x04\x00\x00
MID_OP1_#017	\x0E\x03\x02\x0A\x08リュール\nAh oui... Solm, le royaume de la liberté,\net Brodia, celui des guerriers.\x0E\x04\x00\x00
MID_OP1_#018	\x0E\x03\x02\x0E\x0Cアルフレッド\nC'est cela. Solm est une contrée de tolérance\nqui a toujours entretenu d'excellentes relations\navec Firene.\x0E\x04\x02\x00
MID_OP1_#019	L'alliance avec Brodia, en revanche, a\nfait l'objet de longues négociations. Le roi\nde Brodia est un être ambitieux.\x0E\x04\x02\x00
MID_OP1_#020	Il n'a de cesse de lancer des assauts sur\nle royaume d'Elusia, dans l'espoir d'étendre\nson territoire.\x0E\x04\x00\x00
MID_OP1_#021	\x0E\x03\x02\x0A\x08リュール\nJ'en conclus qu'Elusia ne fait pas partie\nde cette alliance ?\x0E\x04\x00\x00
MID_OP1_#022	\x0E\x03\x02\x0E\x0Cアルフレッド\nNon. Ce royaume est tellement éloigné\nque nous n'avons quasiment aucun\nlien avec ses sujets.\x0E\x04\x02\x00
MID_OP1_#023	Nous savons juste que les hivers y sont\nlongs et très enneigés, et qu'on y vénère\nle Dragon déchu.\x0E\x04\x00\x00
MID_OP1_#024	\x0E\x03\x02\x0A\x08リュール\nLe Dragon déchu ?\x0E\x04\x00\x00
MID_OP1_#025	\x0E\x03\x02\x0E\x0Cアルフレッド\nCela a de quoi perturber, je le sais.\nMais les gens sont libres de leurs croyances.\x0E\x04\x02\x00
MID_OP1_#026	Désolé... Je n'ai pas dit cela pour vous\nmonter contre Elusia.\x0E\x04\x00\x00
MID_OP1_#027	\x0E\x03\x02\x0A\x08リュール\nN'ayez crainte. Ma haine est uniquement\ntournée contre le Dragon déchu, et contre\nla personne qui a tué ma mère.\x0E\x04\x02\x00
MID_OP1_#028	Pouvez-vous me parler de l'Anneau\nd'Emblème confié à Firene ?\x0E\x04\x00\x00
MID_OP1_#029	\x0E\x03\x02\x0E\x0Cアルフレッド\nEh bien, il s'agit de « l'Anneau de la Tendre\nPrincesse ». Il n'a rien de grandiose, à vrai dire.\x0E\x04\x02\x00
MID_OP1_#030	Avant de vous voir avec Marth, je croyais\nque ces histoires d'Emblèmes n'étaient\nque des légendes.\x0E\x04\x02\x00
MID_OP1_#031	J'ai hâte de dire à ma sœur qu'ils\nsont réels. Elle n'en reviendra pas !\x0E\x04\x00\x00
MID_OP1_#032	\x0E\x03\x02\x0A\x08リュール\nAh, vous avez une sœur ?\x0E\x04\x00\x00
MID_OP1_#033	\x0E\x03\x02\x0E\x0Cアルフレッド\nOui. La princesse de Firene. Céline, de son\nprénom. Elle est au château avec la reine\nen ce moment même.\x0E\x04\x00\x00
MID_OP1_#034	\x0E\x03\x02\x0A\x08リュール\nLa princesse Céline. La rencontrer\nme fera plaisir.\x0E\x04\x00\x00
MID_OP1_#035	\x0E\x03\x02\x0E\x0Cアルフレッド\nAppelez-la simplement Céline. Je suis sûr\nque vous vous entendrez à merveille,\ntou\x0E\x0A\x00\x0C\x02s\x06tes les deux.\x0E\x04\x02\x00
MID_OP1_#036	Voici le village de Florra. Le château est encore\nun peu plus loin. Nous passerons par là, et...\x0E\x04\x02\x00
MID_OP1_#037	Il y a quelque chose d'anormal.\x0E\x04\x00\x00
MID_OP1_#038	\x0E\x03\x02\x0A\x08リュール\nQu'est-ce qui ne va pas ?\x0E\x04\x00\x00
MID_OP1_#039	\x0E\x03\x02\x0E\x0Cアルフレッド\nJe crois que des ennuis nous attendent.\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x02t\n\x0E\x05\x01\x1A\x0Cアルフレッド\nAngry\n\x0E\x03\x02\x0E\x0Cアルフレッド\nOh, non !\x0E\x04\x00\x00
MID_OP3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02b\n\x0E\x05\x01\x14\x08リュール\x08Pain\n\x0E\x03\x02\x0A\x08リュール\nDes Aberrations. Il y en a partout.\x0E\x04\x00\x00
MID_OP3_#002	\x0E\x03\x00\x12\x0Cアルフレッド\x02t\n\x0E\x05\x01\x16\x0Cアルフレッド\x06Sad\n\x0E\x03\x02\x0E\x0Cアルフレッド\nJe ne peux pas supporter de les voir\nenvahir ce paisible village.\x0E\x04\x02\x00
MID_OP3_#003	\x0E\x05\x01\x1A\x0Cアルフレッド\nAngry\nJe dois les chasser, et en vitesse.\nAccepterez-vous de me prêter main-forte,\nVotre Divinité ?\x0E\x04\x00\x00
MID_OP3_#004	\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nOui, évidemment !\x0E\x04\x00\x00
MID_OP4_#001	\x0E\x02\x00\x10\x0EDefault\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08セリーヌ\x022\n\x0E\x03\x00\x0C\x06クロエ\x023\n\x0E\x03\x02\x0A\x08セリーヌ\nNous sommes cernés. Je crains que nous ne\npuissions pas rejoindre mon frère.\x0E\x04\x00\x00
MID_OP4_#002	\x0E\x03\x02\x06\x04ルイ\nPrincesse Céline, je vous en conjure, fuyez.\nNous nous chargerons de cette besogne.\x0E\x04\x00\x00
