MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06クロエ\x022\n\x0E\x03\x02\x08\x06クロエ\nPff... Cette mission prend beaucoup plus\nde temps que je pensais.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06クロエ\nQuand j'en aurai fini avec ça, il sera trop tard.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06フラン\nVous êtes pressée, Chloé ? Ooh, vous voyez\nquelqu'un ce soir ?!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06クロエ\nNon. Je voulais juste essayer ce stand\nqui propose de la cuisine de rue.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06フラン\nUn stand de cuisine de rue ?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06クロエ\nOui. J'ai un petit faible pour les spécialités\nlocales préparées à base d'ingrédients\ninhabituels.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06クロエ\nMais les magasins qui en proposaient étaient\ndéjà rares, et la guerre n'a rien arrangé, bien\nau contraire.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06クロエ\nEt puis on m'a dit qu'un stand de spécialités\nouvrait aujourd'hui, alors je comptais y passer.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06フラン\nSi cela est si important pour vous, je pourrais\ny aller à votre place. Je serai votre coursière\npersonnelle !\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06クロエ\nTu ferais ça pour moi ?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06フラン\nBien sûr ! Je ne suis pas affairée au point\nde devoir m'interdire le moindre détour !\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06クロエ\nOh, merci ! Je pense que je vais accepter\nton offre.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06フラン\nDans ce cas, que puis-je vous rapporter ?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06クロエ\nC'est de la viande de serpent rôtie dans un petit\npain. Ils appellent ça un sandwich au serpent !\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06フラン\nM-Mais pourquoi est-ce qu'on voudrait...\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06クロエ\nLa cuisine de rue est étroitement liée\naux traditions locales.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06クロエ\nEn manger, c'est un peu comme croquer\ndans l'histoire du lieu. C'est ce qui lui donne\ntout son charme.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06フラン\nOh... je vois. Cette logique se tient, dans\nune certaine mesure.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06フラン\nBref, je serai revenue avant que vous ayez\neu le temps de dire « sandwich au serpent » !\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06クロエ\nPrends cet argent. Et achète-t'en un aussi,\non les mangera ensemble !\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06クロエ\x022\n\x0E\x03\x02\x08\x06フラン\nEt un sandwich au serpent pour la dame !\nTenez !\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06クロエ\nMerci ! Je vais y goûter sans attendre !\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06クロエ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06クロエ\nQuel sandwich ! On est d'abord attiré par\nle moelleux du pain, puis le serpent rôti\nexplose en bouche !\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06クロエ\nC'est une cascade de saveurs dès la première\nbouchée ! Je lui donne 12 sur 10 !\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06フラン\nYoupi ! Je suis ravie que ça vous plaise.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06クロエ\nQu'est-ce que... ?!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06クロエ\nIl y a quelque chose qui cloche, dans ce...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06フラン\nHein ?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06クロエ\nTu es sûre que c'est un sandwich au serpent ?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06フラン\nBien sûr que j'en suis sûre. Regardez,\nvous voyez le serpent rôti, là ?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06クロエ\nNon. Ça y ressemble, mais ça n'est pas\ndu serpent.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06クロエ\nSi tu veux mon avis, c'est... de l'anguille ?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06フラン\nHan ! Je crois que vous avez raison...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06フラン\nJe suis désolée, vraiment ! Je m'en souviens\nmaintenant, le stand de sandwichs au serpent\nétait juste à côté d'un stand d'anguilles !\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06クロエ\nOh, alors tu es allée au mauvais stand ?\nFramme...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06フラン\nC'est exactement le genre de bourde que\nje fais tout le temps en tant que gardienne\ndu Dragon. Je suis tellement navrée.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06クロエ\nNe t'en fais pas. Ça a beau être de l'anguille et\nnon du serpent, mon appréciation tient toujours.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06クロエ\nTiens, goûtes-y aussi.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06フラン\nSi vous voulez. Alors...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06フラン\nOh mais j'y crois pas ! C'est toujours\naussi bon, l'anguille ?!\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06クロエ\nJe suis du même avis. J'ai l'impression d'en\nmanger pour la première fois. La vraie saveur\nde l'anguille !\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x08\x06クロエ\nOh, mais j'y pense... J'ai entendu dire qu'un\nautre stand de cuisine de rue allait bientôt\nouvrir.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x08\x06クロエ\nÇa te dérangerait d'aller m'acheter d'autres\nplats à base d'anguille ?\x0E\x04\x00\x00
