MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06フラン\x022\n\x0E\x03\x02\x08\x06フラン\nL'heure est venue, Président Clanne.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06クラン\nQuand tu veux, Présidente Framme.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06フラン\nDans ce cas... Je déclare ouverte l'assemblée\ndu fan-club du Dragon divin !\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06フラン\nYouhou !\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06クラン\nOuaiiis !\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06フラン\nAhem. Le premier point à l'ordre du jour\nconcerne la recherche de nouveaux membres.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06フラン\nPrésident Clanne, tu as la parole.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06クラン\nJe pense qu'il faudrait mener une action\nretentissante pour que les foules nous rallient\nen masse.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06フラン\nJe plussoie !\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06フラン\nIl ne reste qu'une seule question... Que faire ?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06クラン\nJ'ai une petite idée.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06クラン\nEt si on répandait notre message en écrivant\ndes ouvrages ?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06フラン\nContinue, je t'écoute.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06クラン\nEn fait, tout le monde a entendu parler du\nDragon divin. Mais bien peu connaissent\nla personne derrière le titre.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06クラン\nToi et moi, on pourrait expliquer au monde\nqui est en réalité Sa Divinité.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06フラン\nOh... carrément ! Attends, je continue !\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06フラン\nEuh... euh, ça y est ! On met le visage\nmajestueux de Sa Divinité en couverture,\net on appelle l'ouvrage...\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06フラン\n« Le Dragon divin : portrait intime »\nBoum !\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06フラン\nEt dedans, on met tous les détails croustillants\nqu'on peut rassembler sur \x0E\x0A\x00\x12\x06lui\x08elle !\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06フラン\nSes plats préférés, ses armes préférées, ses\nastuces coiffure, sa pointure de chaussures !\nUne enquête approfondie et sans concession !\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x08\x06クラン\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x08\x06フラン\nIl y a quelque chose qui te gêne.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x08\x06クラン\nEn fait, j'adore ! C'est beaucoup moins guindé\net formel que ce à quoi je pensais.\x0E\x04\x00\x00
MID_RELIANCE_C_#024	\x0E\x03\x02\x08\x06クラン\nTout à fait le style d'idées brillantes\nque j'attends de Madame la Présidente !\x0E\x04\x00\x00
