MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nBonjour, Boucheron. Je vous ai préparé un\ndéjeuner. Cela ne vous dérange pas, j'espère.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nブシュロン\nOh, vraiment ? Vous avez fait ça pour moi ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nRien que pour vous. Ce sont des brochettes\nde poulet avec des légumes rôtis.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPour l'accompagnement, nous avons une petite\nomelette, du pain légèrement grillé et des fruits\nfrais en guise de dessert.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nブシュロン\nJe n'en reviens pas. Quelle bonne odeur,\net quelle présentation quasi-professionnelle !\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPardonnez cet excès de perfection...\nVous craignez sans doute de compromettre\nl'équilibre du cosmos rien qu'en y touchant.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMais j'espère que vous en trouverez la force.\nAprès tout, j'ai préparé tout cela pour vous.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nブシュロン\nN'ayez crainte, je vais m'y atteler\nsans attendre.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nブシュロン\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nブシュロン\nC'est aussi bon que l'odeur le laissait présager !\nJ'ai rarement mangé de repas aussi délicieux.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPardonnez-moi, mais... N'avez-vous rien d'autre\nà ajouter ?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nブシュロン\nPlaît-il ?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIl me semble que je mérite un peu plus de\nreconnaissance. Pourriez-vous développer\nvotre pensée, je vous prie ?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nブシュロン\nVous voulez d'autres compliments ?\nQue puis-je ajouter ?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cゴルドマリー\nQue pouvez-vous ajouter ?!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMes excuses, mais je ne saurais répondre\nà une question aussi rustre.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nブシュロン\nJe sens une soudaine pointe d'amertume.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIl y a une infinité de manières de complimenter\nla perfection. Vous n'en avez employé aucune.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNe pouvez-vous pas y réfléchir encore un peu ?\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0C\nブシュロン\nVous savez, Goldmary, je commence à me dire\nque vous êtes un tantinet exigeante.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nMerci pour vos gentils compliments au sujet\ndu repas que je vous ai préparé, l'autre fois.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nブシュロン\nEh bien, vous m'aviez quasiment mis le couteau\nsous la gorge.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nVos compliments m'ont tant réjouie que\nj'ai décidé de vous préparer un autre repas.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nブシュロン\nMerci, mais j'ai apporté mon propre sandwich,\naujourd'hui.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\nVous n'y accorderez même plus un regard\nquand vous aurez vu ce que j'ai ici.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nブシュロン\nOuah !\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cゴルドマリー\nŒufs brouillés moelleux, pétoncles grillés\net enveloppés dans du lard... et fruits frais,\ncela va sans dire.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPardonnez-moi si mes talents sans égal élèvent\nce simple plat à d'insupportables hauteurs de\ndivinité.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nブシュロン\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nブシュロン\nC'est tentant, ne vous méprenez pas. Mais\nje vais tout de même me cantonner à mon\nsandwich.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAllez-vous vraiment ignorer cette perfection\nculinaire et vous contenter de cette\ncochonnerie ?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nブシュロン\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSi tel est vraiment votre désir, il ne me reste\nplus qu'à jeter tout ceci.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nブシュロン\nHé, ho, vous n'allez tout de même pas gaspiller\nce plat ! Je vais le manger, je vais le manger !\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nブシュロン\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nブシュロン\n... C'est divin ! À l'instant où les aliments ont\ntouché ma langue, mon être entier s'est mis\nà frissonner de joie !\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPas mal, pour une introduction... Mais vous\ndevez avoir bien plus que cela à dire.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nブシュロン\nVous plaisantez ?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cゴルドマリー\nVous vous êtes bien défendu, la dernière fois,\nmais ne vous reposez pas sur vos lauriers.\nAllez, surpassez-vous.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nブシュロン\nCe que je viens de dire n'était pas suffisant ?!\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cゴルドマリー\nVous avez fait un commentaire général.\nQu'en est-il de chacun des ingrédients ?\nSoyez exhaustif.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0E\x0Cゴルドマリー\nVous pourriez aussi donner votre avis sur\nmes choix de présentation.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJe suis exigeante, je sais. Mais si vous ne\ntrouvez pas l'inspiration, je me verrai dans\nl'obligation de reprendre ce plat.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0C\nブシュロン\nOoh, évidemment ! Je savais que vous me feriez\nce coup, mais je me suis quand même laissé\navoir...\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0E\x0Cゴルドマリー\nCe plat vous a-t-il fait avaler votre langue\nau point que vous soyez incapable de\nprononcer le plus petit compliment ?\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0E\x0Cゴルドマリー\nS'il vous handicape tant, je ferais mieux\nd'extraire ce poison de votre corps avant\nqu'il ne fasse d'autres dégâts...\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x0C\nブシュロン\nOh, c'est inutile. Je vous ferai tous les\ncompliments que vous voudrez. Mais laissez\nmon corps tranquille...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nブシュロン\nGoldmary ? Que faites-vous assise\ndans votre coin ?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nOh, bonsoir Boucheron...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJ'ai préparé des repas pour tout le monde\nou presque, et je n'ai reçu que bien peu de\ncompliments.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIls disent tous que j'en demande trop.\nAlors j'ai bien envie d'abandonner...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nブシュロン\nJe vous plains. Ces gens ont beaucoup\nà apprendre.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cゴルドマリー\nVous le pensez ?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nブシュロン\nIls ne sont pas conscients de ce que vous\nattendez d'eux. Vous êtes pratiquement\nchampionne du monde de pêche au compliment.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nブシュロン\nEn ce qui me concerne, je m'y suis habitué.\nJe trouve même cela plutôt mignon.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cゴルドマリー\nBoucheron... Vous m'en voyez ravie.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nブシュロン\nVotre exigence est votre façon d'être adorable.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nブシュロン\nEt aussi longtemps que je le pense, qu'importe\nl'opinion des autres.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nOh, merci. Je me sens beaucoup mieux.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEt maintenant que mon sourire vaut à nouveau\ntout l'or du monde, je vais vous remercier avec\ndes petits plats.\x0E\x04\x00\x00
