MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nエーティエ\x022\n\x0E\x03\x02\x0A\x08リュール\nHa ha !\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nエーティエ\nPardon ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nエーティエ\nQu'y a-t-il ? Vous me regardez d'un air bizarre.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リュール\nDésolé\x0E\x0A\x00\x06
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nエーティエ\nY a-t-il donc quelque chose qui cloche\ndans mon apparence ?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08リュール\nOh, non ! Ce n'est pas du tout ça !\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nエーティエ\nEh bien, dites-moi ce qui vous fait rire, alors !\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\nHa ha ha !\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リュール\nHum... Pardon. Eh bien voilà : vous avez\ntoujours l'air si sûre de vous... Vous en\nêtes consciente, non ?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nエーティエ\nEt ?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リュール\nJe me faisais la réflexion que cela se reflétait\nmême sur votre visage.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リュール\nVous rayonnez d'assurance. Rien qu'à vous\nregarder, on se sent plein de confiance en soi.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nエーティエ\nEt c'est pour cela que vous me dévisagiez ainsi.\x0E\x04\x00\x00
