MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04不明\x021\n\x0E\x03\x02\x06\x04不明\nDoit-on conserver son innocence, en s'attachant\naux préceptes enseignés par sa maison ?\x0E\x04\x02\x00
MID_OP1_#002	Ou doit-on saisir la victoire, les mains maculées\ndu sang de ses compagnons d'autrefois ?\x0E\x04\x02\x00
MID_OP1_#003	La souffrance jadis intolérable est devenue\nun tendre souvenir, une chimère inaccessible.\x0E\x04\x02\x00
MID_OP1_#004	Mais moi, je connais la vérité.\x0E\x04\x02\x00
MID_OP1_#005	En ce monde, nulle éternité.\nLe moment est enfin venu d'ouvrir les yeux...\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x14\x0EE006_エル\x021\n\x0E\x03\x00\x18\x12E005_Boss\x022\n\x0E\x03\x00\x0E\x08リュール\x023\n\x0E\x03\x00\x1C\x16E006_セレスティア\x024\n\x0E\x03\x02\x14\x12E005_Boss\nJe me rappelle quand nous étions jeunes.\x0E\x04\x02\x00
MID_OP2_#002	Tu te réveillais toujours après moi. Et j'attendais\nimpatiemment ton réveil pour me lever.\x0E\x04\x02\x00
MID_OP2_#003	Dehors, le monde m'était hostile.\nJe ne pouvais rien faire sans toi.\x0E\x04\x02\x00
MID_OP2_#004	Malgré tous mes efforts, j'étais incapable de me\ntransformer. J'étais un enfant honni. Un raté.\x0E\x04\x02\x00
MID_OP2_#005	J'étais convaincu de ne pas survivre.\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x02\x10\x0EE006_エル\nTu avais si peu... d'espérance.\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x14\x12E005_Boss\nTe voilà réveillée. Je te préviens, il serait\nmal avisé de songer à quitter cet endroit.\x0E\x04\x02\x00
MID_OP2_#008	Si tu te transformes pour t'envoler, je\nn'hésiterai pas à t'arracher les membres...\x0E\x04\x00\x00
MID_OP2_#009	\x0E\x03\x02\x10\x0EE006_エル\nTu dois cesser cette folie, Nil.\x0E\x04\x02\x00
MID_OP2_#010	Ta quête de pouvoir n'a aucun sens... Ce monde\nsur lequel tu veux régner est vide, désormais.\x0E\x04\x02\x00
MID_OP2_#011	Il ne reste plus que toi et moi.\x0E\x04\x00\x00
MID_OP2_#012	\x0E\x03\x02\x14\x12E005_Boss\nRien ne compte plus que le pouvoir.\x0E\x04\x02\x00
MID_OP2_#013	Peu m'importe ce monde. S'il doit être détruit\npour atteindre mon objectif, qu'il en soit ainsi.\x0E\x04\x02\x00
MID_OP2_#014	Mais tu ne peux pas comprendre.\nTu n'as jamais connu la faiblesse, toi.\nNi les humiliations.\x0E\x04\x00\x00
MID_OP2_#015	\x0E\x03\x02\x10\x0EE006_エル\nTout cela appartient au passé. Tu as ici\ndes camarades qui t'estiment.\x0E\x04\x02\x00
MID_OP2_#016	Souviens-toi de nos moments passés ensemble\nau château de Lythos. Comme une vraie famille.\x0E\x04\x00\x00
MID_OP2_#017	\x0E\x03\x02\x14\x12E005_Boss\nDétrompe-toi, je n'éprouve que de l'aversion\npour cette époque.\x0E\x04\x00\x00
MID_OP2_#018	\x0E\x03\x02\x10\x0EE006_エル\nTu ne parles pas sérieusement...\x0E\x04\x00\x00
MID_OP2_#019	\x0E\x03\x02\x14\x12E005_Boss\nEt arrête avec cette histoire de famille. Si tu\nsavais combien je me délecte de cette ironie\ndu sort ! Oh, mais laisse-moi t'éclairer...\x0E\x04\x02\x00
MID_OP2_#020	Je ne suis pas ton frère jumeau.\x0E\x04\x00\x00
MID_OP2_#021	\x0E\x03\x02\x10\x0EE006_エル\n...\x0E\x04\x00\x00
MID_OP2_#022	\x0E\x03\x02\x14\x12E005_Boss\nJ'ai pris la place de ce pauvre Nil\nquand nous étions enfants.\x0E\x04\x02\x00
MID_OP2_#023	Ton frère jumeau ? Celui que tu tenais tant\nà protéger, au point de défier notre père\net de mettre ta propre vie en péril ?\x0E\x04\x02\x00
MID_OP2_#024	Il est mort depuis longtemps déjà.\x0E\x04\x00\x00
MID_OP2_#025	\x0E\x03\x02\x10\x0EE006_エル\n...\x0E\x04\x00\x00
MID_OP2_#026	\x0E\x03\x02\x14\x12E005_Boss\nTu comprends, à présent ? Tu es toute seule.\x0E\x04\x02\x00
MID_OP2_#027	Ton cher Dragon divin, les Quatre Zéphyrs,\nton véritable frère... Il ne reste plus personne !\x0E\x04\x02\x00
MID_OP2_#028	Ha ha ! Cette révélation n'est-elle pas\nmagistrale ?!\x0E\x04\x02\x00
MID_OP2_#029	Tu vois, tu peux m'affronter sans remords !\nEt au terme de notre confrontation...\x0E\x04\x02\x00
MID_OP2_#030	Tu pourras mettre fin à ma misérable vie.\x0E\x04\x00\x00
MID_OP2_#031	\x0E\x03\x02\x10\x0EE006_エル\nQu'est-ce que tu racontes ?\x0E\x04\x00\x00
MID_OP2_#032	\x0E\x03\x02\x14\x12E005_Boss\nEnfant, j'étais un paria esseulé. Je ne me\nrappelle même pas le visage de mon jumeau.\x0E\x04\x02\x00
MID_OP2_#033	Je savais que mon usurpation était\nimpardonnable, mais il fut un temps où...\nj'affectionnais vivre sous les traits de ton Nil.\x0E\x04\x02\x00
MID_OP2_#034	Tu étais si gentille et généreuse avec moi.\nSi attentionnée. Je te considérais vraiment\ncomme ma propre sœur...\x0E\x04\x02\x00
MID_OP2_#035	Oui, le souvenir de nos moments passés\nensemble au château de Lythos est\nréconfortant...\x0E\x04\x02\x00
MID_OP2_#036	Mais c'est un souvenir que j'ai volé à quelqu'un\nd'autre. Cette souffrance... est intolérable...\x0E\x04\x02\x00
MID_OP2_#037	Je t'en prie, mets-y un terme.\x0E\x04\x00\x00
MID_OP2_#038	\x0E\x03\x02\x10\x0EE006_エル\nJe ne comprends pas, Nil... Que t'arrive-t-il ?\x0E\x04\x00\x00
MID_OP2_#039	\x0E\x03\x02\x14\x12E005_Boss\nNon... Argh, mais qu'est-ce que je dis ?\n« Je t'en prie, mets-y un terme... »\nCes paroles sont pathétiques !\x0E\x04\x02\x00
MID_OP2_#040	Père a posé la main sur moi... en m'appelant\nson héritier légitime !\x0E\x04\x02\x00
MID_OP2_#041	Je ne peux m'arrêter avant d'avoir satisfait\nses ambitions !\x0E\x04\x02\x00
MID_OP2_#042	C'est le grand dessein qu'il avait pour moi.\nSinon, il ne m'aurait pas appelé son héritier.\x0E\x04\x02\x00
MID_OP2_#043	À moins qu'il ne m'ait trompé. Ou pris en pitié...\nArgh ! Cette douleur... elle ne s'arrête pas !\x0E\x04\x00\x00
