MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08パンドロ\nDites, Dame Veyle, je peux vous parler une\nseconde ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ヴェイル\nMais bien sûr !\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08パンドロ\nVous savez qu'en tant qu'homme d'Église,\nje vénère le Dragon divin.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08パンドロ\nDu coup, je me demandais si je pourrais pas\nvous prier, vous aussi ?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ヴェイル\nEh bien...\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ヴェイル\nJe ne suis pas sûre que ce soit une bonne idée.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08パンドロ\nPourquoi ça ? Vous êtes un dragon, non ?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08パンドロ\nC'est des créatures sacrées, les dragons.\nIl n'y a rien d'anormal à ce que les humains\nleur vouent un culte.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08ヴェイル\nJe comprends bien, mais je ne suis pas un\nDragon divin. Je suis un Dragon déchu.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ヴェイル\nPuisque vous vouez un culte au Dragon divin,\nne croyez-vous pas qu'il serait « mal » de me\nvénérer ?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08パンドロ\nDivin, déchu... ça fait pas grande différence,\ntout ça.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ヴェイル\nMais vous savez ce que j'ai fait, n'est-ce pas ?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ヴェイル\nVos ouailles risqueraient de s'en prendre à vous\nsi vous décidiez de prier un être tel que moi.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08パンドロ\nBah, on est ouverts d'esprit, à Solm.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08パンドロ\nSi on me voit en train de vous prier, vous allez\nvoir qu'ils vont tous vouloir faire pareil !\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ヴェイル\nJe ne suis pas sûre que ce soit une bonne\nchose.\x0E\x04\x00\x00
