MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nBonjour, Chloé. Je ne m'attendais point\nà vous voir ici.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06クロエ\nOh, bonjour, Citrinne. Je suis simplement\nvenue chercher mon déjeuner.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06クロエ\nCe plat est vendu uniquement à ce stand,\nmais il vaut le détour. C'est mon préféré,\nen tout cas.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nシトリニカ\nAh oui ? Eh bien, si ce plat est si délicieux,\nj'y goûterais volontiers.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nシトリニカ\nEt d'ailleurs, je vous invite ! Monsieur ?\nJe vous achète tout.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06クロエ\nVous allez acheter tout son stock ?!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nシトリニカ\nNe nous tracassons pas pour une poignée\nde piécettes. Nous pourrons ainsi partager\nles restes avec les autres.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nシトリニカ\nMon bon monsieur, merci de nous emballer\nle tout. Et pour votre peine, voici un léger\npourboire.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nシトリニカ\nOh ! S'agirait-il de...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06クロエ\nC'est de la cuisine de rue ! Des tripes de\npoisson marinées au sel, en l'occurrence !\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nシトリニカ\nOh. C'est tout à fait... charmant !\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06クロエ\nOh, je suis désolée. J'adore manger ce genre\nde choses. J'imagine que pour vous, ce doit\nêtre peu ragoutant.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nシトリニカ\nPas du tout. Il est essentiel de goûter\ntout mets avant de se faire un avis !\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nシトリニカ\nTenez, Chloé, voilà votre portion.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06クロエ\nOh, merci ! Vous m'en laissez quasiment\nla totalité !\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nシトリニカ\nÀ présent, ne m'en veuillez pas, mais je dois\nm'en aller.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06クロエ\nCe doit être important. Vous avez un air\nbien sérieux, tout à coup.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nシトリニカ\nOui, ça l'est. Enfin, ça l'est pour moi.\nAu revoir.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06クロエ\nAu revoir. Et merci de m'avoir acheté une\nsi grosse portion de mon plat de rue préféré !\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nChloé, comme nous nous retrouvons !\nQue mangez-vous là ? De la cuisine de rue ?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06クロエ\nEh oui ! Cette grenouille bouillie est délicieuse.\nVous devriez y goûter !\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nシトリニカ\nAh, non merci. Je sors justement d'un\ndéjeuner plutôt copieux.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nシトリニカ\nEuh...\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nシトリニカ\nChloé, vous avez eu une enfance aisée,\nn'est-ce pas ?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06クロエ\nOui, on peut dire ça. En tout cas, mes parents\nsont des nobles.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nシトリニカ\nNous avons cela en commun.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nシトリニカ\nJe suis moi-même noble. Pour tout vous dire,\nles membres de la famille royale sont mes\ncousins, et je n'ai jamais manqué de rien.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nシトリニカ\nEt pourtant...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06クロエ\nHmm ?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nシトリニカ\nComment êtes-vous devenue vassale ?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06クロエ\nEh bien... j'ai décroché l'examen de la\nchevalerie, puis j'ai obtenu cet emploi.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nシトリニカ\nC'est formidable. C'est la preuve que vous\navez les qualités requises pour être vassale.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06クロエ\nJ'ignore comment ça marche chez vous,\nmais vous êtes aussi la vassale d'un membre\nd'une famille royale.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nシトリニカ\nSi je suis devenue vassale, ce n'est pas grâce\nà mes qualités, mais aux relations de ma famille.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06クロエ\nEt pour vous, c'est une mauvaise raison ?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nシトリニカ\nEh bien, s'il n'en allait que de ma fierté\nmeurtrie, je n'en ferais pas grand cas.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nシトリニカ\nHélas... ma faiblesse pourrait causer\nbien des torts à Son Altesse.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nシトリニカ\nJ'ai donc le plus grand mal à passer outre.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06クロエ\nJe vois.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nシトリニカ\nPardonnez-moi, mais je dois vous quitter.\nJ'ai une fois de plus quelque chose à faire.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06クロエ\nD'accord. J'étais contente de parler\navec vous. À la prochaine, Citrinne.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nHa !\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nシトリニカ\nNon, ce n'est pas suffisant.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nシトリニカ\nJe dois encore m'entraîner pour m'améliorer.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nシトリニカ\nC'est seulement en m'améliorant que\nje pourrai protéger mes proches...\x0E\x04\x00\x00
