MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\nEsprits des cartes, éclairez-moi de votre\ndivine lumière afin que j'entrevoie la voie\nque je devrai suivre !\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08セアダス\nAaaah !\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06クロエ\nSeadall ! Je t'ai entendu crier !\nQue se passe-t-il ?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08セアダス\nOh, Chloé. Je suis en train de lire les cartes.\nL'enjeu est très important.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06クロエ\nEt donc, tu cries quand tu lis les cartes ?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08セアダス\nRegardez cela.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08セアダス\nIci, juste devant moi. Cette viande qui grésille\nsur le feu, juteuse à souhait. Ah, j'en ai l'eau\nà la bouche.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08セアダス\nMais ma danse sera moins rigoureuse\nsi je laisse ma passion pour la bonne\nchère me submerger.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08セアダス\nMon corps est un temple que je dois\nabsolument préserver. Alors je m'assieds ici\net je consulte les cartes.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06クロエ\nAh, voilà qui paraît amusant.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06クロエ\nEt les cartes ? Qu'est-ce qu'elles t'ont dit ?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08セアダス\nCela me peine de l'avouer, mais il semblerait\nque je ne sois pas destiné à savourer\ncette viande.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06クロエ\nEh bien cela en fera plus pour moi !\x0E\x04\x00\x00
