MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nEnfin, Clanne... Je te *retrouve*.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06クラン\nAah !\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06クラン\nVous m'avez collé une de ces trouilles !\n... Hm, vous êtes Zelkov, pas vrai ?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nC'est exact. Intéressant... Y a-t-il un aspect\nparticulier de ma personne qui t'a *collé une\nde ces trouilles* ?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06クラン\nEuh, je dirais que c'est surtout votre visage...\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nTu veux dire que j'ai une *physionomie* qui met\nmal à l'aise ?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06クラン\nEuh, hm, c'est-à-dire que...\nJe peux faire quelque chose pour vous ?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ゼルコバ\nTu peux. Je vais te poser une question,\net tu vas me répondre *immédiatement*.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06クラン\nGloups !\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06クラン\nJ-J'ai fait quelque chose qu'il ne fallait pas ?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nPas encore. Mais cela va bientôt *changer*.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06クラン\nQ-Qu'est-ce que vous voulez dire ?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ゼルコバ\nVois-tu, j'ai un problème. Et seules tes\ncompétences *particulières* peuvent m'aider\nà le résoudre.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06クラン\nQuelles compétences ? J-Je n'ai pas\nde connaissances... en matière de crime.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nQu'insinues-tu ? Parle. Que ta voix tranche\nle silence comme une *lame*.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nDans le cas contraire, je comprendrai que tu\nn'as pas la *volonté* de m'aider.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06クラン\nNon, non, non ! P-Pas de souci ! Ha ha !\nJe me ferai un plaisir de vous assister !\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06クラン\nC'est juste que... arrêtez de faire cette tête\nd'épouvante !\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08ゼルコバ\nExcellent. Je t'en remercie. À présent, que cette\ndiscussion reste *exclusivement* entre nous.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x08\x06クラン\nOh là là... Oh non... Dans quel bourbier me\nsuis-je mis... ? Il va sûrement me forcer à faire\nquelque chose d'horrible !\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06クラン\nEt s'il voulait que je sois le complice\nd'un crime ? Je ne peux pas faire ça !\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ゼルコバ\nL'heure est venue, Clanne. Tu dois partager\navec moi ton art des *légumes marinés*.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06クラン\nPardon ?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ゼルコバ\nLes *légumes marinés*, Clanne. Il faut que je\nmaîtrise leur préparation. Et tu vas m'apprendre.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nIl se murmure que tes talents sont inégalés dans\nle domaine. Les gens se tromperaient-ils ?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06クラン\nNon, c'est exact. Je prends beaucoup de plaisir\nà préparer des légumes marinés.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06クラン\nAlors cette compétence que j'ai et dont\nvous avez besoin... c'est la marinade ?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06クラン\nQuel soulagement ! Je craignais que vous ne\nme demandiez... je ne sais pas, quelque chose\nde malveillant.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nJe t'assure que mes aspirations en matière\nde *marinade* n'ont rien d'infâme.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nÀ présent, j'espère que nous en avons fini\navec les *billevesées*. L'heure est grave.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nJe me suis récemment pris *d'intérêt* pour\nles arts culinaires.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06クラン\nOh, vous vous lancez dans la cuisine ?\nC'est une bonne idée. Très bonne, même !\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nJ'ai percé les secrets de nombreux plats.\nMais une certaine sauce à base de *légumes\nmarinés* émincés me donne du fil à retordre.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nIl me faut encore *perfectionner* ma technique.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06クラン\nEt si vous... achetiez simplement des légumes\nmarinés au marché ?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ゼルコバ\nEt atteindre les sommets sur la base d'une\nusurpation ?! Hors de question. Les *légumes\nmarinés* doivent être le fruit de mon labeur.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06クラン\nAah... Voilà pourquoi vous avez besoin de moi.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06クラン\nOK, pas de problème. Je vous enseignerai avec\nplaisir ce que je sais sur la préparation des\nlégumes marinés.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08ゼルコバ\n*Fantastique* !\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06クラン\nBon, puisque je suis votre professeur, j'attends\nque vous soyez un élève attentif.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08ゼルコバ\nCela va de soi. L'avenir de ma *sauce*\nen dépend.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nArgh...\x0E\x04\x00\x00
