MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x08\x06クラン\nPrince Fogado, j'ai une question.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nフォガート\nOui ? Lance-toi, je t'écoute.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06クラン\nVous mangez quoi, au petit-déjeuner ?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nフォガート\nOh. Je ne m'attendais pas vraiment à ça.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06クラン\nS'il vous plaît ? J'ai vraiment envie de savoir.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nフォガート\nBon, d'accord. Eh bien d'habitude, je mange\ndes fruits tropicaux.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06クラン\nD'accord, je vois. Et vous les mangez frais,\nou préparés ?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nフォガート\nClanne, pourquoi mon petit-déjeuner\nt'intéresse-t-il à ce point ?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06クラン\nOh, euh... Bon, inutile de tourner autour du pot.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06クラン\nMoi, on me traite comme un enfant. Mais vous,\nvous êtes la définition même d'un homme !\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nフォガート\nAha, merci ! Si tu le dis...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06クラン\nVous n'êtes pas beaucoup plus vieux que moi,\nalors vous devez avoir un secret qui m'échappe.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nフォガート\nD'où la question de ce que je mange\nau petit-déjeuner.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06クラン\nExact ! Si ça ne vous dérange pas trop,\nj'aimerais vous accompagner quelque\ntemps et en apprendre plus sur vous.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06クラン\nEn vous observant de plus près, je découvrirai\npeut-être le secret pour devenir un homme !\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nフォガート\nBien sûr, pourquoi pas ? Ça a l'air amusant !\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06クラン\nMerci, merci beaucoup ! Je vous promets que\nvous ne remarquerez même pas ma présence.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x08\x06クラン\nMerci de m'avoir laissé vous suivre aujourd'hui !\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nフォガート\nMais aucun problème. As-tu rassemblé des...\ndes données intéressantes ?\x0E\x04\x00\x00
