MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nSalut, Lindon ! Ma sœur vous demande.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リンデン\nAh, je vous remercie, Princesse Hortensia.\nToutes mes excuses pour vous avoir fait\ndéplacer.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nC'est rien du tout, je passais justement par ici,\nvous étiez sur mon chemin. Tiens, il est bien\njoli, ce tableau !\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cオルテンシア\nQuelle femme ravissante... S'agit-il de votre\nfille ?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リンデン\nCe charmant portrait représente mon épouse,\nplus charmante encore.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\nC'est vrai qu'elle est sublime ! Vous avez bien\nde la chance !\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リンデン\nSi elle était là, je suis certain que votre\ncompliment lui ferait grand plaisir.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\nJ'espère que vous nous la présenterez à\nl'occasion. Je serais ravie de faire sa\nconnaissance.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リンデン\nMalheureusement, cela ne sera pas possible.\nElle n'est plus de ce monde depuis quelque\ntemps déjà.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cオルテンシア\nOh non ! Je l'ignorais ! Je suis confuse...\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リンデン\nHmm... Ce n'est rien, Princesse Hortensia.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リンデン\nNous avons élevé trois beaux enfants ensemble.\nIls sont grands, aujourd'hui, et vivent leur vie\nde leur côté.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リンデン\nEt puis j'ai eu l'occasion de former de jeunes\nmages qui m'ont tenu compagnie. Mon épouse\nme manque, mais elle est en paix.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cオルテンシア\nVous avez accompli de grandes choses.\nJe suis sûre que votre femme serait très\nfière de vous.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cオルテンシア\nDites, Lindon... Vous voudriez pas me donner\nquelques leçons ? Vous auriez beaucoup à\nm'apprendre...\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リンデン\nVotre requête me flatte beaucoup, mais j'estime\npréférable, dans notre intérêt à tous les deux,\nde la décliner.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cオルテンシア\nPourquoi ça ?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08リンデン\nJe n'ai plus l'énergie. Je ne peux plus enseigner.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0E\x0Cオルテンシア\nJe comprends. Vous avez encore des batailles\nà mener, je n'aurais pas dû vous embêter avec\nça.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08リンデン\nCe n'est rien ! Je ne doute pas que vous\ntrouviez un jeune mage qui se montrera\nexcellent professeur.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nLindon, je peux vous parler ?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cオルテンシア\nJe me demandais s'il y avait la moindre chance\nque vous changiez d'avis, pour les leçons.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リンデン\nJe vous l'ai dit, Princesse Hortensia...\nJe n'ai plus l'énergie pour enseigner.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リンデン\nEt puis vous êtes déjà la meilleure élève de\nvotre classe à l'académie d'Elusia, je crois ?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リンデン\nIl est bien inutile de vous précipiter davantage.\nDonnez-vous le temps de grandir.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cオルテンシア\nMon père n'a pas vécu assez longtemps pour\nme voir exprimer mon potentiel.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\nC'est pour ça que je veux aller vite. Je ne veux\nplus jamais ressentir un regret comme celui-là.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リンデン\nAh, je vois.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cオルテンシア\nJe veux que mon père puisse reposer en paix,\nen sachant que je suis capable de m'en sortir\nseule, comme vos enfants.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\nVous pourriez me montrer comment faire,\nn'est-ce pas ?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リンデン\nJe vous comprends, soyez-en sûre. Mais j'ai\nplus d'une raison de refuser de vous instruire.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cオルテンシア\nDe quoi parlez-vous ?\x0E\x04\x00\x00
