MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06クラン\x022\n\x0E\x03\x02\x08\x06クラン\nVotre Divinité, que faites-vous ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リュール\nOh, bonjour, Clanne.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nJe faisais juste un peu de rangement. Demain\nsera une journée chargée, alors je pensais\nprofiter du temps que j'ai maintenant.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06クラン\nLaissez-moi m'en occuper. Vous devriez plutôt\nvous reposer !\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リュール\nÇa ira, je peux le faire moi-même.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06クラン\nNon, non. C'est impossible.\nJe vais devoir insister.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nMais...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06クラン\nSoyez sympa... J'ai attendu si longtemps\nque vous vous réveilliez.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06クラン\nEt je suis pas le seul. Les gardiens qui m'ont\nprécédé ont passé leur vie à attendre.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06クラン\nEt après mille ans, je peux vous servir !\nOn croirait à un miracle !\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06クラン\nAlors... s'il vous plaît, laissez-moi m'en charger.\nHonnêtement, du fond du cœur, je serais honoré\nde vous aider.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リュール\nTrès bien, vous m'avez convaincu\x0E\x0A\x00\x06
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06クラン\nGrand merci, Votre Divinité.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nC'est à moi de vous remercier de vous occuper\nsi bien de moi.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08リュール\nJ'ai de la chance de vous avoir comme gardien.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06クラン\nVous le pensez ?! Ouah... Ça me touche\ntellement que je suis à deux doigts de\ntomber dans les pommes !\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\nHa ha, ne faites surtout pas ça. Bon, puisque\nje n'ai plus rien à ranger, je vais me reposer.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06クラン\x022\n\x0E\x03\x02\x0A\x08リュール\nHm, Clanne ?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06クラン\nMmh... Mh...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\nPsst. Clanne. Clanne !\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06クラン\nAH ! Mes excuses, Votre Divinité !\x0E\x04\x00\x00
