MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nミスティラ\nRegardez-moi ça ! Si ce n'est pas Fogado,\nmon seul et unique frangin préféré, hé hé hé !\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nフォガート\nEn chair et en os. Je peux savoir ce qui te rend\nsi joyeuse ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nミスティラ\nOh, rien de particulier.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nフォガート\nVraiment ? J'aurais parié sur une chanson,\nou sur une grosse pièce de viande.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nフォガート\nMais je suis content de te voir si gaie.\nTon sourire me met toujours de bonne humeur.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nミスティラ\nTant mieux ! Parce que je suis plus heureuse\nque jamais.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nフォガート\nMais... J'insiste pour que tu m'en donnes\nla raison. Allez, de frangine à frangin.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nミスティラ\nBon, puisque tu veux tout savoir...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nミスティラ\nC'est parce que TU es là ! Voilà tout !\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nフォガート\nC'est tout ? Pff... Je suis toujours là.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nミスティラ\nOh ho ! Désolée de te l'annoncer de but\nen blanc, mais non.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nミスティラ\nJe l'admets, en Solm, je ne passais pas\nbeaucoup de temps au château. Mais toi ?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nミスティラ\nTu n'étais jamais là ! On n'a pour ainsi\ndire passé aucun moment ensemble.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nフォガート\nAh, c'est vrai. Tu marques un point.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nミスティラ\nOn ne peut pas vraiment se réjouir des\ncirconstances, mais je suis heureuse de\nte voir tous les jours.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nフォガート\nDis donc, tu vois toujours le bon côté des choses.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nフォガート\nOn est au beau milieu d'une guerre, et tu en\nparles comme de chouettes vacances en famille.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nミスティラ\nÇa te pose un problème ?\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0C\nフォガート\nDu tout. Comme je l'ai dit, je suis content\nque tu sois contente.\x0E\x04\x00\x00
