MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0C\nラファール\nIvy, je dois m'entretenir avec vous.\x0E\x04\x02\x00
MID_RELIANCE_C_#002	Il me faut vous présenter mes excuses\npour vous avoir transformée en Aberration.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08アイビー\nJ'accepterais volontiers vos excuses, Messire\nRafal, si seulement j'avais la moindre idée de\nce dont vous parlez.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nラファール\nJe désirais justement introduire mon propos\nen évoquant ce qu'il impliquait de pire, avant\nde m'expliquer plus avant.\x0E\x04\x02\x00
MID_RELIANCE_C_#005	Mais vous n'êtes pas comme l'Ivy que j'ai\nconnue dans mon monde, et qui n'avait de\ncesse de m'interrompre.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08アイビー\nPrenez tout le temps qu'il vous faudra.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nラファール\nMerci. J'ai transformé l'Ivy de mon monde\nen Aberration. Puis je l'ai forcée à se battre.\x0E\x04\x02\x00
MID_RELIANCE_C_#008	J'ai profité de son dévouement. Sa loyauté\nau Dragon déchu ne connaissait nulle limite.\nElle ne demandait qu'à servir.\x0E\x04\x02\x00
MID_RELIANCE_C_#009	Et j'ai réservé le même sort à toutes les autres\npersonnalités royales, qu'elles le voulaient ou\nnon. Je regrette profondément mes actes.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08アイビー\nJe vous remercie de vos explications, mais\nje peine à concevoir en quoi cela me concerne.\x0E\x04\x02\x00
MID_RELIANCE_C_#011	Vous présentez vos excuses à la mauvaise Ivy.\nEt de surcroît, vous la mettez légèrement mal\nà l'aise, si je puis être franche.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nラファール\nIl ne m'est plus possible de m'adresser à\nla personne que j'ai meurtrie. Cette démarche\nest hélas la seule que je puisse entreprendre.\x0E\x04\x02\x00
MID_RELIANCE_C_#013	Je me figurais que je pourrais lui parler à travers\nvous. Mais peut-être qu'au fond, je ne cherche\nqu'à apaiser mon tourment.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08アイビー\nJe crois que je comprends votre douleur,\nmais il me semble tout à fait impossible\nde vous venir en aide.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nラファール\nJe ne vous demande qu'une chose, c'est de\nme laisser réparer les dégâts que j'ai causés.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08アイビー\nEt comment comptez-vous vous y prendre ?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nラファール\nC'est à vous de me le dire. Formulez un souhait,\net je m'assurerai qu'il soit exaucé.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08アイビー\nFort bien. Puisque vous insistez, je tâcherai\nde songer à quelque chose.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0C\nラファール\nPrenez votre temps.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0C\nラファール\nVous venez enfin à moi. Je suppose\nque vous avez arrêté un souhait ?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08アイビー\nEn effet. En un mot, je souhaite retourner\nà l'académie.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nラファール\nBien entendu. L'académie.\nC'est évident.\x0E\x04\x02\x00
MID_RELIANCE_B_#004	Et donc... De quoi s'agit-il au juste ?\x0E\x04\x00\x00
