MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x0C\nエーティエ\nSalut, Yunaka. Pourrais-tu me rendre\nun petit service ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ユナカ\nQuel genre, tête de citrouille ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nエーティエ\nReste bien immobile. Je voudrais t'examiner\nde près.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06ユナカ\nHein, euh... pardon ?! Pour quoi faire ?\nTu cherches quoi, au juste ? Et tu comptes faire\nquoi si tu trouves ce que tu cherches, d'abord ?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nエーティエ\nQue de questions... Laisse-toi faire, cela ne\nme prendra qu'une seconde.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ユナカ\nGrr...\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06ユナカ\nEh ! J'ai jamais donné mon accord pour une\nfouille au corps ! Tu te comportes comme si tu\nme soupçonnais d'avoir piqué un truc !\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nエーティエ\nC'est à peu près ça. Comment as-tu deviné ?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06ユナカ\nTu es sérieuse ?! Mais je plaisantais ! J'ai rien\nvolé, moi ! Rien du tout !\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nエーティエ\nEt pourtant si, tu l'as fait.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06ユナカ\nAh ouais ?! Tu crois que tes mains baladeuses\nreprésentent une preuve quelconque ?!\nBas les pattes !\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nエーティエ\nCalme-toi. Personne ne te reproche rien, là.\x0E\x04\x00\x00
