MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パンドロ\nAh, Votre Divinité ! Pile le dragon à qui\nje voulais toucher deux mots... J'aimerais\nvous demander une faveur.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リュール\nOh ? Quel genre de faveur ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08パンドロ\nJ'organise une fête bientôt, et j'aimerais que\nvous soyez des nôtres.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08パンドロ\nPour les fidèles de l'église, vous êtes au centre\nde tout... Vous êtes notre \x0E\x0A\x00\x18\x08dieu\x0Cdéesse !\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08パンドロ\nVotre présence va emballer les foules.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08リュール\nHmm... Dites-m'en un peu plus, au sujet de\ncette fête. Qu'y aura-t-il ?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08パンドロ\nOh, rien de guindé. Ce sera juste l'occasion\nde pousser la chansonnette et de danser...\nDe passer un bon moment, en somme.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08パンドロ\nVous pourrez relâcher un peu la pression et\ntendre l'oreille, écouter ce que les autres\ninvités ont à raconter...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リュール\nCe serait sans doute amusant, mais... en quoi\nle fait que j'écoute les autres invités vous\naiderait en quoi que ce soit ?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08パンドロ\nMais c'est évident ! Ça donnerait énormément\nde courage à tout le monde !\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08パンドロ\nLa première fois que je vous ai vu\x0E\x0A\x00\x06
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リュール\nHa ha ! Dites... Vous en faites un peu\ndes tonnes.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08パンドロ\nPardonnez-moi. Je me suis laissé emporter,\nsur ce coup-là.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08パンドロ\nEnfin bref... Je vous tombe dessus sans\nprévenir, vous avez pas besoin de me\nrépondre dans la minute.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08パンドロ\nPar contre, je préfère vous avertir : quand\nj'organise une fête, je le fais pas à moitié. Vous\npouvez être sûr\x0E\x0A\x00\x06
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リュール\nTrès bien, c'est noté.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08パンドロ\nMerci, Votre Divinité.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08リュール\nPandreo... J'en suis navré\x0E\x0A\x00\x06
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08パンドロ\nAh, vous avez quelque chose d'autre de prévu ?\nDommage. Enfin, c'est que partie remise.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\nNon, je n'ai rien prévu de particulier.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08パンドロ\nOh. Dans ce cas, je peux vous demander\npourquoi ?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リュール\nTant qu'on ne me voit que de loin, on peut\nbien me considérer comme \x0E\x0A\x00@\x1Aun... un dieu"une... une déesse.\nMais de près, je n'ai rien d'extraordinaire.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\nPourquoi décevoir les gens en leur dévoilant\nque le Dragon divin n'est ni plus ni moins...\n\x0E\x0A\x002\x16qu'un homme\x18qu'une femme comme les autres ?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08パンドロ\nC'est ça qui vous turlupine ?\nVisiblement, j'ai dû mal m'exprimer...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08パンドロ\nÉcoutez... Quand j'étais petit, vous m'avez\nsauvé la peau.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リュール\nQuoi ? Comment cela ? J'étais endormi\x0E\x0A\x00\x06
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08パンドロ\nEh bien, je vais pas vous mentir, mes parents\nétaient... des minables. Ils m'ont laissé tomber\navec ma frangine quand on était tout gamins.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08パンドロ\nMais à l'église, un prêtre a changé ma vie en\nme récitant une prophétie oubliée...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08パンドロ\n« Lorsque l'enfant dragon s'extirpera de son\nsommeil, le salut viendra au monde. »\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08パンドロ\nLe monde était peut-être pas joli à voir, mais\nil serait sauvé. Cet espoir m'a permis de tenir\net d'aller de l'avant.\x0E\x04\x00\x00
