MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\nPrince Alfred, un instant !\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nCoucou, Princesse Timerra. Il vous faut\nquelque chose ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nミスティラ\nPas vraiment... C'est juste que vous m'avez\ntout l'air d'être en route pour engloutir un\nen-cas.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nRaté. Je suis sur le point de commencer\nmon entraînement.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nミスティラ\nQuoi ? Mais alors pourquoi vous arborez\nce sourire béat ?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nParce que l'entraînement, c'est le meilleur\nmoment de la journée !\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nミスティラ\nOh. Oui, ça tient debout. J'étais complètement\nà côté de la plaque.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nミスティラ\nEnfin, c'est quand même dommage. Moi qui\nvoulais vous demander si je pouvais casser\nla croûte avec vous.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\nHa ha ! Désolé d'avoir brisé vos espoirs.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nミスティラ\nEn même temps, ça pourrait être amusant\nde s'entraîner ensemble. Je devrais peut-être\nvous accompagner quand même !\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cアルフレッド\nOh, vous allez vous entraîner avec moi ?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nミスティラ\nMais oui, pourquoi pas ! Puisque vous insistez !\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nミスティラ\nAprès ça, on pourra partager un bon petit\nplat tous les deux. C'est vous qui payez.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cアルフレッド\nAaah, je vous vois venir.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\nMais ça me va ! Je ne vais pas manquer\ncette occasion d'en apprendre plus à\npropos de la future reine de Solm.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nミスティラ\nÉpargnez-moi les conversation trop pesantes,\nd'accord ? On va se gâcher le repas si ça\ntourne au palabre.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cアルフレッド\nC'est noté, Princesse. Je ferai dans la\nlégèreté. Rien ne sera lourd, sauf la crème !\x0E\x04\x00\x00
