MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0C\nシトリニカ\nHmm...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ヴェイル\nOh, euh, pourquoi me regardez-vous\ncomme ça ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nシトリニカ\nJe suis juste curieuse...\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ヴェイル\nCurieuse ? À quel propos ?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nシトリニカ\nC'est si... sobre.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ヴェイル\nJe... Je ne comprends pas.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nシトリニカ\nVous êtes une princesse, pourtant vous\nne portez pas le moindre bijou.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nシトリニカ\nVotre tenue est si... sobre !\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08ヴェイル\nQuelle importance cela peut-il avoir pour vous ?\nC'est juste... que je n'étais pas destinée\nà porter des objets de luxe, j'imagine.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nシトリニカ\nBien sûr, je comprends.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nシトリニカ\nEt pourtant... Ah, comment dire... Je ressens\nle besoin de faire sortir la royauté que vous\nportez en vous hors de sa cachette.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ヴェイル\nJe suis désolée si... ma banalité... vous dérange.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nシトリニカ\nGrands dieux. Pardonnez-moi, Dame Veyle.\nVous comprenez que mon intention n'était pas\nde vous offenser.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nシトリニカ\nNe vous en faites pas et laissez-moi faire.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ヴェイル\nVous laisser... Attendez, de quoi parlez-vous ?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nシトリニカ\nVoyons... Le plus sage serait de commencer\npar les habits de base.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nシトリニカ\nMais le style d'une personne découle de son\nstyle de vie, alors peut-être que... Hmm...\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x01\x0C\nシトリニカ\n\x0E\x03\x02\x0A\x08ヴェイル\nQu'est-ce que c'était que ça ? Oooh...\nJe ne suis pas sûre de vouloir le savoir.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nJ'ai du mal à croire qu'une robe puisse être\nornée d'autant de gemmes rares. Elle scintille\ntellement.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nシトリニカ\nVotre nouvelle tenue vous plaît-elle,\nDame Veyle ?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ヴェイル\nMA tenue ? Oh, je ne peux en aucun cas\nla garder. Elle est bien trop précieuse.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nシトリニカ\nOh ? Vraiment ? J'étais sûre qu'elle vous irait\nà merveille...\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ヴェイル\nEt pourquoi m'avez-vous tendu cet acte notarié\nme désignant comme propriétaire d'une\n« île déserte bordée de plages de sable fin » ?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nシトリニカ\nIl inclut aussi une « villa privée ». Une robe\nélégante mérite d'être portée dans une élégante\ndemeure.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ヴェイル\nSans doute... Mais je ne peux pas accepter\nune île déserte ni une robe couverte de joyaux.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nシトリニカ\nAlors peut-être juste cette couronne ?\nJe l'ai fait faire spécialement pour vous.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ヴェイル\nOh, elle est magnifiiique !\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ヴェイル\nNon, attendez ! Je ne peux pas !\nJe n'en ai pas besoin !\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nシトリニカ\nMais... Mais... Oh, acceptez au moins une\nde ces choses, s'il vous plaît !\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nシトリニカ\nFaites-le pour moi !\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ヴェイル\nPour vous ? Qu'entendez-vous par là ?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ヴェイル\nOh.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ヴェイル\nJe comprends.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ヴェイル\nCe n'est pas un cadeau, c'est une offrande.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ヴェイル\nC'est comme ces adorateurs d'Elusia qui\nme couvraient d'offrandes sophistiquées...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ヴェイル\nEspérant que leur vœux et prières soient\nexaucées.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nシトリニカ\nVraiment ? Eh bien...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08ヴェイル\nDans ce cas, je n'accepterai rien de votre part,\nCitrinne.\x0E\x04\x00\x00
