MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x06\x04ボネ\nVotre Divinité, vos yeux sont très évocateurs.\nCelui-ci ressemble à une tomate cerise.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04ボネ\nQuant à celui-là, il m'évoque une myrtille.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nHmm. Merci ? Quand vous me dites ça,\nc'est pour me faire un compliment,\nn'est-ce pas ?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x06\x04ボネ\nBien sûr !\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x06\x04ボネ\nLes tomates et les myrtilles comptent parmi\nles plus précieux trésors que nous offre\nMère Nature.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x06\x04ボネ\nJe me suis imprégné des traditions culinaires\ndu monde entier, d'où mon penchant pour\nles analogies ayant trait à la nourriture.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x06\x04ボネ\nAh... c'est tellement inspirant...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\nIl doit être logique qu'un chef juge le monde\nen termes culinaires.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リュール\nMerci.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x06\x04ボネ\nAh non, c'est plutôt moi qui vous dois\ndes remerciements.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04ボネ\nJe vous remercie de m'avoir insufflé cette\ninspiration avec vos yeux de tomate et\nde myrtille.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リュール\nVotre érudition au sujet des diverses cuisines\ndu monde est vraiment impressionnante, Bunet.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x06\x04ボネ\nIl me reste pourtant encore tant à apprendre !\nL'inspiration, d'ailleurs, vient parfois quand\nje m'y attends le moins.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x06\x04ボネ\nJ'aspire à connaître absolument toutes les\nsaveurs, afin de cuisiner de nouveaux plats\nque les gens apprécieront pleinement.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08リュール\nOh, j'ai hâte de vous voir réaliser ces plats.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x06\x04ボネ\nUn grand chef se doit d'être prêt à relever\ntoutes sortes de défis culinaires.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x06\x04ボネ\nHm... Quel est ce doux parfum ?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nJe ne sens rien.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x06\x04ボネ\nC'est vous. Il émane de vous un arôme\nque je ne reconnais pas.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nAh, ça ! Au déjeuner, j'ai malencontreusement\nrenversé un peu de sauce sur mes vêtements.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リュール\nMais c'était tellement peu que je me suis\ndit que personne ne remarquerait rien.\nPardonnez-moi, je vais me changer.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x06\x04ボネ\nSurtout pas ! J'aimerais trouver l'inspiration\ndans cette odeur étrange.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\nOh !\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x06\x04ボネ\nC'est forcément un plat qui m'est inconnu.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x06\x04ボネ\nVous permettez que je lèche l'étoffe ?\nJe ne connais pas ce plat que vous avez\ndégusté.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リュール\nVous voulez... goûter la sauce ?\nSur... Sur mes vêtements ?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リュール\nOh, mais j'ai une idée ! Nous pourrions aller\ndemander à la personne qui est chargée de\nla cuisine ?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x06\x04ボネ\nJ'aimerais ne pas attendre aussi longtemps.\nMa curiosité culinaire exige la satiété\nimmédiate !\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\nOn parle quand même de mes vêtements...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x06\x04ボネ\nDepuis que je suis tout petit, je me passionne\npour la cuisine, les ingrédients et les saveurs.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x06\x04ボネ\nAvec les années, je n'ai eu de cesse de\nm'améliorer. Est-ce que vous pourriez\nm'aider dans mon dessein ?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nJ'ai beau trouver votre ambition admirable,\nje ne peux pas accepter une requête pareille.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nVous souhaitez trouver une nouvelle inspiration\net je veux vous soutenir, mais là, vous dépassez\nles limites.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リュール\nEt qui plus est, la maîtrise de la grande\ncuisine ne relève pas uniquement de\nla connaissance de tous les goûts.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x06\x04ボネ\nJe ne comprends pas.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08リュール\nVous n'avez qu'à faire un effort. En attendant,\nmoi, je vais me changer. Au revoir.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x06\x04ボネ\nQu'est-ce que le Dragon divin a-t-il bien\nvoulu dire par là ?\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x06\x04ボネ\nDragon divin, je vous dois des excuses\npour les manières de rustre dont j'ai fait\npreuve, l'autre jour.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nCette histoire est derrière nous.\nMerci de m'avoir laissé\x0E\x0A\x00\x06
MID_RELIANCE_A_#003	\x0E\x03\x02\x06\x04ボネ\nCertes, mais vous m'avez dit que la maîtrise\nde la grande cuisine ne relevait pas uniquement\nde la connaissance de tous les goûts...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x06\x04ボネ\nJe me suis donc replongé en cuisine pour mieux\ncomprendre ce que vous vouliez dire...\net ce que je ratais.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\nVous avez fait ça ?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x06\x04ボネ\nOui... après notre conversation, je me suis\nretiré dans la cuisine, et je n'ai cessé\nde travailler.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x06\x04ボネ\nJ'y ai travaillé du matin au soir pour préparer\nun plat inspiré de cette tache de sauce.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リュール\nEh bien... Vous avez fait tout cela uniquement\nparce que j'ai renversé quelque chose sur\nmes vêtements.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x06\x04ボネ\nJe ne parvenais toujours pas au résultat\nsouhaité. Puis, alors que j'allais sombrer\ndans le désespoir, une idée m'est venue...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x06\x04ボネ\nEt si, au lieu de me préoccuper de cela,\nje préparais des repas que Votre Divinité\npourrait pleinement apprécier ?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x06\x04ボネ\nC'est donc ce que j'ai fait. Et le goût du plat\nqui s'ensuivit dépassa de loin mes espérances.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x06\x04ボネ\nC'est là le véritable secret de la grande\ncuisine, n'est-ce pas ? Exprimer son\naffection pour la personne que l'on servira.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nC'est tout à fait ça ! Je ne peux qu'approuver.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リュール\nIl s'agit vraiment de s'intéresser aux gens,\nplutôt que de connaître chaque arôme sur\nle bout des doigts.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x06\x04ボネ\nVotre Divinité, je suis désolé d'avoir provoqué\nen vous un tel malaise.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リュール\nCe n'est rien. J'ai dû poser des limites,\nmais sachez que je ne soutiens pas\nmoins votre quête.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リュール\nUn jour, vous serez sans aucun doute\npossible le meilleur chef du monde.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x06\x04ボネ\nMerci.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x06\x04ボネ\nD'ailleurs, j'ai ce plat sous la main, si vous\nvoulez bien y goûter...\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リュール\nAvec le plus grand plaisir !\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x06\x04ボネ\nVotre Divinité, j'ai créé un plat que jamais\nencore personne n'a eu l'occasion de voir.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x06\x04ボネ\nSi vous le voulez bien, j'aimerais que vous\ny goûtiez, et que vous me fassiez part de\nvotre jugement.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\nEn tout cas, il a l'air délicieux. C'est une\nvéritable explosion de couleurs.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x06\x04ボネ\nLes tomates et les myrtilles que vous voyez\nlà m'ont été inspirées par vos yeux magnifiques.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x06\x04ボネ\nJe vous souhaite bon appétit.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nTrès bien, merci !\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08リュール\nMais c'est divin ! Je n'ai encore jamais rien\nmangé d'aussi succulent !\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x06\x04ボネ\nVous me procurez un grand plaisir.\nJ'avais la ferme intention que ce plat soit\nextraordinaire, pour vous.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x06\x04ボネ\nQuand je cuisine tout en pensant à vous,\nles plats qui en résultent sont transcendants.\nJe voudrais pouvoir le faire plus souvent.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x06\x04ボネ\nJe veux dire que j'aimerais continuer à\ncuisiner en pensant à vous... Si tant est\nque cela vous plaise.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nVous voulez donc dire que...\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x06\x04ボネ\nJe veux dire que j'aimerais devenir votre\npartenaire, Votre Divinité.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x06\x04ボネ\nEnfin, seulement si vous êtes satisfait\x0E\x0A\x00\x06
MID_RELIANCE_S_#015	\x0E\x03\x02\x06\x04ボネ\nSi ma requête vous incommode, je chérirai\nle souvenir de ce plat et redeviendrai le chef\nque je fus.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08リュール\nOh... non.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nCette idée ne me convient pas du tout.\nRestez avec moi, s'il vous plaît. J'aimerais\ntant goûter d'autres plats délicieux.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\nEt d'ailleurs, j'aimerais que vous restiez\navec moi, même sans cuisiner un seul plat.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nTenez, c'est l'Anneau du Pacte...\nIl est pour vous.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x06\x04ボネ\nMerci ! Cet anneau est magnifique,\ntout comme vous !\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nNous avons tant à apprendre l'un de l'autre,\nà part la cuisine, bien sûr !\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x06\x04ボネ\nJ'ai hâte de commencer, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x06\x04ボネ\nCe moment, par exemple, a une saveur tout\nà fait douce. J'ai hâte de me régaler de tous les\nmoments que nous concocterons ensemble.\x0E\x04\x00\x00
