MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x0A\x08ロサード\nHé, Mauvier !\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06モーヴ\nRosado.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ロサード\nDites, vous êtes toujours aussi... tendu ?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06モーヴ\nCe n'est pas là mon intention.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ロサード\nAllons, détendez-vous ! Regardez ma jolie\nfrimousse, ça vous fera abandonner cet air\nrenfrogné !\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06モーヴ\nRenfrogné ? Ma vie n'a rien de réjouissant.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06モーヴ\nQuant à admirer votre jolie frimousse, j'ai trop\npeu d'expérience à ce sujet. Voyez-y une lacune\nde formation plutôt que de l'incorrection.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ロサード\nOh, mais c'est ça ! Je crois que j'ai compris !\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06モーヴ\nCompris quoi ?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ロサード\nVous êtes un néophyte. Vous n'avez pas\nencore développé votre perception de la\nbeauté ! Il y a de quoi être grincheux !\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ロサード\nJe peux vous aider ! Laissez-moi vous montrer\ncomment apprécier tout ce qui est mignon pour\nque vous puissiez profiter de la vie !\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06モーヴ\nCe n'est pas nécessaire.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ロサード\nNon mais vous plaisantez !\nC'est primordial, oui !\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ロサード\nÊtre insensible à tout charme, c'est comme...\nne pas sentir le piment dans un ragout !\x0E\x04\x00\x00
