MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リンデン\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x0A\x08リンデン\nAh, Mauvier ! Auriez-vous un instant ? J'aurais\nbesoin de votre aide pour une expérience.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06モーヴ\nMessire Lindon. Bien sûr, je ferai mon possible\npour vous assister.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リンデン\nJe voudrais que vous preniez cet épi de maïs\net que vous le jetiez en l'air.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06モーヴ\nQuel genre d'expérience est-ce donc ?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リンデン\nJe vais frapper le maïs avec Éclair pour\nle faire exploser.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08リンデン\nD'après mes calculs, les grains « éclateront »\nuniformément, et il en résultera le goûter\nparfait !\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06モーヴ\nJe doute que ce soit la meilleure chose à faire.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リンデン\nEh bien, vous connaissez le dicton...\n« Qui ne risque rien n'a rien... pour le goûter ».\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リンデン\nJe dirais que le risque principal est que vous\n« éclatiez » au lieu des grains de maïs, et pas\ndu tout uniformément...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06モーヴ\nEn ce cas, je me dois de décliner votre offre.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リンデン\nQuoi ? Oh, faites un effort ! Ne vous a-t-on\njamais appris qu'il fallait aider ses aînés ?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06モーヴ\nNe vous a-t-on jamais appris qu'il ne fallait\npas foudroyer son voisin hors du champ\nde bataille ?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リンデン\nHmm... On croirait justement entendre un aîné.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06モーヴ\nC'est un plaisir pour moi de vous seconder dans\ntoutes sortes d'expériences.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06モーヴ\nCela dit, je ne mettrai pas ma vie en péril pour\ndu maïs. Mes excuses, Messire Lindon.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リンデン\nOh, comme vous voudrez. On dirait que\nle goûter est repoussé... pour le moment.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リンデン\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x08\x06モーヴ\nMessire Lindon, vous avez laissé tomber\nquelque chose.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リンデン\nOh ! Quelle maladresse. Merci, Mauvier.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06モーヴ\nC'est... le portrait d'une jeune femme.\nElle est d'une beauté remarquable.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リンデン\nAh ! Je ne saurais vous contredire.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リンデン\nC'est un portrait de feu mon épouse.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06モーヴ\nOh. Votre épouse, Messire Lindon ?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リンデン\nElle ne se contentait pas d'être sublime.\nElle était aussi gentille, aimante... et la\nmeilleure amie dont j'aurais pu rêver.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08リンデン\nElle est décédée depuis un certain temps, mais\nmon amour pour elle n'a jamais cessé de croître.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リンデン\nAh, comme j'aimerais la revoir sourire encore\nune fois, goûter à nouveau à sa cuisine...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06モーヴ\nJe suis peiné de vous savoir triste. Si je puis\nvous être d'une quelconque aide...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リンデン\nVraiment ? Oh, cette proposition vient à point\nnommé. Merci, Mauvier !\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リンデン\nAllez, prenez cet épi de maïs et lancez-le\nen l'air.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06モーヴ\nP-Pardon ?!\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06モーヴ\nVous n'allez pas recommencer !\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リンデン\nOh, mais voyez-vous... feu ma pauvre épouse\nadorait le maïs. Elle aurait aimé que nous lui\nrendions ainsi hommage.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リンデン\nAllez, c'est quand vous voulez !\nJe suis prêt à lancer mon sort !\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リンデン\nJe sais ce que vous pensez, mais n'ayez crainte.\nIl y a peu de chances... je veux dire il n'y a\nquasiment aucune chance que je rate ma cible.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06モーヴ\nNon. Au revoir, Messire Lindon.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x01\x08\x06モーヴ\n\x0E\x03\x02\x0A\x08リンデン\nMauvier ? Mauvier, attendez ! Vous avez encore\nmon maïs !\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リンデン\x021\n\x0E\x03\x02\x0A\x08リンデン\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x08\x06モーヴ\nMessire Lindon ? Tout va bien ?\nEst-ce le portrait de votre épouse ?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リンデン\nHé hé, vous me surprenez dans un moment\nde faiblesse. C'est embarrassant.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リンデン\nUn homme de mon âge devrait savoir\nquand arrêter de ressasser le passé.\nQuelle inconvenance...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06モーヴ\nIl n'y a aucune honte à ressentir un amour\nprofond pour son épouse.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リンデン\nAh, vous avez raison, évidemment.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リンデン\nVous savez, nous avons élevé trois enfants.\nIls ont grandi, maintenant, et ils sont\npartis vivre leur vie.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リンデン\nIls ont leur propre maison, leur propre famille...\nIl est devenu difficile de nous réunir.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リンデン\nPlus nous nous éloignons les uns des autres,\nplus mes souvenirs me semblent vifs.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リンデン\nAu fil du temps, j'en arrive à me tourner\ndavantage vers le passé que vers l'avenir.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リンデン\nJ'ignore comment changer ce comportement...\nou même si je dois en changer.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06モーヴ\nLes souvenirs que vous chérissez sont la preuve\nd'une vie réussie.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06モーヴ\nPour ma part, ma mémoire renferme plus\nde regrets que de moments de joie.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リンデン\nAh, mais vous avez maintenant l'occasion\nde vivre une vie nouvelle... peut-être même\nplus gratifiante que la mienne.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06モーヴ\nHmm. Merci pour ces paroles chaleureuses,\nMessire Lindon.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リンデン\nN'en parlons plus. Bien... que diriez-vous de\nmener une petite expérience pour faire avancer\nla science du goûter ?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06モーヴ\nJ'aurais dû m'en douter !\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リンデン\nVous parliez de vos regrets. Rater l'occasion\nde goûter le maïs éclaté par Éclair serait tout\nà fait regrettable.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06モーヴ\nJ'espère que le reste de mon existence sera\ngratifiant. Concentrez-vous sur votre visée,\ns'il vous plaît.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リンデン\nHourrah ! Que l'expérience commence !\x0E\x04\x00\x00
