MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nAh... Qu'est-ce que je vais faire ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ラピス\nÀ quel sujet, Prince Fogado ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nフォガート\nOh ! Salut, Lapis. Tu sais que je suis en charge\ndes Sentinelles ?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nフォガート\nOn a un gros problème. Une bande de brigands\nsévit dans une oasis de Solm.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nフォガート\nIls sont insaisissables. Malgré notre avantage\nnumérique, impossible de nous en débarrasser.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ラピス\nAvez-vous pensé à utiliser un dispositif\nqui les chasserait à votre place ?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06ラピス\nVous savez, quelque chose qui les éloignerait\nsans que vous ayez à lever le petit doigt.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nフォガート\nHmm, ce n'est pas une mauvaise idée, mais\nje ne connais personne capable de fabriquer\nune chose pareille.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06ラピス\nMoi, bien sûr !\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nフォガート\nToi ?!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06ラピス\nJe suis assez habile de mes mains. Depuis que\nje suis petite, j'ai toujours fabriqué ce dont\nj'avais besoin.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06ラピス\nAlors... oui ! Je pense pouvoir bricoler quelque\nchose.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nフォガート\nTrès bien... Ça vaut le coup d'essayer.\nDis-moi si tu as besoin de matériaux.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06ラピス\nSi vous trouvez des babioles qui traînent ou des\nbranches d'arbre, ça devrait faire l'affaire.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nフォガート\nHein ?! Vraiment ?!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06ラピス\nOui ! Plus vite vous en trouverez, plus vite\nvous pourrez oublier ces brigands.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nフォガート\nEuh, d'accord. Je vais farfouiller à la recherche\nde... tout ce qui a l'air utile, alors.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nフォガート\nMoi ? Désespéré ? Nooon. J'essaie juste\nde résoudre mes problèmes avec un tas\nd'ordures.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x08\x06ラピス\nPrince Fogado, venez voir !\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06ラピス\nJ'ai terminé mon dispositif anti-brigands.\nJe l'ai appelé... le Fogado version II !\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nフォガート\nC'est... un mannequin qui me ressemble.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06ラピス\nExactement. C'est plutôt réussi, vous ne\ntrouvez pas ?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nフォガート\nÀ vrai dire... assez, oui. La silhouette est très\nressemblante.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06ラピス\nN'est-ce pas ?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nフォガート\nTu as fait ça avec une pile de détritus ?\nJ'avoue que je suis impressionné.\x0E\x04\x00\x00
