MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x08\x06ジャン\nEuh... Chloé ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06クロエ\nBonjour, Jean. As-tu besoin de mon aide ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06ジャン\nPas vraiment. Je pensais plutôt vous aider,\nen fait.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06クロエ\nM'aider dans quel domaine ?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06ジャン\nJe veux vous donner ce remède\npour le mal de ventre.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06クロエ\nOh ! Eh bien je te remercie !\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06クロエ\nEnfin... Je n'ai pas mal au ventre du tout.\nPourquoi as-tu pensé que j'aurais besoin\nde ce remède ?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06ジャン\nEh bien, c'est parce que vous arrêtez pas de\nmanger des trucs bizarres. Un jour où l'autre,\nvotre estomac vous le fera payer.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06クロエ\nHa ha ! Tu penses que manger à des stands\nde rue va finir par me donner mal au ventre ?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06クロエ\nNe t'inquiète pas pour moi.\nJ'ai l'estomac solide.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06ジャン\nOuais, enfin à votre place, je garderais\nça juste au cas où.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06ジャン\nL'autre jour, je vous ai vue vous empiffrer\navec un truc qui ressemblait vraiment\nà des yeux tout bizarres.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06ジャン\nAlors je sais pas ce que c'était, mais vous\nme ferez pas croire que c'est sain.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06クロエ\nEn attendant, qu'est-ce que c'était bon !\nJe t'en garderai la prochaine fois, en guise de\nremerciements pour le remède.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06ジャン\nHein ? C'est pas la peine. Vous m'avez dit\nmerci, ça me suffit.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06ジャン\nEn tout cas, faites attention. Quand je pense\nà tout ce que vous ingurgitez, j'en ai peur\npour vous.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06クロエ\nD'accord, c'est promis. Merci de\nt'être inquiété pour moi, Jean !\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x08\x06クロエ\nDis, Jean, est-ce que ces herbes pourraient\nte servir ?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06ジャン\nAh oui ! Vous avez l'œil, dites donc. Je peux\nles utiliser pour faire baisser la fièvre.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06クロエ\nTant mieux, parce qu'il y en a encore d'autres\nqui poussent par là-bas !\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06ジャン\nMerci de votre aide, Chloé. Allez-y, prenez-en\nun peu plus que d'habitude.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ジャン\nC'est vraiment chouette de vous avoir avec moi.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06クロエ\nC'est normal. Tes remèdes sont d'un grand\nsecours pour nous tous. Alors je suis contente\nde pouvoir t'aider en retour.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06ジャン\nEnfin quand même, c'est très gentil\nde votre part !\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06ジャン\nMais restez prudente, surtout. Cette partie de\nla forêt est assez sombre à certains endroits.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06クロエ\nTu as raison. C'est le genre de forêt qui\npourrait regorger de fantômes.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06ジャン\nComment ça, des fantômes ?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06クロエ\nHi hi hi, tu as peur des fantômes, Jean ?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06ジャン\nAllons. J'ai pas peur des fantômes du tout.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06クロエ\nLa plupart des enfants disent cela uniquement\npour ne pas avouer qu'ils ont peur. Mais pas\ntoi, n'est-ce pas ?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ジャン\nQue peut faire un fantôme ? Rien, au fond...\nLes blessures et les maladies, en revanche,\nc'est terrifiant.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06ジャン\nJ'ai peur des choses qui peuvent vraiment\ntuer quelqu'un.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06クロエ\nHmmm. Tu n'as pas tort.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06クロエ\nPuisqu'il en est ainsi, nous ferions mieux\nde cueillir d'autres plantes pour nous préparer\nau mieux.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06ジャン\nOui. Beaucoup de maladies et de blessures\npeuvent être soignées, si on sait s'y prendre.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06ジャン\nÇa ne vous dérange pas de rester encore\nun peu avec moi, Chloé ?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06クロエ\nBien sûr que non !\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x08\x06ジャン\nHmm...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06クロエ\nJean ? Tu es tout pâle.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ジャン\nJe réfléchissais, c'est tout...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06クロエ\nEt à quel sujet ?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06ジャン\nJ'ai peur de perdre des proches, Chloé.\x0E\x04\x00\x00
