MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nIch bin ja so glücklich, mit \x0E\x0A\x008\x1Aeinem anderen\x1Aeiner anderen\n\x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin Freundschaft zu schließen.\nWir haben uns bestimmt viel zu erzählen!\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08リュール\nIch freue mich schon darauf. Wir werden sicher\ngute Freunde. Du musst mir alles über dich\nerzählen.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nIst das nicht lustig? Wir beide sind Wyrmgötter,\naber deine Haare haben ganz andere Farben als\nmeine. Ich find die so schön!\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x0A\x08リュール\nOh, vielen Dank, Tiki. Deine Haare sind aber\nauch sehr schön. Das Grün verleiht dir eine\ngeheimnisvolle Aura.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0A\x08リュール\nManchmal habe ich diese Albträume...\nBesonders, nachdem wir gegen Verzerrte\nkämpfen mussten.\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x06\x04チキ\nAls ich allein war, hatte ich auch immer\nschlimme Träume. Aber nun nicht mehr, da\nich so viele neue Freunde gefunden habe!\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x06\x04チキ\nIch bleibe jetzt bei dir. Dann kann ich für dich\nall die gruseligen Träume verscheuchen.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08リュール\nDas ist lieb von dir, Tiki. Ich bin froh, dich an\nmeiner Seite zu haben.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nWir Behüter der Drachen haben \x0E\x0A\x008\x18dem Wyrmgott\x1Cder Wyrmgöttin\nschon seit Generationen gedient. Es wäre mir\neine Ehre, auch Euch dienen zu dürfen.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x06\x04チキ\nDann möchte ich, dass wir Freunde werden!\nWir müssen uns besser kennenlernen und uns\nganz viel über alles Mögliche unterhalten!\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nOh, was tut Ihr denn da mit diesen kleinen,\nhölzernen Stäbchen? Das sieht aber lustig aus!\nDarf ich zugucken?\x0E\x04\x00\x00
