MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nマデリーン\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nWie geht es dir, Madeline? Gewöhnst du dich\nallmählich an diese Welt?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nマデリーン\nAnfangs war mir etwas unbehaglich zumute,\ndoch mittlerweile fühle ich mich nicht nur auf\ndem Schlachtfeld recht wohl.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cセレスティア\nDas freut mich zu hören. Versuche aber bitte,\ndich nicht gleich zu übernehmen, ja?\x0E\x04\x02\x00
MID_RELIANCE_C_#004	Ich mache mir nur Sorgen, weil... Tja, weil du\nes gerne mal übertreibst.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nマデリーン\nZelestia... Nun, da wir uns beide in dieser neuen\nWelt befinden, wäre es mir sehr lieb, du würdest\nmich nicht mehr wie ein Kleinkind behandeln.\x0E\x04\x02\x00
MID_RELIANCE_C_#006	Ich versichere dir, es besteht kein Grund zur\nSorge. Ich übertreibe rein gar nichts.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cセレスティア\nNa gut... Vielleicht sollte ich mich mit meiner\nNörgelei wirklich etwas zurückhalten. Schließ-\nlich gibt es noch andere, die auf dich achtgeben.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nマデリーン\nJa, selbst die Bewohner dieser Welt – und das,\nobwohl ich erst kürzlich hier eintraf. Ich weiß\nihre Gastfreundschaft wirklich sehr zu schätzen.\x0E\x04\x02\x00
MID_RELIANCE_C_#009	Ein Umstand, der meine Entschlossenheit nur\nnoch mehr stärkt, ganz in ihrem Interesse zu\nhandeln und so ihre Freundlichkeit zu vergelten.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cセレスティア\nWie feierlich du klingst, hahaha.\nDu erinnerst mich an Mauvier.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nマデリーン\nHm?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cセレスティア\nEs tut mir leid. Ich wollte nicht...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nマデリーン\nSchon gut. Ich war nur kurz überrascht.\x0E\x04\x02\x00
MID_RELIANCE_C_#014	Ich streite nicht ab, dass wir uns in unserer\nAusdrucksweise und unserem Verhalten recht\nähnlich sind. Schließlich war er mein Mentor.\x0E\x04\x02\x00
