MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x0A\x08リュール\nKönnen wir mit deiner Hilfe rechnen, während\nwir versuchen, der Welt Frieden zu bringen?\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x08\x06アイク\nKeine Sorge. Ich bin ein Söldner. Wenn ich einen\nAuftrag annehme, dann stelle ich auch sicher,\ndass er bis zum Ende ausgeführt wird.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x0A\x08リュール\nIch fühle mich immer noch nicht stark genug.\nIke, würdest du mir wohl praktischen Unterricht\ngeben?\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x08\x06アイク\nIch bin kein guter Lehrer, aber ich versuche es.\nSei aber auf der Hut. Ich weiß nicht, ob ich mich\nzurückhalten kann.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x08\x06アイク\nDu bist besser geworden. Deine Form hat sich\nsehr verbessert.\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x0A\x08リュール\nDas verdanke ich all dem Wissen, das ich von\ndir und den anderen bekommen habe.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x08\x06アイク\nNein, gar nicht. Du hast es am meisten dir selbst\nzu verdanken. Wir haben dir nur einen Schubs\ngegeben.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08リュール\nTrotzdem bin ich dankbar. Ihr alle gebt mir das\nGefühl, dass ich eine Chance habe, Frieden in\ndiese Welt zu bringen.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x08\x06アイク\nWas kann ich tun? Ich mag es nicht, untätig zu\nsein.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x0C\nヴァンドレ\nSollte eine Schlacht stattfinden, gebe ich Euch\nBescheid. Bis dahin solltet Ihr Euch entspannen.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x08\x06アイク\nHabe ich Euch gerade lächeln gesehen?\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nDas muss Euch nicht überraschen. Ich bin dafür\nbekannt, ab und an zu lächeln.\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x08\x06アイク\nEurer Statur nach zu urteilen müsst Ihr\nseinerzeit ein guter Kämpfer gewesen sein.\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nIch habe in all den Jahren im Dienst der Königin\nhart trainiert, um in Form zu bleiben.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nUnd ich werde längst im Ruhestand sein, bevor\nich mit Euch Jungspunden nicht mehr mithalten\nkann.\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x08\x06アイク\nIch bin kein Jungspund... Oh. Moment. Verstehe!\nAber wenn sich eine Möglichkeit bietet, würde\nich mich gerne im Kampf mit Euch messen.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x08\x06アイク\nIst es in Ordnung für dich – als Diener \x0E\x0A\x00\x10\x06des\x06der\n\x0E\x0A\x00,\x14Wyrmgottes\x14Wyrmgöttin – stattdessen an meiner Seite zu\nkämpfen?\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06クラン\nKein Grund zur Sorge. Euch zu dienen ist in\nder Tat eine große Ehre, Lord Ike!\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x08\x06クラン\nLord Ike, geht Ihr nun trainieren?\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x08\x06アイク\nIch trainiere, seit ich ein kleiner Junge war. Es\nist eine Angewohnheit, und wenn ich es nicht\ntue, kann ich nicht entspannen.\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x08\x06クラン\nSagt mal... Lord Ike? Wäret Ihr damit einver-\nstanden, wenn ich heute mit Euch zusammen\ntrainierte?\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x08\x06アイク\nNur zu. Aber kannst du körperlich mithalten?\nIch möchte dich nicht verletzen.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x08\x06クラン\nSicher! Ich will stärker werden, damit ich allen\nhelfen kann, die meine Hilfe benötigen.\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x08\x06アイク\nAlso gut. Dann sehen wir mal, ob du bis zum\nEnde durchhältst.\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x08\x06フラン\nLord Ike! Ach du meine Güte... Ähm, darf ich ein\nAutogramm von Euch haben?\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x08\x06アイク\nTut mir leid, aber... ich bin nicht in der Lage,\neinen Stift zu halten.\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x08\x06フラン\nLord Ike, ich muss das einfach fragen. Wie\nwar das Leben im Inneren des Rings?\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x08\x06アイク\nDas kann ich nicht mit Sicherheit sagen. Ich\nhabe die meiste Zeit geschlafen. Mir ist, als\nhätte ich von vergangenen Schlachten geträumt.\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x08\x06フラン\nÄhm, Lord Ike, macht es Euch etwas aus, dass\nich Euch so oft begleite?\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x08\x06アイク\nEigentlich gefällt mir das. Es erinnert mich\ndaran, als ich noch mit einer Gruppe Söldnern\nmeine Zeit verbrachte.\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x08\x06フラン\nPuuh! Ich hatte schon Sorge. Ihr lächelt nämlich\nsehr selten, wisst Ihr?\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x08\x06アイク\nHahaha. Tut mir leid, dass du dich sorgst.\nMeine Freunde haben mir auch stets erzählt, ich\nsolle an meinen sozialen Fähigkeiten arbeiten.\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nIhr seid also das Emblem aus Solms Ring, hm?\nIch muss schon sagen, dass sind wirklich\nMuskeln von Weltklasse!\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x08\x06アイク\nWeltklasse? Das ist das erste Mal, dass ich das\nhöre.\x0E\x04\x00\x00
MID_GR_Alfred_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nSagt mal, könntet Ihr mir beibringen, wie\nman solche Muskeln bekommt?\x0E\x04\x00\x00
MID_GR_Alfred_B_#002	\x0E\x03\x02\x08\x06アイク\nDa gibt es nicht viel beizubringen. Trainiert\ntäglich und esst Fleisch. Ich weiß nicht, ob das\nwirklich hilft, aber ich tue das gern.\x0E\x04\x00\x00
MID_GR_Alfred_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nEs fühlt sich an, als hätte ich nach all den\nKämpfen ganz schön Muskeln aufgebaut. Was\nmeint Ihr?\x0E\x04\x00\x00
MID_GR_Alfred_A_#002	\x0E\x03\x02\x08\x06アイク\nWenn das der Fall ist, so habe ich es nicht\nbemerkt. Oh, tut mir leid.\x0E\x04\x00\x00
MID_GR_Alfred_A_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nNein, Ihr müsst Euch nicht entschuldigen. Ich\nmag Eure Direktheit!\x0E\x04\x00\x00
MID_GR_Alfred_A_#004	\x0E\x03\x02\x08\x06アイク\nNun, meine Freunde rügen mich immer, dass\nich etwas taktvoller sein solle. Gut, wenn das\nkein Problem ist.\x0E\x04\x00\x00
MID_GR_Boucheron_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x08\x06アイク\nDu siehst ziemlich ernst aus. Arbeitest du an\ndeiner Taktik?\x0E\x04\x00\x00
MID_GR_Boucheron_C_#002	\x0E\x03\x02\x0C\nブシュロン\nNein, ich lese die Geschichte eines Ritters. Das\nist inspirierendes Zeug.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x08\x06アイク\nIst das nicht dasselbe Buch, das ich dich\nneulich schon lesen sah? Wird dir das nicht\nlangweilig?\x0E\x04\x00\x00
MID_GR_Boucheron_B_#002	\x0E\x03\x02\x0C\nブシュロン\nNee. Es ist nicht ohne Grund ein Klassiker.\nWenn Ihr daran interessiert seid, kann ich es\nEuch gerne vorlesen.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x08\x06アイク\nDu schienst dich neulich verirrt zu haben. Was\nwirst du tun, wenn wir in einem Wald kämpfen\nmüssen?\x0E\x04\x00\x00
