MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\nHmm, La Roue de Fortune – das Rad des\nSchicksals in aufrechter Position...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x02\x08\x06カゲツ\nHallo, Seadall. Was machst du da?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08セアダス\nIch verbessere meine Wahrsagekräfte mithilfe\nvon Tarotkarten.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08セアダス\nIch bin bestens bekannt als Tänzer, aber ich\nbesitze auch Talent als Wahrsager.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06カゲツ\nDu bist bereits hervorragend und doch\nübst du ständig weiter. Du bist wirklich\nsehr hingebungsvoll.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08セアダス\nIch habe meine Gründe...\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06カゲツ\nAh so.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08セアダス\nDa ich schon mal dabei bin, könnte ich für dich\nauch in den Karten lesen, Kagetsu.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06カゲツ\nOh, nicht nötig. Ich besitze diese Fähigkeit auch.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06カゲツ\nIch werde sie dir vorführen! Ähem... Mach\ndich bereit!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06カゲツ\nBald wirst du... geschnetzeltes Fleisch ver-\nspeisen, das zwischen zwei Scheiben Brot liegt!\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08セアダス\nJa, das stimmt. Woher weißt du da--\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06カゲツ\nIch habe es dir gesagt. Ich besitze die Fähigkeit,\nin die Zukunft zu sehen.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08セアダス\nDu kannst einfach... so die Zukunft sehen?!\nWürdest du mir zeigen, wie du das machst?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06カゲツ\nIch bin überrascht, dass du so ein Interesse\nzeigst. Doch meine Macht kann nicht gelehrt\nwerden.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06カゲツ\nIch wurde mit dieser Gabe geboren. Ich habe\nsie nicht durch Lernen erhalten.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06カゲツ\nAber es ist, wie Wasser aus einem löcherigen\nBoot zu schöpfen, wie man so sagt. Sinnlos.\nIch sehe nur belanglose Dinge.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08セアダス\nVerstehe.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08セアダス\nHm, es scheint, dass ich mich besser auf meine\neigenen Fähigkeiten als Wahrsager fokussieren\nsollte.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x08\x06カゲツ\nSeadall! Ich habe erneut einen Blick in deine\nZukunft geworfen. Deine Vorstellung heute\nAbend wird gut besucht sein!\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08セアダス\nIn der Hinsicht wird deine Fähigkeit nicht\nbenötigt. Meine Vorstellungen sind stets sehr\ngut besucht.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06カゲツ\nIch kann außerdem erkennen, dass es heute\nAbend regnen wird. Sei also besser vorberei-\ntet, wenn du dich auf den Heimweg machst.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08セアダス\nDas erscheint mir doch recht offensichtlich zu\nsein, Kagetsu. Es ziehen Regenwolken auf.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06カゲツ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06カゲツ\nSiehst du? Sinnlos wie Wasser aus einem\nlöcherigen Boot schöpfen.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08セアダス\nDeine Vorhersagen betreffen wohl wirklich\nnur die nutzlosesten Dinge.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08セアダス\nWürde deine Macht nur ein bisschen...\nverwendbarer... sein, wäre ich sicherlich\nziemlich neidisch.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06カゲツ\nEs ist nicht nötig, auf Fähigkeiten wie meine\nneidisch zu sein, wenn du wahrsagen kannst.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08セアダス\nMein Talent als Wahrsager wird geschätzt,\nsicher. Aber leider sind meine Vorhersagen\nnicht immer perfekt.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06カゲツ\nWieso sagst du das?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08セアダス\nMein Meister – derjenige, der mir das Tanzen\nbeibrachte – wurde von Dieben angegriffen und\ngetötet.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08セアダス\nWären meine Fähigkeiten perfekt gewesen,\nhätte ich es vorhergesehen. Ich hätte ihn retten\nkönnen.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08セアダス\nDaher verbessere ich meine Fähigkeiten in\nder Hoffnung, dass ich nie wieder diese Art\ndes Bedauerns erleben muss.\x0E\x04\x00\x00
