MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nUnglaublich. Was für ein bemerkenswerter\nRoman.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04エル\nHallo, kleiner Prinz. Fertig gelesen?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nMilady Nel. Das ist unerwartet.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x06\x04エル\nIst es das wirklich? Ich habe auf eine\nGelegenheit gewartet, um mit Euch zu sprechen.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nWorüber denn?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x06\x04エル\nIhr seid Euch sicher dessen bewusst, dass ich\nein Kind des Dämonendrachen Sombron bin.\x0E\x04\x02\x00
MID_RELIANCE_C_#007	Trotz unserer unterschiedlichen Herkunft\nentstammt auch Ihr einer königlichen Linie.\nDies haben wir gemeinsam.\x0E\x04\x02\x00
MID_RELIANCE_C_#008	Ich habe meinen Vater nie verstanden. Vielleicht\nkönnt Ihr mir einige Erfahrungen mit dem Euren\nweitergeben.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nIch wollte immer wie mein Vater sein.\nAllerdings gab es Zeiten, in denen auch ich ihn\nnicht verstehen konnte.\x0E\x04\x02\x00
MID_RELIANCE_C_#010	Er wurde immer aufgrund seiner militärischen\nStärke als großer König betrachtet. So möchte\nich aber nicht regieren.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04エル\nIhr folgt unterschiedlichen Ideologien.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nSo kann man es sagen. Über die Zukunft von\nBrodia sind wir uns manches Mal in die Haare\ngeraten.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x06\x04エル\nUnd doch wurdet Ihr für Euren Widerspruch\ngegen Euren Herrn Vater nicht zum Tode\nverurteilt. Warum?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nWie, warum? Wegen einfacher Meinungs-\nverschiedenheiten wird in Brodia doch\nniemand hingerichtet.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x06\x04エル\nIch verstehe. Im Gegensatz zu Eurem Vater\nzog es Sombron vor, jegliche Unstimmigkeit\nmittels Exekution verstummen zu lassen.\x0E\x04\x02\x00
MID_RELIANCE_C_#016	Widerspruch hiergegen stand völlig außer Frage.\nUm zu überleben, blieb keine andere Wahl, als\nzu gehorchen.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nIch kann mir überhaupt nicht vorstellen, unter\neiner solch grausamen Diktatur zu leben.\nEs tut mir so leid.\x0E\x04\x00\x00
