MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ソンブル\x021\n\x0E\x03\x00\x0C\x06セピア\x022\n\x0E\x03\x02\x0A\x08ソンブル\nVeyle hat den Ring des Heiligen Ritters \x0E\x0A\x00\x10\x06dem\x06der\n\x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin gegeben.\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x08\x06セピア\nIch bitte um Vergebung, Mylord.\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0A\x08ソンブル\nDer Ring der azurblauen Zwillinge ist auch\nverloren. Meine Vier Bluthunde enttäuschten\nmich ein zweites Mal.\x0E\x04\x02\x00
MID_OP1_#004	Du bist dir der Tragweite dessen bewusst?\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x08\x06セピア\nJa.\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x0A\x08ソンブル\nUnd Veyle?\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x08\x06セピア\nImmer noch in einem tiefen Schlaf.\x0E\x04\x02\x00
MID_OP1_#008	So sehr ich auch versuche, ihre Drachenimpulse\nzu verstärken, sie erwacht einfach nicht.\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x0A\x08ソンブル\nSie lehnt ihre wahre Natur ab. Aber in diesem\nFall, nimm das hier.\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x02\x08\x06セピア\nAh... Was ist das?\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x02\x0A\x08ソンブル\nEin magischer Helm, der mit meiner Macht\ndurchdrungen ist. Er wird den Zauber, den du\nauf sie gelegt hast, verstärken.\x0E\x04\x02\x00
MID_OP1_#012	Meine Macht, zusammen mit deinem Zauber,\nwird korrigieren, was mit Veyle nicht stimmt.\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x08\x06セピア\nIch verstehe.\x0E\x04\x00\x00
MID_OP1_#014	\x0E\x03\x02\x0A\x08ソンブル\nVerwahre ihn sicher. Setze ihn ein, wenn die\nZeit dafür gekommen ist.\x0E\x04\x00\x00
MID_OP1_#015	\x0E\x03\x02\x08\x06セピア\nNatürlich. Wie Ihr wünscht.\x0E\x04\x02\x00
MID_OP1_#016	Da ist noch eine Sache... die ich ansprechen\nwollte.\x0E\x04\x00\x00
MID_OP1_#017	\x0E\x03\x02\x0A\x08ソンブル\nWas?\x0E\x04\x00\x00
MID_OP1_#018	\x0E\x03\x02\x08\x06セピア\nVerzeiht mir, Lord Sombron, aber... Lady Veyle\nist Euer einziges Kind, nicht wahr?\x0E\x04\x00\x00
MID_OP1_#019	\x0E\x03\x02\x0A\x08ソンブル\nMein einziges lebendes Kind.\x0E\x04\x00\x00
MID_OP1_#020	\x0E\x03\x02\x08\x06セピア\nJa.\x0E\x04\x00\x00
MID_OP1_#021	\x0E\x03\x02\x0A\x08ソンブル\nSo ist es.\x0E\x04\x00\x00
MID_OP1_#022	\x0E\x03\x02\x08\x06セピア\nNatürlich. Meine Bedenken scheinen sich auf\nFurcht und nicht auf Fakten zu begründen.\nVerzeiht mir.\x0E\x04\x00\x00
MID_OP1_#023	\x0E\x03\x02\x0A\x08ソンブル\nWarum fragst du so etwas?\x0E\x04\x00\x00
MID_OP1_#024	\x0E\x03\x02\x08\x06セピア\nVeyle glaubt, dass ein Geschwister von ihr noch\nlebt. Ich dachte, es wäre am besten, Euch davon\nin Kenntnis zu setzen.\x0E\x04\x02\x00
MID_OP1_#025	Sie sagte etwas von einem unzerbrochenen\nDrachenstein.\x0E\x04\x00\x00
MID_OP1_#026	\x0E\x03\x02\x0A\x08ソンブル\nHmmm.\x0E\x04\x00\x00
MID_OP1_#027	\x0E\x03\x02\x08\x06セピア\nDoch sie täuscht sich sicherlich. Wir beide\nkennen die Wahrheit.\x0E\x04\x02\x00
MID_OP1_#028	Eure Kinder wurden im Krieg vor tausend\nJahren getötet. Alle außer Veyle.\x0E\x04\x02\x00
MID_OP1_#029	Ich erinnere mich vage an eines, das sich von\nden anderen abhob – mit Haaren und Augen wie\nFeuer.\x0E\x04\x02\x00
MID_OP1_#030	Wie war noch gleich der Name? War es...\x0E\x04\x00\x00
MID_OP1_#031	\x0E\x03\x02\x0A\x08ソンブル\nZephia.\x0E\x04\x00\x00
MID_OP1_#032	\x0E\x03\x02\x08\x06セピア\nMylord.\x0E\x04\x00\x00
MID_OP1_#033	\x0E\x03\x02\x0A\x08ソンブル\nIch erinnere mich nicht an die Namen oder\nGesichter all meiner Kinder. Dieses eine jedoch\nhabe ich selbst getötet.\x0E\x04\x00\x00
MID_OP1_#034	\x0E\x03\x02\x08\x06セピア\nJa.\x0E\x04\x00\x00
MID_OP1_#035	\x0E\x03\x02\x0A\x08ソンブル\nKurz darauf wurde ich eingesperrt. Hast du die\nLeiche geborgen?\x0E\x04\x00\x00
MID_OP1_#036	\x0E\x03\x02\x08\x06セピア\nN-nein.\x0E\x04\x00\x00
MID_OP1_#037	\x0E\x03\x02\x0A\x08ソンブル\nDann nehme ich zurück, was ich gesagt habe.\x0E\x04\x00\x00
MID_OP1_#038	\x0E\x03\x02\x08\x06セピア\n...\x0E\x04\x00\x00
MID_OP1_#039	\x0E\x03\x02\x0A\x08ソンブル\nDie Antwort ist nein.\x0E\x04\x02\x00
MID_OP1_#040	Solltest du dieses Kind finden, bringe mir dieses\nMal seinen Leichnam.\x0E\x04\x00\x00
MID_OP1_#041	\x0E\x03\x02\x08\x06セピア\nJawohl, Mylord Sombron. Wie Ihr wünscht.\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nDanke, dass Ihr uns dieses Schiff zur Verfügung\ngestellt habt, Alfred.\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nBedankt Euch nicht bei mir, sondern bei meiner\nMutter.\x0E\x04\x02\x00
MID_OP2_#003	Als ich von unserer Reise nach Elusia erzählte,\nließ sie das beste Schiff unserer Flotte auftakeln\nund ausrüsten.\x0E\x04\x00\x00
MID_OP2_#004	\x0E\x03\x02\x0A\x08リュール\nWie ist die Lage in der Hauptstadt?\x0E\x04\x00\x00
MID_OP2_#005	\x0E\x03\x02\x0E\x0Cアルフレッド\nGut genug. Seit wir uns nach Brodia aufgemacht\nhaben, hat es keine weiteren Angriffe gegeben.\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x02\x0A\x08リュール\nWelch eine Erleichterung.\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x0E\x0Cアルフレッド\nIch habe Mutter erzählt, auf was es unsere\nFeinde abgesehen haben. Dass sie es auf\n„königliches Blut“ abgesehen haben.\x0E\x04\x02\x00
MID_OP2_#008	Sie war natürlich schockiert, als sie von König\nMorion und König Hyacinth erfuhr.\x0E\x04\x00\x00
MID_OP2_#009	\x0E\x03\x02\x0A\x08リュール\nVerständlicherweise.\x0E\x04\x00\x00
MID_OP2_#010	\x0E\x03\x02\x0E\x0Cアルフレッド\nWas die Zerstörung von Floramühlstadt angeht,\nso wird meine Familie weder Kosten noch\nMühen für den Wiederaufbau scheuen.\x0E\x04\x02\x00
MID_OP2_#011	Auch wenn es wohl Jahre dauern wird, bis der\nHafen wieder in seiner ursprünglichen Schön-\nheit erstrahlt.\x0E\x04\x00\x00
MID_OP2_#012	\x0E\x03\x02\x0A\x08リュール\nWir müssen den Dämonendrachen besiegen,\ndamit so etwas Schreckliches nie wieder\ngeschieht.\x0E\x04\x00\x00
MID_OP2_#013	\x0E\x03\x00\x12\x0Cディアマンド\x023\n\x0E\x03\x02\x0E\x0Cディアマンド\nWie lautet unser Plan? Begeben wir uns unver-\nzüglich zu Schloss Elusia, sobald wird gelandet\nsind?\x0E\x04\x00\x00
MID_OP2_#014	\x0E\x03\x02\x0A\x08リュール\nZuerst sollten wir so viele Informationen wie\nmöglich bei den Elusianern einholen.\x0E\x04\x02\x00
MID_OP2_#015	Mit oder ohne Ringe – wenn wir nicht wissen,\nwomit wir es zu tun haben, könnten wir alles\nverlieren.\x0E\x04\x02\x00
MID_OP2_#016	Außerdem... gibt es da etwas, das ich heraus-\nfinden möchte.\x0E\x04\x00\x00
MID_OP2_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nWas wäre das?\x0E\x04\x00\x00
MID_OP2_#018	\x0E\x03\x02\x0A\x08リュール\nOb es Veyle gut geht.\x0E\x04\x00\x00
MID_OP2_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nHm. Aus unserer Perspektive sah es nicht so\naus, als seien die Bluthunde erfreut gewesen.\x0E\x04\x00\x00
MID_OP2_#020	\x0E\x03\x01\x0E\x0Cディアマンド\n\x0E\x03\x00\x0E\x08アイビー\x023\n\x0E\x03\x02\x0A\x08アイビー\nSie könnten versuchen, ihre Persönlichkeit zu\nlöschen. Wenn jemand dazu in der Lage ist,\ndann sicherlich diese Frau.\x0E\x04\x00\x00
MID_OP2_#021	\x0E\x03\x02\x0A\x08リュール\nIch weiß, dass Veyle meine Mutter getötet hat.\nNichts von dem, was wir jetzt wissen, ändert\netwas daran, dass sie es war.\x0E\x04\x02\x00
MID_OP2_#022	Dennoch komme ich nicht umhin, mir Sorgen\num sie zu machen. Ich hoffe, ihr geht es gut.\x0E\x04\x00\x00
MID_OP2_#023	\x0E\x03\x02\x0E\x0Cアルフレッド\nJa. Ich vermute, auch sie ist ein Opfer.\nSchließlich hat sie sich in große Gefahr\nbegeben, um uns den Ring zu geben.\x0E\x04\x00\x00
MID_OP2_#024	\x0E\x03\x01\x0E\x0Cアルフレッド\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x02\x0C\nミスティラ\nOder das war alles nur eine Farce, weil sie\nunser Vertrauen gewinnen wollte, um uns dann\nin den Rücken zu fallen – erneut.\x0E\x04\x00\x00
MID_OP2_#025	\x0E\x03\x01\x0A\x08アイビー\n\x0E\x03\x00\x12\x0Cディアマンド\x023\n\x0E\x03\x02\x0E\x0Cディアマンド\nDas ist natürlich auch möglich. Wir wissen\neinfach zu wenig, um überhaupt etwas aus-\nschließen zu können.\x0E\x04\x00\x00
MID_OP2_#026	\x0E\x03\x02\x0A\x08リュール\nDennoch... ich würde ihr gerne vertrauen.\x0E\x04\x00\x00
MID_OP2_#027	\x0E\x03\x00\x10\nヴァンドレ\x024\n\x0E\x03\x02\x0C\nヴァンドレ\nVerzeiht, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Zwei Schiffe unter\nelusianischer Flagge kommen direkt auf uns zu.\x0E\x04\x00\x00
MID_OP2_#028	\x0E\x03\x02\x0A\x08リュール\nIrgendeine Spur von den Bluthunden?\x0E\x04\x00\x00
MID_OP2_#029	\x0E\x03\x02\x0C\nヴァンドレ\nNein. Aber es scheint, als wolle der Feind uns\nangreifen.\x0E\x04\x00\x00
MID_OP2_#030	\x0E\x03\x02\x0A\x08リュール\nDann haben wir keine andere Wahl, als uns ihnen\nzu Wasser zu stellen. Alle bereit machen zum\nKampf!\x0E\x04\x00\x00
