MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x06\x04ルイ\nAh, Yunaka. Du kommst genau richtig.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ユナカ\nKomme ich? Das passiert ja sonst nie. Moment,\nwofür komme ich überhaupt genau richtig?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x06\x04ルイ\nHättest du Lust auf eine Tasse Tee mit mir?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x06\x04ルイ\nIch bevorzuge es, meinen Tee in Gesellschaft zu\ngenießen, anstatt ihn ganz allein zu trinken.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06ユナカ\nOooh, das klingt lustig! Klar, ich bin dabei!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x06\x04ルイ\nWundervoll. Nun denn: Hier, bitte sehr. Eine\nTasse frisch gebrühten Tees.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06ユナカ\nDann bin ich mal so frei!\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06ユナカ\nAaah... Vorzüglichst! Ich glaube, das ist der\nbeste Tee, den ich je hatte. Du bist echt gut!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x06\x04ルイ\nHahaha, das ist zu viel des Lobes.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x06\x04ルイ\nIch habe reichlich Zugriff auf hochwertige\nTeeblätter dank der hervorragenden\nTeeplantage in der Nähe meiner Heimat.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04ルイ\nUnd schon in jungen Jahren habe ich damit\nbegonnen, für meine Familie Tee zu kochen. Ich\nhatte ausreichend Zeit, diese Kunst zu meistern.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06ユナカ\nDas ist ja unglaublich!\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06ユナカ\nDeine Familie hat's echt gut, die ganze Zeit so\ntollen Tee trinken zu können.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x06\x04ルイ\nHahaha, mag sein, mag sein. Und wie steht es\num deine Familie? Sind alle wohlauf?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06ユナカ\nOh, äh... meine Familie?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06ユナカ\nDas ist, äh... Nun ja, du musst wissen...\nSie sind großteils... Wie sage ich das am\nbesten... Sie sind... Tja...\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x06\x04ルイ\nAh. Ich ziehe meine Frage zurück.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x06\x04ルイ\nGestatte mir dafür eine andere Frage, Yunaka:\nHast du schon einmal Tee mit gezuckerten\nTrauben darin probiert?\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06ユナカ\nTrauben? Im Tee? Was für eine komische Idee.\nSag bloß, das schmeckt?\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x06\x04ルイ\nLass mich ein paar für dich besorgen. Ich hoffe,\ndu wirst Gefallen an ihnen finden. Sie sind eine\nSpezialität aus meiner Heimat!\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x08\x06ユナカ\nWie aufregend! Danke, Louis!\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x06\x04ルイ\nHahaha. Nicht der Rede wert. Es gibt nichts\nSchöneres als eine Teestunde mit einem\nLächeln auf dem Gesicht meines Gegenübers.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\nLouis! Hey! Hallo!\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x06\x04ルイ\nOh, hallo, Yunaka. Dir ist wohl etwas Gutes\nwiderfahren? Denn du hast heute ein besonders\nbezauberndes Lächeln auf dem Gesicht!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ユナカ\nÄh, pfui. Hör auf mit der übertriebenen\nSüßholzraspelei, sonst kommt's mir noch in\nRegenbogenfarben hoch.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06ユナカ\nHör lieber mal zu, ich hab nämlich was für dich\nbesorgt. Ein kleines Dankeschön! Also, Augen\nauf und hergeschaut!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x06\x04ルイ\nMeine Güte. Ein Blick genügt, um mir zu sagen,\ndass dies äußerst hochwertige Teeblätter sind.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06ユナカ\nDas ist die Art Kennerblick, die ich vom Meister\nerwartet hab.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06ユナカ\nDu hast schon so viele Teeblätter für mich\nverpulvert, da wollte ich dir einige wiedergeben,\nbevor du meinetwegen ganz ohne Tee dastehst.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06ユナカ\nIn diesem Sinne... Ich weiß, es sind nicht viele,\naber ich hoffe, du akzeptierst meine wohltätige\nSpende!\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x06\x04ルイ\nIch nehme dein großzügiges Geschenk mit\nFreuden an.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x06\x04ルイ\nIch finde sogar, ich sollte unverzüglich eine\nKanne Tee damit zubereiten. Du bist natürlich\nherzlich eingeladen.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06ユナカ\nBist du sicher? Nicht dass du noch denkst, ich\nhätte dir den Tee nur besorgt, damit du ihn für\nmich aufbrühst...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x06\x04ルイ\nTee sollte in Gesellschaft getrunken werden.\nUnd die Unterhaltungen mit dir sind beinahe so\nerfrischend wie der Tee selbst.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06ユナカ\nRichtig, die Unterhaltungen...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ユナカ\nIch plaudere gerne mit dir. So gerne sogar, dass\nich ein wenig Angst habe, ich könnte mal\netwas... zu viel sagen...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x06\x04ルイ\nInwiefern?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06ユナカ\nHm? Ähm...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06ユナカ\nAh, wie konnte ich das vergessen! Da ist noch\ndiese... Sache! Die ich, äh, erledigen muss, weil\nsonst... Sachen passieren! Auf ein andermal!\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x06\x04ルイ\nOh. Das ist höchst bedauerlich.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x06\x04ルイ\nIch muss gestehen, ich hatte mich bereits darauf\ngefreut, dir heute allerlei über mich zu erzählen.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06ユナカ\nDas heißt, du wolltest mir heute nur, ähm... die\nganze Zeit ein Ohr mit Geschichten über dich\nselbst abkauen?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x06\x04ルイ\nSo kann man es ausdrücken. Mir war heute\ndanach.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06ユナカ\nOh! Ja, also wenn das so ist, kann ich diese,\näh... Sache auch noch aufschieben. Nur\ndeinetwegen natürlich!\x0E\x04\x00\x00
