MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08アンバー\x022\n\x0E\x03\x02\x0A\x08アンバー\nPrinz Diamant! Seht mal. Ich habe einen\nLegendären Geheimtrank erstanden!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08アンバー\nMan muss nur daran riechen und man offenbart\nseine tiefsten, wahren Gefühle...\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nUnglaublich. Wir könnten damit die Absichten\nunserer Gegner erfahren. Gut gemacht, Amber!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08アンバー\nDanke! Ich werde ihn irgendwo sicher aufbe-\nwahren. Es täte mir leid, würde damit etwas\npass--\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08アンバー\nWaaah!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cディアマンド\nOh. Da geht die Flasche dahin. Geht es dir gut?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08アンバー\nHngh...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08アンバー\nPrinz Diamant... Ich... Ich habe das Bedürfnis,\nEuch mitzuteilen, wie ich mich fühle.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nOh nein. Du scheinst Aromen des Tranks\neingeatmet zu haben.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08アンバー\nPrinz Diamant. Ich möchte Euch vielmals\ndanken, dass Ihr mir erlaubt, Euer Getreuer zu\nsein.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08アンバー\nWenn Ihr nicht gewesen wärt... wäre ich heute\nvermutlich auf einer Alpakafarm.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08アンバー\nIch bin Euch so dankbar und respektiere Euch\nso, so sehr wie... wie wirklich sehr.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08アンバー\nFür mich seid Ihr der Größte, denn... d-denn\nIhr... hngh. Gah.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08アンバー\nHm?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nAmber?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08アンバー\nWas gibt es, Prinz Diamant? Wartet mal, habe\nich gerade etwa jede Menge erzählt? Mein\nKopf fühlt sich an wie Watte.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nErinnerst du dich nicht? Der Trank hat gewirkt.\nDu hast gerade dein Herz ausgeschüttet.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08アンバー\nWas? Niemals! Was habe ich gesagt?\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nNun... Um ehrlich zu sein, es wäre wohl peinlich,\nes zu wiederholen. Wir sprechen besser später\ndarüber.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08アンバー\nOh. Natürlich. Verstanden. Wir, ähm, werden\nspäter reden.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08アンバー\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nHallo, Amber. Ich bin bereit, über den Vorfall\nmit dem Geheimtrank zu reden.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08アンバー\nOh, stimmt! Ich brenne darauf zu erfahren,\nwas ich gesagt habe.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nAlso, du sagtest, du seiest mir dankbar,\nwürdest mich respektieren – in extrem hohem\nMaße, wie es scheint.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08アンバー\nHahaha, das ist alles, was ich sagte? Och,\nIhr wusstet das doch bereits!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nStimmt. Du bist da nicht zurückhaltend. Du\nübertrafst dich viele Male selbst, um mich zu\nretten.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cディアマンド\nAber da war noch etwas, das du sagtest.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nSo etwas wie, wenn ich nicht wäre, wärest du\nvermutlich auf einer Alpakafarm.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08アンバー\nJa, das ergibt Sinn. Meiner Familie gehört eine\nAlpakafarm.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08アンバー\nIn meinem Heimatort gibt es nur Alpakas und\nKlippen. Mir war klar, dass ich fortgehen mus-\nste, wenn ich ein großer Held werden wollte.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08アンバー\nIhr habt mir einen Weg gezeigt, um als Euer Ge-\ntreuer ein Held zu werden. Darum bin ich Euch\nso dankbar.\x0E\x04\x00\x00
