MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x0A\x08リュール\nOh, Lapis! Ich möchte mich bei dir für all deine\nUnterstützung in der Schlacht bedanken.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ラピス\nOh, ich habe dort draußen doch gar nicht\nviel getan.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06ラピス\nIch bin doch nur Eurer Führung gefolgt. Ihr\nmüsst mir dafür nicht danken, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06ラピス\nAuf dem Schlachtfeld waren viele andere, viel\nfähigere Kämpfer. Ihnen solltet Ihr stattdessen\ndanken.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リュール\nLapis, bitte. Du bist stark und besitzt eine\nschnelle Auffassungsgabe. Du solltest wirklich\nmehr Vertrauen in deine Fähigkeiten setzen.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ラピス\nVertrauen? Ich weiß nicht...\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06ラピス\nIch freue mich unglaublich, eine Getreue zu\nsein, aber jeder andere hier ist dafür wesentlich\ngeeigneter. Ich bin nicht mal eine Adlige.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06ラピス\nIch möchte nicht arrogant klingen, da ich so\nweit unter dem Stand der anderen stehe.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リュール\nOh. Du bist ganz schön streng zu dir, hm?\nDas kann eine gute Motivation sein.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リュール\nAber du solltest dich nicht auf diese Weise mit\nanderen vergleichen. Jeder besitzt andere\nFähigkeiten.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リュール\nSei etwas netter zu dir selbst. Wie ich bereits\nsagte, hast du dir Selbstvertrauen wohl verdient.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06ラピス\nAber... Nun, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche, ich... Ich bin mir nicht\nsicher, was ich zu all dem sagen soll.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06ラピス\nEs ist ungewohnt für mich, so gelobt zu werden.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06ラピス\nIch gehe besser. Bitte entschuldigt mich.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x04\x03\x04
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リュール\nLapis ist so überzeugt davon, dass sie nicht\nhierher gehört.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\nEs muss einen Weg geben, sie von dieser\nEinstellung abzubringen.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x08\x06ラピス\nWie? Ihr möchtet heute wirklich mit mir\ntrainieren, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nJa! Ich dachte mir, es wäre nett, wenn wir ab\nund an mal etwas zusammen unternehmen.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ラピス\nDas ist so aufregend! Vielen Dank, dass Ihr\nEuch die Zeit dafür nehmt.\x0E\x04\x00\x00
