MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\nEndlich. Endlich habe ich die Schritte drauf.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x02\x0A\x08パンドロ\nSeadall, deine Bewegungen sind so... grazil.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08セアダス\nDas sollten sie auch besser mal sein. Ich bin\nschließlich professioneller Tänzer.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08パンドロ\nWenn ich dir so zuschaue, bekomme ich richtig\nLust, auch selbst durch den Teppich zu pflügen.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08パンドロ\nWas meinst du? Tanzen wir zusammen?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08セアダス\nJa, wenn du magst.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x04\x03\x04
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08パンドロ\nMakelloser Abschluss. Das wird als bester Tanz\nder Welt in die Geschichte eingehen!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08セアダス\nÄhm, Pandreo...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08セアダス\nIch habe noch niemals... so getanzt.\nDie Bewegungen... Sie passen nicht zum\nRhythmus. Also so überhaupt nicht.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08セアダス\nIch verstehe nun, warum man ihn den Tanz\nder Finsternis nennt. Welch eine wahrlich\nentsetzliche Aufführung.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08パンドロ\nWirklich? Ich hatte Spaß daran.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08セアダス\nSpaß? Ist das für dich schon ausreichend?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08パンドロ\nÄhm... Definiere „ausreichend“.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08セアダス\nDu tanzt doch gerne, oder? Nun, um wirklich\nund wahrhaftig zu tanzen, musst du hart daran\narbeiten.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08パンドロ\nAha. So also geht es, hm?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08セアダス\nJa, genau so geht es. Aber keine Sorge – ich\nwerde dich lehren, korrekt zu tanzen.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08パンドロ\nGut, wenn du darauf bestehst. Es wird sicher\nnicht lange dauern, bis ich es gelernt habe.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\nEins: Zwei, drei, vier.\nFünf, sechs, sieben, acht!\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08セアダス\nZwei: Zwei, drei, vier.\nFünf, sechs, sieben, acht!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08パンドロ\nArrrgh!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08パンドロ\nSeadall, du zählst ganz falsch. Das ruiniert\nmeine Bewegungen!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08セアダス\nNein. Du bist derjenige, der nicht im Takt bleibt.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08パンドロ\nDafür kann ich nichts. Ich tanze schon mein\nLeben lang nur in meinem eigenen Takt.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08セアダス\nHmm. Wir müssen deine alten Gewohnheiten\nüberwinden und hart an einem neuen\nFundament arbeiten.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08パンドロ\nHeißt das, ich kann nicht so tanzen, wie ich\nwill?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08セアダス\nNein, tut mir leid. Es ist zu deinem eigenen\nBesten.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08パンドロ\nHmpf.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08セアダス\nSchau mal, als ich damals anfing, konnte ich\nnoch keinen einzigen Schritt. Doch mein\nLehrmeister hat mit mir gearbeitet, unermüdlich.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08セアダス\nManchmal war das Training so anstrengend,\ndass ich einfach nur wegrennen wollte.\nDoch im Nachhinein bin ich dankbar dafür.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08セアダス\nUnd heute kann ich dich das Tanzen lehren,\nPandreo, so, wie mein Meister seinerzeit mich\ngelehrt hat.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08パンドロ\nDarum habe ich nie gebeten.\x0E\x04\x00\x00
