MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0A\x08リュール\nDanke für den Trainingskampf, Saphir.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nザフィーア\nKein Problem. Es ist mir ein Vergnügen, mit\neinem Gegner zu trainieren, der mich ins\nSchwitzen bringt.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nGut zu hören. Immerhin kam ich kaum mit.\nIch verstehe nun, warum Brodia so große\nStücke auf dich hält.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nザフィーア\nSeid nicht so bescheiden. Ihr seid gut, und Ihr\nkönnt noch viel besser werden.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nザフィーア\nStärke, Fähigkeit, Geschwindigkeit... Ihr steckt\nvoller Potenzial. Trainiert weiter, dann werdet\nIhr schon sehen.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08リュール\nDas mag sein, doch vor allem beneide ich dich\num deine Intensität. Deine unermüdliche Offen-\nsive ist... geradezu gnadenlos.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nGlaubst du, ich habe das Potenzial, \x0E\x0A\x00\x12\x06ein\x08eine ebenso\n\x0E\x0A\x00>\x1Cwilder Kämpfer\x1Ewilde Kämpferin wie du zu werden?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nザフィーア\nNun...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リュール\nSaphir?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nザフィーア\nAh, tut mir leid.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nザフィーア\nHört zu. Ihr solltet Euren Kampfstil nicht zu\nsehr nach meinem Vorbild formen.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nザフィーア\nWildheit passt nicht zu Euch. Ihr seid eine viel\nzu gütige Person dafür.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nザフィーア\nSeid einfach Ihr selbst, und bewahrt Euch\nEure Güte. Lasst sie nicht entschwinden.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nIch verstehe, Saphir. Danke.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\nGut, das ist genügend Training für heute.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nNochmals danke, dass du dir die Zeit für mich\nnimmst.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nザフィーア\nIn Euren Augen schimmert solch eine Güte,\nselbst wenn Ihr kämpft. Das ist erfrischend.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nザフィーア\nJedenfalls danke für die Aufwärmrunde. Ich\nwidme mich jetzt noch ein wenig echtem Kraft-\ntraining.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リュール\nVon einer Trainingseinheit direkt zur nächsten?\nDeine Ausdauer ist ja bewundernswert.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nザフィーア\nWenn das Training alles ist, was man hat, dann\nmuss man dabei auch alles geben, was man hat.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\nWas meinst du damit, dass das Training alles\nist, was du hast?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nザフィーア\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nザフィーア\nJa, schon gut. Ich spreche normalerweise nicht\ndarüber, aber Ihr verdient eine Antwort.\x0E\x04\x00\x00
