MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nAh... Was soll ich bloß machen?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ラピス\nGibt es ein Problem, Prinz Fogado?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nフォガート\nOh! Hallo, Lapis. Du weißt, dass ich Anführer\nder Wächter bin, nicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nフォガート\nNun, in letzter Zeit treibt sich eine Gruppe\nSchurken bei einer Oase in Solm herum. Diese\nBande ist uns ein echter Dorn im Auge!\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nフォガート\nSie verschwinden genauso schnell wieder, wie\nsie auftauchen. Obwohl wir ihnen zahlenmäßig\nüberlegen sind, sind sie nicht kleinzukriegen!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ラピス\nHabt Ihr schon einmal in Erwägung gezogen,\neine Vorrichtung zu entwickeln, die diese\nSchurken für Euch vertreibt?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06ラピス\nIhr wisst schon. Irgendetwas, das sie in die\nFlucht schlägt, ohne dass Ihr selbst einen Finger\nkrumm machen müsstet.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nフォガート\nHm, gar keine schlechte Idee! Leider hab ich\nnicht die geringste Ahnung, wer mir so etwas\nanfertigen könnte.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06ラピス\nNa, ich natürlich!\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nフォガート\nDu?!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06ラピス\nIch bin ziemlich geschickt, was Handwerkliches\nbetrifft. Schon seit meiner Kindheit habe ich mir\nimmer alles Nötige selbst gebaut.\x0E\x04\x00\x00
