MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06セピア\x021\x0E\x03\x02\x08\x06セピア\nAuf einem Schlachtfeld fern von allem, was Ihr\nkennt – wie werdet Ihr Eure Tapferkeit beweisen?\x0E\x04\x02\x00
MID_OP1_#002	Im grausamen Garten der blutigen Verzückun-\ngen des Krieges – wer wird sein Ende finden?\x0E\x04\x02\x00
MID_OP1_#003	Übergebt die vier Throne dem Feuer.\nLegt sieben Flammen in die Wiege.\x0E\x04\x02\x00
MID_OP1_#004	Doch es gibt einen, der die Wahrheit kennt.\x0E\x04\x02\x00
MID_OP1_#005	In dieser Welt gibt es keine Zukunft.\nMein einsames Herz schlägt hier nicht.\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0EE002_イル\x022\n\x0E\x03\x00\x14\x0EE002_エル\x023\n\x0E\x03\x02\x10\x0EE002_イル\nWir sind da, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Willkommen im\nKönigreich Firene!\x0E\x04\x02\x00
MID_OP2_#002	Hehehe. Es mag mir vielleicht nicht anstehen, das\nzu sagen, da ich selbst Besucher bin. Aber ich\nhatte das Gefühl, einer müsste das sagen.\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x0A\x08リュール\nEs ist seltsam... Genau wie Schloss Lythos fühlt\nsich dieser Ort vertraut an, aber... dann auch\nwieder nicht.\x0E\x04\x00\x00
MID_OP2_#004	\x0E\x03\x02\x10\x0EE002_エル\nWenn wir damit fertig sind, die Landschaft zu\nbestaunen, erlaubt mir, Euch daran zu erinnern,\nwelche Aufgabe vor uns liegt.\x0E\x04\x02\x00
MID_OP2_#005	Wir werden zum Schloss Firene gehen und den\nArmring des eigenwilligen Generals an uns\nnehmen.\x0E\x04\x02\x00
MID_OP2_#006	Und Zeit ist hier entscheidend. Wir müssen\nalle Armringe an uns nehmen, bevor unser\nGegner sie sich nimmt.\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x10\x0EE002_イル\nIch hoffe, die königliche Familie wird ihn uns\nbereitwillig übergeben, aber ich habe da meine\nZweifel.\x0E\x04\x02\x00
MID_OP2_#008	Ihr wisst ja, wie übellaunig die Firener sein\nkönnen.\x0E\x04\x00\x00
MID_OP2_#009	\x0E\x03\x02\x0A\x08リュール\nWie bitte? Die Firener, die ich kenne, sind alle\nfreundlich und friedliebend.\x0E\x04\x00\x00
MID_OP2_#010	\x0E\x03\x02\x10\x0EE002_イル\nIst dem so? In dieser Welt sind sie rachsüchtig\nund gewaltbereit – allen voran die königliche\nFamilie.\x0E\x04\x02\x00
MID_OP2_#011	Damit waren sie nützliche Verbündete in Zeiten\ndes Krieges, obwohl sie Dämonendrachen ver-\nabscheuen.\x0E\x04\x02\x00
MID_OP2_#012	Seit dem Tod \x0E\x0A\x00\x10\x06der\x06des \x0E\x0A\x00,\x14Wyrmgöttin\x14Wyrmgottes haben sie es\nvermieden, uns auch nur ein Mal auf Schloss\nLythos zu besuchen.\x0E\x04\x00\x00
MID_OP2_#013	\x0E\x03\x02\x0A\x08リュール\nUnd wer ist hier Regent? Königin Ève?\x0E\x04\x00\x00
MID_OP2_#014	\x0E\x03\x02\x10\x0EE002_エル\nNein. Sie starb zu Beginn des letzten Krieges.\x0E\x04\x02\x00
MID_OP2_#015	Und ihr Thron blieb unbesetzt bis nach dem\nKrieg, als König Alfred ihren Platz einnahm.\x0E\x04\x02\x00
MID_OP2_#016	Aber wie Nil schon sagte – er hat danach alle\nVerbindungen zu uns abgebrochen. Wir waren\nzu Vorsichtsmaßnahmen gezwungen.\x0E\x04\x02\x00
MID_OP2_#017	Also haben wir eine Vertraute gebeten,\nunsere Augen und Ohren in Firene zu sein.\x0E\x04\x02\x00
MID_OP2_#018	Sie sollte uns in Kürze hier treffen.\x0E\x04\x00\x00
MID_OP2_#019	\x0E\x03\x00\x1C\x16E002_セレスティア\x024\n\x0E\x06\x002\x16E002_セレスティア\x18MPID_Unknown\n\x0E\x03\x02\x18\x16E002_セレスティア\nMilady Nel, Mylord Nil! Hallo, hallo!\x0E\x04\x00\x00
MID_OP2_#020	\x0E\x03\x02\x10\x0EE002_エル\nZelestia. Wir haben gerade über dich\ngesprochen.\x0E\x04\x00\x00
MID_OP2_#021	\x0E\x03\x02\x0A\x08リュール\nHuch!\x0E\x04\x00\x00
MID_OP2_#022	\x0E\x06\x004\x16E002_セレスティア\x1AMPID_Selestia\n\x0E\x03\x02\x18\x16E002_セレスティア\nIch habe Eure Ankunft schon sehnlichst er-\nwartet. Nach so einer langen Reise werdet Ihr\ndoch gewiss sehr müde sein.\x0E\x04\x00\x00
MID_OP2_#023	\x0E\x03\x02\x10\x0EE002_エル\nIch bin sicher, unsere Reise war im Vergleich zu\ndeiner Spionagearbeit hier ein Kinderspiel.\x0E\x04\x00\x00
MID_OP2_#024	\x0E\x03\x02\x18\x16E002_セレスティア\nOh, das war doch gar nichts, Milady Nel.\x0E\x04\x02\x00
MID_OP2_#025	Aber wen habt Ihr denn da mitgebracht?\x0E\x04\x02\x00
MID_OP2_#026	Oh! Wie kommt es, dass Ihr mich so an \x0E\x0A\x00\x10\x06die\x06den\n\x0E\x0A\x00(\x14Wyrmgöttin\x10Wyrmgott \x0E\x06\x03\x00 erinnert?\x0E\x04\x00\x00
MID_OP2_#027	\x0E\x03\x02\x0A\x08リュール\nÄh... Also...\x0E\x04\x00\x00
MID_OP2_#028	\x0E\x03\x02\x18\x16E002_セレスティア\nWas für ein glorreicher Tag! \x0E\x0A\x00*\x12Göttliche\x14Göttlicher, Ihr\nwurdet wiedergeboren!\x0E\x04\x02\x00
MID_OP2_#029	Ich wusste, Ihr würdet uns niemals verlassen!\nZumindest nicht für immer. Hahaha!\x0E\x04\x02\x00
MID_OP2_#030	Es springt doch ins Auge! Wie konnte ich nur\nannehmen, dass Sombron \x0E\x0A\x00L&die Wyrmgottkönigin"den Wyrmgottkönig\nbesiegt haben könnte?\x0E\x04\x00\x00
MID_OP2_#031	\x0E\x03\x02\x10\x0EE002_イル\nZelestia, ich will dich nicht enttäuschen, aber\ndies ist nicht \x0E\x0A\x00\x10\x06der\x06die, \x0E\x0A\x00\x10\x06den\x06die du glaubst vor dir zu\nhaben.\x0E\x04\x00\x00
MID_OP2_#032	\x0E\x03\x02\x0A\x08リュール\nBitte verzeih die Verwirrung... Ich bin \x0E\x0A\x00\x10\x06der\x06die\n\x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin einer anderen Welt.\x0E\x04\x00\x00
MID_OP2_#033	\x0E\x03\x02\x18\x16E002_セレスティア\nBitte?\x0E\x04\x00\x00
MID_OP2_#034	\x0E\x03\x02\x10\x0EE002_エル\nWir hätten dich das eher wissen lassen müssen.\nDies ist nicht \x0E\x0A\x00D"die Freundin, die\x1Eder Freund, den wir beide\nkannten.\x0E\x04\x02\x00
MID_OP2_#035	Dies ist \x0E\x0A\x00\x10\x06der\x06die \x0E\x0A\x00 \x0CRetter\x10Retterin, \x0E\x0A\x00\x10\x06den\x06die Nil und ich mit einem\nuralten Ritual zu uns gerufen haben.\x0E\x04\x00\x00
