MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nMit Emblem Corrin in unseren Reihen sind\nnun die Ringe aller Länder eingesammelt.\x0E\x04\x02\x00
MID_OP1_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nRichtig. Keine herrenlosen Ringe mehr. Alle sind\nentweder bei Sombron oder bei uns.\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0A\x08リュール\nÜberlegen wir, wo wir gerade stehen.\x0E\x04\x02\x00
MID_OP1_#004	Fünf Embleme stehen auf unserer Seite.\x0E\x04\x02\x00
MID_OP1_#005	Lyn, Lucina, Ike, Byleth, und jetzt Corrin.\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nGleichzeitig hat der Dämonendrache sieben\nRinge in seinen dreckigen Krallen, die meisten\ndavon unsere alten Verbündeten.\x0E\x04\x02\x00
MID_OP1_#007	Marth, Sigurd, Celica, Micaiah, Leif und Roy.\x0E\x04\x02\x00
MID_OP1_#008	Und ein weiterer Emblem-Ring, den seine\nTruppen aus Lythos gestohlen haben – den\nRing der azurblauen Zwillinge.\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x0A\x08リュール\nUm alle zwölf Ringe zu erhalten, müssen wir\ndem Feind offen entgegentreten.\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x00\x12\x0Cディアマンド\x023\n\x0E\x03\x02\x0E\x0Cディアマンド\nIhr meint, wir sollen in Elusia einmarschieren?\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x01\x0E\x0Cアルフレッド\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x02\x0A\x08アイビー\nJetzt schon nach Elusia zurückzukehren...\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x00\x10\nミスティラ\x024\n\x0E\x03\x02\x0C\nミスティラ\nJepp, das wird eine komplizierte Angelegenheit.\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x0A\x08アイビー\nIn der Tat. Aber davon abgesehen wäre es\nein Fehler, jetzt in Elusia einzufallen.\x0E\x04\x02\x00
MID_OP1_#014	Sie sind eindeutig im Vorteil – ihre sieben\nEmbleme gegen unsere fünf.\x0E\x04\x00\x00
