MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nDein Herz soll so mutig sein, wie du stark bist.\nIch freue mich schon auf unsere Zusammen-\narbeit, Nel.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x06\x04エル\nDas gilt auch für Euch, Emblem Sigurd. Ich\nhabe Geschichten über Euer großes Talent und\nEure Erhabenheit als Ritter gehört.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nDeine engen Bande mit den Vier Winden\nerinnern mich an viele meiner Freundschaften.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x06\x04エル\nIch würde zu gerne Geschichten über Eure\nFreunde und Verbündeten hören – sofern Ihr\ngeneigt seid, mir über sie zu erzählen.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nIch hörte, du hast schreckliches Ungemach\ntapfer durchgestanden. Du hast meinen\naufrichtigen Respekt.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x06\x04エル\nIch würde alles für meinen Bruder tun.\nDaher sehe ich es nicht als schreckliches\nUngemach an.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x0A\x08シグルド\nFamiliäre Bande sind stark und ewig.\nDas weiß ich nur zu gut.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x06\x04エル\nLasst uns dafür sorgen, dass unser beider\nBand genauso stark und ewig wird, Emblem\nSigurd.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nIch hörte, du seist ein Drachenkrieger aus einer\nanderen Welt. Ich danke dir, dass du uns bei\nunserem Anliegen hilfst.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x0C\nラファール\nIch bin kein Held. Aber als Dank für das, was\nIhr für meine Schwester getan habt, werde\nich tun, was ich kann.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nIch erinnere mich oft an meinen Sohn aus\nmeiner Heimatwelt. Ich bedauere, dass ich ihn\nin seiner Jugend nicht begleiten konnte.\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x0C\nラファール\nIhr seid also ein Vater. Keine Sorge, Euer Sohn\nwird ganz zweifellos pflichtbewusst in Eure\nglorreichen Fußstapfen getreten sein.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nIn dieser und in meiner Welt sah ich\nGeschwister, die sich im Krieg als Feinde gegen-\nüberstanden. Es ist wahrlich eine Tragödie.\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0C\nラファール\nWollt Ihr damit etwas andeuten? Denn ich\nhabe gerade keine Lust, belehrt zu werden.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x0A\x08シグルド\nNein. Du hast einen Fehler gemacht und ihn\nkorrigiert. Ich glaube daran, dass diese Stärke\nuns leiten wird.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nDas habe ich nicht allein geschafft. Ich muss\nzugeben, an einer Freundschaft wie der\nunsrigen ist schon etwas dran.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nIch sehe es in deinen Augen: Du bist eine\nKriegerin, deren Herz stark und gerecht ist.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nEs ist eine Ehre, dies von einem Ritter wie Euch\nzu hören, Sigurd. Ich werde mein Bestes geben,\nEuch nicht zu enttäuschen.\x0E\x04\x00\x00
