MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x10\nマデリーン\x022\n\x0E\x03\x02\x0C\nマデリーン\nMilady Veyle, verzeiht die Störung, aber ich\nwürde mich gerne angemessen bei Euch vor-\nstellen.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ヴェイル\nHm? Marni, bist du das?!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nマデリーン\nMadeline, genau genommen. Es freut mich,\nEure Bekanntschaft zu machen.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ヴェイル\nOh... Ja, selbstverständlich. Schön, dich\nkennenzulernen.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nマデリーン\nIch gelobe – als Ritterin – dass ich alles in\nmeiner Macht Stehende tun werde, um Euch auf\ndem Schlachtfeld zu unterstützen.\x0E\x04\x02\x00
MID_RELIANCE_C_#006	Wisst Ihr, Mauvier hat mir von Euch erzählt...\nEr sagte, Ihr wäret streng, aber liebenswürdig\nund erlaucht.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ヴェイル\nMauvier? Du meinst bestimmt...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nマデリーン\nVerzeiht, ja. Jenen aus meiner Welt.\x0E\x04\x02\x00
MID_RELIANCE_C_#009	Aber da ich an Eurer Seite gekämpft habe,\nglaube ich, dass Ihr der Veyle recht ähnlich seid,\nvon der er gesprochen hat.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ヴェイル\nVielen Dank.\x0E\x04\x02\x00
MID_RELIANCE_C_#011	Wirklich, das ist nett...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nマデリーン\nStimmt etwas nicht? Ihr seht mich so seltsam\nan...\x0E\x04\x02\x00
MID_RELIANCE_C_#013	Oh nein! Habe ich etwas zwischen den Zähnen?\nBitte entschuldigt mich, ich suche mir einen\nSpiegel.\x0E\x04\x00\x00
