MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nUff...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nMilady Veyle!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ヴェイル\nOh, Alfred...\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nIhr seid ja ganz verschwitzt! Geht es Euch gut?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ヴェイル\nDas ist so... so scharf.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nWas denn?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ヴェイル\nDiese Suppe, die ich gerade esse.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cアルフレッド\nMoment... Das ist alles?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\nHahaha! Hahahaha!\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ヴェイル\nWas ist daran so lustig?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cアルフレッド\nIhr wirkt eben so dermaßen entschlossen,\ndie Suppe zu essen – egal, wie scharf sie sein\nmag.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ヴェイル\nNun, es ist mein Lieblingsessen. Allein, bei der\nVerkostung habe ich meine Gesichtszüge nicht\nganz unter Kontrolle.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ヴェイル\nIch weiß was. Wie wäre es, wenn IHR sie mal\nprobiert?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ヴェイル\nSo scharf, wie sie ist, werden Euch auch die\nGesichtszüge entgleisen. Wartet nur und seht!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\nHerausforderung angenommen!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cアルフレッド\nBäh...\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cアルフレッド\nHmmm?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cアルフレッド\nAAAH! Scharf! Zu scharf! Brauche! Wasser!\nJETZT!\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08ヴェイル\nHihihi! Seht nur. Euer Gesicht war weit\nunkontrollierter als meines. Ich habe gewonnen!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nAlfred, ich bin über etwas besorgt.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nHmm, nun... Wie wäre es, wenn wir gemeinsam\nlaufen würden?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ヴェイル\nDas verstehe ich nicht. Wie soll das denn\nhelfen?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nHahaha. Wenn der Schweiß in Strömen fließt\nund die Beine schmerzen, schmelzen alle\nanderen Sachen dahin!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ヴェイル\nIch soll also... einfach alles vergessen, was mich\nbesorgt?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nKlar. Wenn Euch das Zeug dann nicht mehr\nstört, ist das doch gut.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ヴェイル\nÄhm, lasst es mich noch mal versuchen.\nIch habe Sorgen, und die möchte ich lösen –\nnicht einfach vergessen.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cアルフレッド\nDann erzählt mir davon.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ヴェイル\nNun gut. Ich möchte den Leuten irgendwie\nhelfen, sobald der Krieg vorbei ist.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ヴェイル\nIch weiß noch nicht genau, was ich tun soll,\naber...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ヴェイル\nIch habe mich gefragt, ob Ihr mir helfen könntet,\nes zu entscheiden.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cアルフレッド\nNatürlich! Ich helfe mit Vergnügen, wo immer\nich kann.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ヴェイル\nOh, danke. Ich wusste, Euch zu fragen ist die\nrichtige Wahl.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ヴェイル\nAber jetzt kommt das, was mich besorgt. Alfred,\nich habe so viele schlimme Dinge getan... früher.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ヴェイル\nIch glaube nicht, dass die Leute dort draußen –\nabgesehen vielleicht von den wenigen hier –\nmeine Hilfe annehmen werden.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cアルフレッド\nJapp. Könnte sein. Eine Menge Leute kennen\nnicht die ganze Geschichte über dich.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cアルフレッド\nAber das ist nicht schlimm. Du kannst dir alle\nZeit der Welt nehmen, damit die Leute dich\nverstehen.\x0E\x04\x00\x00
