MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0A\x08リュール\nOh nein, was habe ich getan...\x0E\x04\x02\x00
MID_RELIANCE_C_#002	Wenigstens wurden die Bücher nicht\nbeschädigt. Ich hebe sie besser auf, bevor\nnoch jeman--\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nグレゴリー\nWas tut Ihr da, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リュール\nOh! Hallo, Gregory. Ich wurde gebeten, hier\nbeim Aufräumen zu helfen, aber dann...\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nグレゴリー\nAber dann fielen Euch alle Bücher zu Boden,\nhm? Selbst \x0E\x0A\x00\x10\x06der\x06die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin kann nicht alle auf\neinmal tragen!\x0E\x04\x02\x00
MID_RELIANCE_C_#006	Kommt, lasst mich Euch helfen. Viele Hände,\nschnelles Ende, so sagt man doch, nicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nVielen, vielen Dank.\x0E\x04\x02\x00
MID_RELIANCE_C_#008	Wenn wir zusammenarbeiten, sind wir bald\nfertig.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nグレゴリー\nWieso wird hier überhaupt so groß aufgeräumt?\x0E\x04\x02\x00
MID_RELIANCE_C_#010	Oder besser gefragt: Warum seid Ihr \x0E\x0A\x00(\x12derjenige\x12diejenige,\n\x0E\x0A\x00\x10\x06der\x06die das übernommen hat?\x0E\x04\x02\x00
MID_RELIANCE_C_#011	Ich meine, ist das nicht etwas, das Ihr einem\nEurer Verbündeten auftragen könnt?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リュール\nIch könnte sicherlich jemanden bitten, meine\nArbeit zu übernehmen.\x0E\x04\x02\x00
MID_RELIANCE_C_#013	Aber ich möchte helfen, wo immer ich kann.\nSelbst wenn es um Aufräumen und Putzen geht.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nグレゴリー\nHm...\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08リュール\nSo, die Bücher sind nun ordentlich gestapelt.\nWollen wir hoffen, dass sie nicht wieder\numkippen.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nグレゴリー\nSo ein freundliches Wesen... Ich hoffe nur, dass\nniemand es ausnutzen wird.\x0E\x04\x00\x00
