MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nヴァンドレ\nNichts könnte entspannender sein als ein\nwenig Strickarbeit.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x00\x10\nザフィーア\x021\n\x0E\x03\x02\x0C\nザフィーア\nOh, Vander! Hätte nicht erwartet, Euch mit,\näh... Nadel und Faden zu sehen?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nヴァンドレ\nOh, Saphir.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nヴァンドレ\nNicht so laut bitte. Ich arbeite an etwas, das viel\nFeingefühl verlangt, und könnte leicht Fehler\nmachen, wenn Ihr mich aus der Ruhe bringt.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nザフィーア\nKlar. Verzeihung.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nザフィーア\nIch war nur etwas erstaunt, ausgerechnet Euch\nstricken zu sehen. Ist wohl eines Eurer Hobbys?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nヴァンドレ\nJa. Doch was ist daran so erstaunlich? Habt Ihr\netwa keine eigenen Hobbys?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nザフィーア\nIch bin eine einfache Ritterin durch und durch.\nMein Kampftraining ist alles, was ich brauche.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nヴァンドレ\nAuf dem Gebiet lernt man wahrlich nie aus.\nDoch diese Fähigkeit hier kann ebenfalls\nnützlich sein, selbst auf dem Schlachtfeld.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nザフィーア\nEcht? Wie denn das?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nヴァンドレ\nBeim Stricken geht es darum, Bewegungen zu\nerlernen, die Fingerspitzengefühl erfordern,\nund diese durch Wiederholung zu meistern.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nヴァンドレ\nWer dabei ungeduldig voranschreitet, erzielt\nbloß mangelhafte Ergebnisse.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nヴァンドレ\nDasselbe könnte man über die Fähigkeiten\naussagen, die wir fürs Schlachtfeld trainieren,\nfindet Ihr nicht auch?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nザフィーア\nHm! Da ist was dran. So hatte ich das noch nie\ngesehen.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nヴァンドレ\nSeid Ihr also interessiert daran zu lernen, mit\nNadel und Faden umzugehen?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nザフィーア\nKlar, wieso nicht?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nヴァンドレ\nAusgezeichnet. Ich werde Euch gerne alles\nbeibringen, was ich weiß. Ich bin mir sicher,\nIhr werdet es sehr erfüllend finden.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nIhr habt eine Masche fallen lassen, Saphir.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nザフィーア\nUff... Ja, natürlich hab ich das. Diese blöden\nSchlaufen können auch keine halbe Sekunde\nstillhalten...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nヴァンドレ\nGanz ruhig und schön langsam. Ansonsten\nverheddern sich Eure Maschen noch.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nザフィーア\nDafür ist es längst zu spät. Das Ding sieht aus\nwie ein altes Fischernetz, das an den Strand\nangespült wurde.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nヴァンドレ\nHmm... Ja, ich sehe, was Ihr meint. Ihr werdet\nwohl die letzten paar Maschen wieder lösen und\nerneut stricken müssen.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nザフィーア\nWirklich?! Ist das Euer Ernst?! Uff... Ich kann\ndas einfach nicht.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nヴァンドレ\nNicht verzagen, wir üben ja nur. Betrachtet\nsolch einen ungeschickten Fehler als Teil der\nLernerfahrung.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nザフィーア\nUngeschickt! Ja, weil ich so... Pah. Es tut mir\nleid, Vander. Das Stricken ist nichts für mich.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nザフィーア\nIch weiß zu schätzen, dass Ihr Euch die Zeit\ngenommen habt, aber für diese Art Arbeit bin\nich einfach nicht gemacht.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nヴァンドレ\nIst dem so? Es erstaunt mich zu sehen, wie eine\nRitterin von Brodia beim ersten Anzeichen von\nSchwierigkeiten kapituliert.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nヴァンドレ\nMan sagt Brodias Kriegern enorme\nEntschlossenheit nach, doch womöglich ist\nan diesem Ruf weniger Wahres, als ich dachte.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nザフィーア\nAha.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nザフィーア\nIhr versucht mich wohl zu provozieren? Das\npasst nicht zu Euch. Bleibt lieber bei Eurem\nFeingefühl.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nザフィーア\nIhr habt allerdings recht, was brodianische\nRitter betrifft. Wir geben nie auf, also werde ich\nauch hiervor nicht kapitulieren.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nヴァンドレ\nVielleicht war ich zu streng mit Euch.\nIch werde von nun an sanfter sein mit\nmeinen Anweisungen.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nザフィーア\nNein, nein. Ihr habt mehr als genug getan.\nDen Rest werde ich allein bewerkstelligen.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nザフィーア\nIch werde so eifrig stricken wie noch nie. Wartet\nnur ab! Ihr werdet so beeindruckt sein, dass es\nEuch die Schulterplatten von der Rüstung reißt.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nヴァンドレ\nNun gut. Ich will gespannt auf Eure Ergebnisse\nwarten.\x0E\x04\x00\x00
