MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リンデン\nHngh...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nヴァンドレ\nSir Lindon? Was ist denn los?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リンデン\nIch gebe es nur ungern zu, doch mein unterer\nRückenbereich bereitet mir in letzter Zeit\nzunehmend Ärger.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リンデン\nGanz gleich, wie viel ich als königlicher Ritter\nvon Elusia einst trainiert haben mag, das Alter\nlässt sich wohl von niemandem besiegen.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nヴァンドレ\nRedet doch keinen Unfug. Ihr seid ein\ntalentierter Weiser. Ich würde sagen, Ihr habt\nkein bisschen nachgelassen.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08リンデン\nMein Verstand ist scharf wie eh und je, in dem\nPunkt stimme ich Euch zu. Doch körperlich\nereilt mich ein bedrückender Verfall.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リンデン\nAuch Ihr seid kein junges Küken mehr, wisst Ihr.\nKönnt Ihr wirklich von Euch selbst behaupten,\nIhr wäret noch so sehr in Form wie früher?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nヴァンドレ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nヴァンドレ\nIch werde nicht vorgeben, dass meine Ausdauer\noder meine Reflexe noch dieselben wären wie\nzu meiner Blütezeit.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nヴァンドレ\nDoch was ich in der Hinsicht verloren habe,\nhabe ich durch Erfahrung wieder wettgemacht.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nヴァンドレ\nEs hat keinen Zweck, sein Alter zu beklagen.\nMan sollte schlichtweg alles geben, was dem\neigenen Körper noch zuzumuten ist.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リンデン\nHahaha, weise gesprochen! Ich sollte mir ein\nBeispiel an Euch nehmen.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リンデン\nIch mag in die Jahre gekommen sein, doch ich\nsoll verflucht sein, wenn ich mich von der\nJugend abhängen lasse!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nヴァンドレ\nRecht habt Ihr, Sir Lindon. Gut gesprochen.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08リンデン\nEin Teil von mir sehnt sich danach, seinen\nLebensabend in Ruhe und Entspannung zu\nverbringen.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リンデン\nDoch Ihr habt mich davon überzeugt, noch ein\nwenig mehr aus diesem alten Körper\nherauszuholen.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リンデン\nHmmm...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nGibt es Probleme, Sir Lindon?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リンデン\nIch habe ein äußerst faszinierendes Zauberbuch\nentdeckt.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リンデン\nMit dem, was darin steht, könnte ich womöglich\neine ganz neue Art von Magie entwickeln.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nヴァンドレ\nDas klingt interessant. Was für eine Art von\nMagie wäre das?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リンデン\nIhr werdet es nicht glauben, aber es handelt sich\num einen Verjüngungszauber.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nヴァンドレ\nAber... solch einen Zauber kann es doch gar\nnicht geben. Oder doch?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08リンデン\nFürs Erste ist es reine Theorie. Selbst wenn ich\ndie kleineren Details korrekt ausarbeite, kann\nich nicht versprechen, dass es funktioniert.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リンデン\nDoch falls der Zauber Früchte tragen sollte,\nkönnten wir wieder so agil kämpfen wie unsere\njüngeren Kameraden.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リンデン\nIch bin natürlich auch jetzt nicht unfähig,\ndoch hätte ich meine Jugend zurück, so wäre\nich ein wahrer Schrecken auf dem Schlachtfeld.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リンデン\nUnd auch vom Krieg einmal abgesehen... Magie\ndieser Art würde die Gesellschaft in ihren\nGrundfesten verändern.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リンデン\nIch verspreche Euch: Sollte ich irgendwelche\nFortschritte machen, werdet Ihr der Erste sein,\nder in den Genuss dieses Zaubers kommen darf.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nヴァンドレ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nヴァンドレ\nWas Ihr da beschreibt, ist, als würde ein Traum\nwahr werden. Und dennoch muss ich ablehnen.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リンデン\nWieso das? Wollt Ihr Eure verlorene Jugend\ndenn nicht zurückgewinnen?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nヴァンドレ\nIch sagte Euch bereits, dass ich damit zufrieden\nbin, alles zu leisten, was mein Körper noch\nhergibt.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nヴァンドレ\nIch werde meine Erfahrungen an die jüngere\nGeneration weitergeben. Die Welt braucht Lehr-\nmeister ebenso sehr, wie sie Krieger braucht.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リンデン\nHm...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08リンデン\nNun gut, nun gut. Ich muss Euch dafür loben,\ndass Ihr Euren Prinzipien so treu seid.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08リンデン\nDoch sollte meine Arbeit tatsächlich Erfolg\nhaben, so werdet Ihr sicher ein anderes Lied\nsingen.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08リンデン\nHm-hm. Ich schätze, das werden wir sehen,\nwenn es so weit ist, nicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nSir Lindon. Wie seid Ihr seit unserer letzten\nUnterhaltung mit der Arbeit an Eurem\nVerjüngungszauber vorangekommen?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リンデン\nHahaha, das Experiment war ein furchtbarer\nFehlschlag.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リンデン\nIch führe dies zurück auf einen Fehler im\nZauberbuch – dieser hat mein Interesse\nfälschlicherweise geweckt.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リンデン\nEin Zauberspruch, der den Anwender verjüngt...\nDas klang zu gut, um wahr zu sein. Und letzten\nEndes war tatsächlich nichts Wahres daran.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nヴァンドレ\nIch verstehe. Sehr bedauernswert.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リンデン\nUm ehrlich zu sein war ich sogar ein wenig\nerleichtert.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nヴァンドレ\nWieso das?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リンデン\n„Dafür habe ich an Erfahrung gewonnen.“\n„Diese Welt braucht Lehrmeister.“\nDas waren in etwa Eure Worte.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リンデン\nWährend ich meinen Experimenten nachging,\nmusste ich oft an diese Aussagen denken.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リンデン\nAls ich noch jünger war, habe ich so vieles von\ndem, was ich heute weiß, von der älteren\nGeneration gelernt.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リンデン\nDer Gedanke an eine Welt ohne derartige\nLehrmeister begann, mir ein wenig Angst zu\nmachen.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リンデン\nDarüber hinaus habe ich auch einiges daraus\ngelernt, älter zu werden und meine Fähigkeiten\nals Ritter zu verlieren.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リンデン\nVielleicht ist es das fortgeschrittene Alter selbst,\ndas uns erst dazu befähigt, die Rolle eines\nUnterweisenden einzunehmen.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nヴァンドレ\nAh, Euch ist also ein Licht aufgegangen.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nヴァンドレ\nWelch Schande, dass offenbar niemand zugegen\nwar, um die Person, die diesen Fehler ins Buch\neinbrachte, entsprechend zu rügen.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リンデン\nEs war wirklich ein großer Schreck für mich, als\nich den Fehler bemerkte. Aber ich habe auch\neinen unerwarteten Nutzen darin gefunden.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nヴァンドレ\nOh? Ich höre.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リンデン\nFällt Euch irgendetwas auf, wenn Ihr mich so\nvor Euch stehen seht?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nヴァンドレ\nHmm. Ihr wirkt tatsächlich ein wenig lebhafter\nals bei unserer letzten Begegnung.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リンデン\nSehr aufmerksam von Euch!\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リンデン\nWährend meiner Arbeit an dem Zauber\nstieß ich auf ein kleines Ritual, das mir bei\nmeinen Rückenschmerzen half.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08リンデン\nUnd seitdem fühle ich mich wieder fit und\nmunter!\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nヴァンドレ\nIst das wahr?!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08リンデン\nVernehme ich da etwa ein gewisses Interesse in\nEurer Stimme? Könnte es sein, dass ich hier\nnicht der Einzige mit Rückenproblemen bin?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nヴァンドレ\nIch wollte es bisher nicht zugeben, aber... ja.\nIhr habt natürlich recht.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08リンデン\nNun denn! Haltet bitte still, Vander, dann werde\nich das Ritual auch für Euch durchführen.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08リンデン\nImmerhin sollte Euch auch das Unterrichten\nder jüngeren Generationen leichterfallen, wenn\nIhr dafür in Form seid.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nヴァンドレ\nMan überlasse es einem elusianischen Weisen,\nselbst einen Fehlschlag noch in einen Erfolg\numzuwandeln.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08リンデン\nIhr schmeichelt mir, Sir Vander. ...Nun, dann\nwollen wir den jungen Soldaten mal zeigen,\nwozu wir alten Käuze noch so alles fähig sind.\x0E\x04\x00\x00
