MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x08\x06ラピス\nDu bist... Boucheron, richtig? Ich bin Lapis.\nIch habe ab heute Austeildienst.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nブシュロン\nGenau. Ich bin Boucheron. Sieht so aus, als\nwürden wir gemeinsam austeilen. Schön,\ndich kennenzulernen.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nブシュロン\nBringen wir es schnell über die Bühne.\nIch denke, alle sind schon ganz schön hungrig.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nブシュロン\nLegen wir los. So viel Milch sollte reichen.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06ラピス\nReichen?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ラピス\nDas ist viel zu viel.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nブシュロン\nFindest du? Mir kommt die Menge genau richtig\nvor.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06ラピス\nDann musst du mal deine Augen prüfen lassen.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06ラピス\nSo viel Milch reicht für mindestens zehn Tage.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nブシュロン\nWovon redest du? Die reicht ja nicht mal für\ndas Essen hier.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06ラピス\nWovon redest du? Schau mal. Füll mal einen\nTeil Milch in die Tasse.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06ラピス\nUnd dann füge zehn Teile Wasser hinzu.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nブシュロン\nAugenblick mal. Warum soll da Wasser dazu?\nUnd warum gleich so viel?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06ラピス\nVerdünnst du deine Milch denn nicht? Soweit\nich weiß, ist pure Milch doch ungesund.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nブシュロン\nDas höre ich gerade zum ersten Mal.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06ラピス\nÄh...\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06ラピス\nDu nimmst mich nicht auf den Arm, oder?\nDu meinst das ernst?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nブシュロン\nTotal ernst.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06ラピス\nOh...\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06ラピス\nIn dem Fall... Vergiss einfach, was ich gesagt\nhabe. Ich war wohl verwirrt.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0C\nブシュロン\nJetzt bin ich selber verwirrt...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x08\x06ラピス\nScheint, als hätten wir beide heute wieder\nAusteildienst.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nブシュロン\nScheint so.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nブシュロン\nOooh! Heute gibt es Steak!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06ラピス\nMmm! Das sieht so lecker aus!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ラピス\nKommt her, allesamt. Nehmt euch euren Reis\nund stellt euch an.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nブシュロン\nMoment, warum rufst du alle auf einmal?\nWir bedienen hier einen nach dem anderen.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06ラピス\nWas? Aber wir müssen doch erst alle mit dem\nDuft sättigen.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nブシュロン\nWir müssen WOMIT sättigen? Wovon redest du\ndenn da?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06ラピス\nVon Steakduft natürlich.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06ラピス\nMan muss den Reis essen, während man das\nSteak auf dem Grill riecht. So wird man\nschneller satt.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nブシュロン\nWas?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06ラピス\nKomm schon, Boucheron. Du bist erwachsen.\nDas solltest du alles inzwischen wissen.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nブシュロン\nIst das so eine brodianische Sitte?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ラピス\nNein? So essen alle Leute überall auf der Welt.\x0E\x04\x00\x00
