MID_TUT_BMAP_EVIL_MAGECANON_EN_TITLE	Magiekanonier
MID_TUT_BMAP_EVIL_MAGECANON_EN_0	Magiekanoniere können mit Kanonen über große\nDistanzen hinweg angreifen. Gib stets acht auf\nihre Reichweite!
MID_TUT_BMAP_EVIL_MAGECANON_EN_1	Die Gefahrenzone für Magiekanoniere\nunterscheidet sich optisch von der normalen\nGefahrenzone.
MID_TUT_HUB_WELL_TITLE	Alter Brunnen
MID_TUT_HUB_WELL_0	Du kannst überzählige Items in den Brunnen\nwerfen. Bedenke aber, dass sie dann\nunwiederbringlich verloren sind.
MID_TUT_HUB_WELL_1	Kehrst du nach wenigstens einer Schlacht\nzurück, wirst du dort jedoch mit einigen\nneuen Items belohnt.
MID_TUT_HUB_WELL_2	Je wertvoller das Item ist, das du in den\nBrunnen wirfst, desto wahrscheinlicher ist es,\nein noch wertvolleres Item zu erhalten.
MID_TUT_HUB_WELL_WEAPON_1	Der Inhaber des Arsenals möchte mit dir\nsprechen.
MID_TUT_HUB_WELL_WEAPON_2	Begib dich zum Brunnen und suche dort\nnach dem verlorenen Item des Inhabers des\nArsenals.
MID_TUT_HUB_WELL_WEAPON_3	Du hast es gefunden! Kehre nun zum Arsenal\nzurück und übergib das Item seinem Besitzer.
MID_TUT_GOD_CHROM_TITLE	Emblem Chrom
MID_TUT_GOD_CHROM_0	Emblem Chrom und Emblem Daraen setzen\nGegnern gemeinsam mit Schwert- und Magie-\nangriffen sowie besonderen Kampfstrategien zu.
MID_TUT_GOD_CHROM_1	Die Synchro-Fähigkeit „Überraschungsangriff“\nverhindert Gegenangriffe, falls sie auf Gelände\nmit Boni für Ausweichen (Aw.) ausgeführt wird.
MID_TUT_GOD_CHROM_2	Die Bündniswaffe „Donnerschwert“ kann aus\nder Ferne Gegnern mit Magie Schaden zufügen.
MID_TUT_GOD_CHROM_3	Die Bündnis-Fähigkeit „Andere Hälfte“ ruft\nDaraen herbei, der den Magiewert (Mag.) erhöht\nund an Koop-Schlägen teilnimmt.
MID_TUT_GOD_CHROM_4	Der Bündnis-Angriff „Giga-Donnerschwert“ ist\nein magischer Hieb, der Gegnern mit niedriger\nResistenz hohen Schaden zufügt.
MID_TUT_GOD_VERONICA_TITLE	Emblem Veronica
MID_TUT_GOD_VERONICA_0	Emblem Veronica verfügt über eine Vielzahl\nvon besonderen Fähigkeiten, darunter das\nBeschwören Verbündeter aus anderen Welten.
MID_TUT_GOD_VERONICA_1	Die Synchro-Fähigkeit „Revanche“ erhöht den\nAngriff der Einheit um X (X = 30 % d. Differenz\nzwischen aktuellen KP und max. KP der Einh.).
MID_TUT_GOD_VERONICA_2	Die Bündniswaffe „Hliðskjálf“ verhindert\nGegenangriffe, wenn die Einheit den Kampf\ninitiiert.
MID_TUT_GOD_VERONICA_3	Die Bündnis-Fähigkeit „Kontrakt“ ermöglicht\nVerbündeten, die bereits eine Aktion ausgeführt\nhaben, einen weiteren Angriff oder Item-Einsatz.
MID_TUT_GOD_VERONICA_4	Der Bündnis-Angriff „Held beschwören“ ruft\neinen Verbündeten aus einer anderen Welt\nherbei, der dich in der Schlacht unterstützt.
MID_TUT_TIPS_Veronica	Emblem Veronica
MID_TUT_TIPS_Chrom	Emblem Chrom
MID_TUT_TIPS_Reflet	Emblem Daraen
MID_TIPS_OTHER_36	Wirfst du ein Item in den alten Brunnen, wirst du dort nach deiner nächsten Schlacht\nein anderes Item finden.
MID_TIPS_SKILL_34	Nach dem Besiegen einer Einheit mit einem höheren Level, wird der Level des Angreifers\nbis zum Ende der Schlacht erhöht.
MID_TIPS_SKILL_35	Für jede Runde, in der die Einheit „Warten“ nutzt, ohne anzugreifen oder ein Item\neinzusetzen, erhöht sich die Stufe des Weltenbuchs.
MID_TIPS_JOB_01	Du kannst den Fluch der Phantomwölfe mit einem Erneuerungsstab aufheben.
MID_TIPS_GOD_35	Kaiserliche Prinzessin des Imperiums Embla, Teil einer anderen Welt. Verfügt über die\nMacht, Portale zu anderen Welten zu öffnen.
MID_TIPS_GOD_36	Eine junge Thronfolgerin, die im Kampf gegen andere Nationen Helden aus den\nverschiedensten Welten kontrolliert.
MID_TIPS_GOD_37	Prinz aus dem Königreich Ylisse, einem Land in einer anderen Welt. Erbe der legendären\nKlinge Falchion.
MID_TIPS_GOD_38	Ein Taktiker, den ein unzertrennbares Band mit Chrom verbindet. Sein Scharfsinn\nwendete einst das Blatt in einer Schlacht und bescherte seinen Verbündeten den Sieg.
