MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nGoldmary, ich hörte, Ihr wäret eine gar\nvorzügliche Köchin.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDas bin ich in der Tat.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nZum Leidwesen aller minderwertigen Köche\nmuss ich leider sagen, dass mein Talent in der\nKüche seinesgleichen sucht.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDas Gewicht des Neides anderer lastet schwer\nauf mir, doch ich nehme an, das ist der Preis,\nden man für Großartigkeit zu zahlen hat.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08パネトネ\nWunderbar. Nun, da Ihr so eine Expertin seid,\nwürdet Ihr mich wohl darin unterrichten?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nVielleicht. Wieso?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08パネトネ\nZu meiner Schande muss ich gestehen, dass ich\nin der Kochkunst überhaupt nicht bewandert\nbin.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08パネトネ\nDoch als Person, die der königlichen Familie\ndient, sollte ich zumindest gewisse Fähigkeiten\nin der Küche aufweisen können, meint Ihr nicht?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSelbstverständlich...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEuch meine kulinarischen Geheimnisse\nanzuvertrauen würde jedoch bedeuten, es gäbe\nmehr Konkurrenz für mich.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08パネトネ\nIch versichere Euch, es ist nicht meine Absicht,\nEuch den Rang abzulaufen. Alles, was ich will,\nist, die Chefin zufriedenzustellen.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cゴルドマリー\nWenn es dabei allein um die Kronprinzessin\ngeht...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNa gut. Aus Achtung vor Eurer Ergebenheit\nwerde ich Euren Wunsch erfüllen.\x0E\x04\x00\x00
