MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x022\n\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x02\x0E\x0Cアルフレッド\nWas macht Ihr denn so spät noch hier,\nPrinzessin Ivy?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08アイビー\nPrinz Alfred.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08アイビー\nIch schätze, es erscheint verdächtig, dass eine\nElusianerin nachts allein umherstreift.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08アイビー\nKeine Sorge. Ich plane nicht, jemanden zu\nermorden oder Brandstiftung zu begehen.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08アイビー\nWobei ich sicher bin, dass meine Beteuerungen\nEuch nichts bedeuten, da sie schließlich von\nmir stammen.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cアルフレッド\nOh, Ihr scheint nicht so schlimm zu sein.\nInzwischen tendiere ich dazu, Euch zu\nvertrauen.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08アイビー\nAch? Die Naivität des firenischen Kronprinzen\nüberrascht mich.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\nWenn das der Preis ist, den ich für mein\nVertrauen in andere zahle, dann soll naiv mein\nzweiter Vorname sein!\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08アイビー\nHm. Wolltet Ihr jetzt was von mir?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08アイビー\nWenn Ihr meine Motive nicht anzweifeln würdet,\nwärt Ihr schon längst verschwunden.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cアルフレッド\nNein. Ich lasse Euch nicht allein.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08アイビー\nUnd weshalb?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cアルフレッド\nWeil es ziemlich offensichtlich ist, dass Ihr Euch\nverlaufen habt.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08アイビー\nMeint Ihr?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cアルフレッド\nDas Somniel ist ein großer Ort, mit vielen Ecken\nund Winkeln. Da passiert es schnell, dass man\nsich verirrt.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08アイビー\nAh...\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08アイビー\nIch gebe zu, ich habe mich ein wenig verlaufen.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0E\x0Cアルフレッド\nWenn Ihr dorthin wollt, wohin ich denke, dass\nIhr wollt, kenne ich den Weg. Gestattet mir,\nEuch zu helfen.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08アイビー\nÄhä...\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0A\x08アイビー\nDanke.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x022\n\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x02\x0E\x0Cアルフレッド\nPrinzessin Ivy! Wir sollten aufhören, uns zu\ndieser Uhrzeit zu treffen.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08アイビー\nPrinz Alfred. Solltet Ihr nicht längst im Bett\nsein?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nOh, das ist für mich nicht spät. Ich bin nur\nheute Morgen früh aufgestanden!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08アイビー\nIch glaube kaum, dass diese Uhrzeit spät genug\nist, um bereits als „heute Morgen“ zu gelten.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nWarum seid Ihr um diese Zeit eigentlich noch\nwach?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08アイビー\nIch konnte nicht schlafen.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cアルフレッド\nIch hätte gedacht, hier fiele das Schlafen noch\nschwerer – es ist schließlich auch viel heller\nund so.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08アイビー\nNein. Hier... ist es mir sogar lieber.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cアルフレッド\nHmmmm.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cアルフレッド\nDer Wind weht stark heute Nacht, nicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cアルフレッド\nSo, wie er durch die Bäume weht, klingt er fast\nwie ein heulender Geist.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08アイビー\nWas versucht Ihr damit anzudeuten?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cアルフレッド\nIhr könnt ehrlich zu mir sein, Prinzessin.\nIhr hattet Angst, so ganz allein in Eurem\nZimmer, richtig?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08アイビー\nWie könnt Ihr es wagen!\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cアルフレッド\nHey, dafür muss man sich nicht schämen.\x0E\x04\x00\x00
