MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06マルス\x021\n\x0E\x03\x02\x08\x06マルス\nDer letzte Kampf steht an. Wenn Ihr bereit seid,\nbewegen wir das Somniel selbst zum Portal.\x0E\x04\x02\x00
MID_OP1_#002	Sobald wir dem Dämonendrachen gegenüber-\ntreten, gibt es wohl kein Zurück mehr.\x0E\x04\x02\x00
MID_OP1_#003	Seid Ihr innerlich bereit und auch ausgerüstet\nfür das, was bevorsteht?\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x0C\x06マルス\x021\n\x0E\x03\x02\x0A\x08リュール\nDas Somniel steigt in die Höhe. Bald sollten wir\nSombron erreichen.\x0E\x04\x02\x00
MID_OP2_#002	Lasst uns diesen Kampf gewinnen und dann\ngemeinsam heimkehren.\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x08\x06マルス\nJa. Natürlich...\x0E\x04\x02\x00
MID_OP2_#004	Ack...
MID_OP2_#005	\x0E\x03\x02\x0A\x08リュール\nMarth! Was geschieht mich Euch?!\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x02\x08\x06マルス\nIch kann es wohl nicht länger verbergen...\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x0A\x08リュール\nWas verbergen?!\x0E\x04\x00\x00
MID_OP2_#008	\x0E\x03\x02\x08\x06マルス\nEs gibt etwas, das ich Euch sagen sollte, bevor\nwir ankommen, \x0E\x06\x03\x00.\x0E\x04\x02\x00
MID_OP2_#009	Das Portal hat unsere Welt destabilisiert.\x0E\x04\x02\x00
MID_OP2_#010	Ich habe keinen physischen Körper, ebenso wie\ndie anderen Embleme. Womöglich werden wir\nunsere Form nicht beibehalten können.\x0E\x04\x00\x00
MID_OP2_#011	\x0E\x03\x02\x0A\x08リュール\nDavon wusste ich nichts. Ich wünschte, ich\nhätte das bemerkt.\x0E\x04\x02\x00
MID_OP2_#012	Aber wenn das Portal dafür verantwortlich ist,\nist das nur vorübergehend, richtig?\x0E\x04\x02\x00
MID_OP2_#013	Nachdem wir es geschlossen haben, könnt Ihr\nund die anderen Embleme Euch erholen.\x0E\x04\x00\x00
MID_OP2_#014	\x0E\x03\x02\x08\x06マルス\n...\x0E\x04\x02\x00
MID_OP2_#015	Wenn sich das Portal schließt, wird es eine\nstarke Verzerrung geben.\x0E\x04\x02\x00
MID_OP2_#016	Wir werden ihr nicht standhalten können.\x0E\x04\x00\x00
MID_OP2_#017	\x0E\x03\x02\x0A\x08リュール\nWas sagt Ihr da?\x0E\x04\x00\x00
MID_OP2_#018	\x0E\x03\x02\x08\x06マルス\nWenn der Kampf vorüber ist und das Portal\nsich schließt, werden alle Embleme außer\nEuch...\x0E\x04\x02\x00
MID_OP2_#019	verschwinden.\x0E\x04\x00\x00
MID_OP2_#020	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x02\x00
MID_OP2_#021	Ihr meint, wenn wir Sombron bezwingen...\nWenn wir das Portal schließen...\x0E\x04\x02\x00
MID_OP2_#022	Dann verlieren wir Euch und die anderen\nEmbleme?\x0E\x04\x00\x00
MID_OP2_#023	\x0E\x03\x02\x08\x06マルス\nJa.\x0E\x04\x00\x00
MID_OP2_#024	\x0E\x03\x02\x0A\x08リュール\nWir waren die ganze Zeit zusammen und jetzt\nverschwindet Ihr einfach?\x0E\x04\x02\x00
MID_OP2_#025	Bitte, Marth... Ich will Euch und die anderen\nnicht verlieren! Wir brauchen Euch!\x0E\x04\x00\x00
MID_OP2_#026	\x0E\x03\x02\x08\x06マルス\nDas Portal geöffnet zu lassen, würde diese Welt\ndem Untergang weihen. Wäre Euch das lieber?\x0E\x04\x00\x00
MID_OP2_#027	\x0E\x03\x02\x0A\x08リュール\nNein, aber...\x0E\x04\x02\x00
MID_OP2_#028	\x0E\x03\x02\x08\x06マルス\nWir Embleme existieren, um diesem Reich zu\nHilfe zu kommen.\x0E\x04\x02\x00
MID_OP2_#029	Wir würden alles tun, um das Volk von Elyos\nzu beschützen. Selbst wenn es unser Ende\nbedeutet.\x0E\x04\x00\x00
