MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08アイビー\x022\n\x0E\x03\x02\x0A\x08アイビー\nLouis.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04ルイ\nJa, Prinzessin Ivy?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08アイビー\nDu wirkst immer so heiter. Gibt es einen\nbesonderen Grund dafür?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x06\x04ルイ\nMitnichten. Dies ist schlichtweg mein üblicher\nGesichtsausdruck.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08アイビー\nWie sonderbar.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08アイビー\nVielleicht liegt es auch an meiner eigenen\nReserviertheit, dass mir dein Ausdruck umso\nmehr ins Auge fällt.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x06\x04ルイ\nNun, da Ihr es erwähnt... Tatsächlich habe ich\nEuch bisher nicht oft Freude zeigen sehen.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x06\x04ルイ\nDabei wäre das gewiss ein bezaubernder\nAnblick!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08アイビー\nWas sagst du denn da?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x06\x04ルイ\nIch bin gut darin zu beobachten, wie andere\nLeute gesellig miteinander verkehren, müsst Ihr\nwissen.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08アイビー\nDu machst es gerade nicht besser...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x06\x04ルイ\nDeshalb erschien mir die Idee so wundervoll,\nEuch einmal derartig in Szene gesetzt zu sehen.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x06\x04ルイ\nPrinzessin Ivy, umgeben von teuren\nFreundinnen, ein breites Lächeln auf dem\nGesicht... welch betörende Vorstellung!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08アイビー\nIch wäre dir dankbar, wenn du mir keine Rollen\nin deinen eigenartigen Fantasien zuteilen\nwürdest.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x06\x04ルイ\nAls Erstes gilt es herauszufinden, was Euch\ndazu bewegen könnte, etwas Freude zu zeigen.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x06\x04ルイ\nEs wäre sicherlich hilfreich, wenn Ihr mich\neinmal für eine Weile begleitet.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08アイビー\nSo abstoßend ich sie auch finde, es ist schon\nbeeindruckend, wie hingebungsvoll du dich\ndeinen Zielen widmest.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08アイビー\nNa schön, Louis aus Firene. Wenn du\nbeabsichtigst, mich unbedingt zum Lächeln zu\nbringen, dann nur zu! Gib dein Bestes.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x06\x04ルイ\nEtwas anderes käme auch nicht in Frage,\nPrinzessin Ivy.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08アイビー\x022\n\x0E\x03\x02\x06\x04ルイ\nWas denkt Ihr, Prinzessin Ivy? Erweckt der\nAnblick dieser freudig plaudernden Zusammen-\nkunft etwa keinerlei Emotionen in Euch?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08アイビー\nNein. Überhaupt nicht.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x06\x04ルイ\nWie eigenartig. Was mich betrifft, so empfinde\nich es als beruhigend, ihren alltäglichen Freuden\nund ihrem trivialen Geplauder beizuwohnen.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08アイビー\nMir scheint, dieses Phänomen beschränkt sich\nauf dich allein, Louis.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x06\x04ルイ\nOh? Wie bedauerlich.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08アイビー\nWar das schon alles, was deinen Plan betrifft?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08アイビー\nHast du etwa all deine Hoffnung darauf gesetzt,\ndieser eine Anblick könne mich zum... Plaudern\ninspirieren?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x06\x04ルイ\nNein. Noch gebe ich mich nicht geschlagen.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x06\x04ルイ\nObschon ich gestehen muss, dass es mir derzeit\nnoch an weiteren Einfällen mangelt.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x06\x04ルイ\nWärt Ihr fürs Erste wohl an einer Tasse Tee\ninteressiert? Ich habe einen schwarzen Tee für\nbesondere Anlässe, den ich aufbrühen könnte.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08アイビー\nOh, etwas Tee wäre jetzt tatsächlich schön.\nDanke, Louis.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x06\x04ルイ\nAha!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08アイビー\nWas? Was hast du denn jetzt?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x06\x04ルイ\nMir war so, als hätte ich für einen kurzen\nAugenblick den entferntesten Anschein eines\nLächelns auf Eurem Gesicht erspäht.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08アイビー\nTatsächlich?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x06\x04ルイ\nKann ich daraus folgern, dass Ihr schwarzen Tee\nmögt?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08アイビー\nDas stimmt. Doch wenn es wirklich Wohlge-\nfallen war, das Ihr in meinem Gesicht gesehen\nhabt, so war der Grund dafür nicht der Tee.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08アイビー\nIch finde es einfach nur amüsant, wie sehr du\ndich bemühst, mich zum Lächeln zu bringen.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x06\x04ルイ\nMein Unterfangen sollte nicht als amüsant\nabgetan werden! Eine fröhliche Prinzessin\nist ein wunderbarer Anblick.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08アイビー\nHm.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x06\x04ルイ\nAh! War das womöglich ein erneutes Lächeln?\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08アイビー\nOh, genug davon! Du hast mir Tee versprochen,\nalso geh und bereite ihn zu!\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x06\x04ルイ\nHahaha, wie Ihr wünscht, Prinzessin.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08アイビー\x022\n\x0E\x03\x02\x0A\x08アイビー\nLouis, kann ich dich um noch eine Tasse deines\nvorzüglichen schwarzen Tees bitten?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x06\x04ルイ\nIhr bringt mich in eine prekäre Lage, Prinzessin.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08アイビー\nBist du etwa gerade beschäftigt? Der Tee kann\nauch noch warten...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x06\x04ルイ\nDas ist es nicht. Es geht um Eure Stimmung in\nletzter Zeit.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08アイビー\nBist du etwa immer noch enttäuscht, dass ich\nnicht so leicht lächle, wie du es gerne hättest?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x06\x04ルイ\nOh, keineswegs. Ihr hattet vielmehr einen ganz\nbezaubernden Ausdruck von Fröhlichkeit auf\ndem Gesicht, als Ihr in den Raum kamt!\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08アイビー\nHatte ich das?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x06\x04ルイ\nEs war der strahlende Glanz dieser Fröhlichkeit,\nder mich in Verlegenheit brachte.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x06\x04ルイ\nIst Euch denn gar nicht aufgefallen, wie hell Ihr\nstrahltet?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08アイビー\nNein... Ist es nicht.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x06\x04ルイ\nSolch unverfälschte Freude darf nicht an mich\nverschwendet werden. Ihr solltet sie in der\nGegenwart anderer zeigen.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x06\x04ルイ\nMeine Rolle besteht bloß darin, Momente strah-\nlender Freude hervorzurufen und mich dann\nzurückzuziehen, bis ich erneut gebraucht werde.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08アイビー\nHahaha, ich... muss gestehen, ich habe keine\nAhnung, was ich darauf sagen soll.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x06\x04ルイ\nNun LACHT Ihr auch noch?! Weitere\nVerschwendung in meiner Gegenwart,\nPrinzessin Ivy!\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x06\x04ルイ\nEs ist allerdings schon merkwürdig...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x06\x04ルイ\nNach wie vor habe ich nicht den blassesten\nSchimmer, wie genau Euch diese Heiterkeit zu\nentlocken ist.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08アイビー\nWas fällt dir eigentlich ein?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08アイビー\nIch bin doch kein Monster! Selbst ich kann\nlächeln, wenn ich unter Verbündeten oder\nFreunden bin.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x06\x04ルイ\nIst es das, was ich für Euch bin, Prinzessin?\nEin Verbündeter? Ein... Freund sogar?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08アイビー\nMach dich nicht lächerlich. Und nun sieh zu,\ndass du endlich diesen Tee zubereitest, ja?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x06\x04ルイ\nWie Ihr wünscht, Prinzessin. Ich werde den\naußergewöhnlichsten Tee brühen, den Ihr je\nzu kosten bekamt.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08アイビー\nIch hätte auch nichts Geringeres von dir\nerwartet, Louis.\x0E\x04\x00\x00
