MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x08\x06メリン\nDrache, Drache, Dracheeeee!\nIhr seid ein ECHTER Drache!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06メリン\nWisst Ihr überhaupt, wie lässig das ist? Also,\nwie lässig Ihr seid? So, so, so lässig!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ヴェイル\nÄhm...\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ヴェイル\nIch bin ein Drache. Aber ein Dämonendrache,\nkeine Wyrmgöttin. Hast du... keine Angst vor\nmir?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06メリン\nÜberhaupt nicht! Ich bin einfach so glücklich,\ndiese Gelegenheit zu haben, um mit Euch zu\nreden, Milady Veyle.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ヴェイル\nOh, ich verstehe.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ヴェイル\nEs erscheint mir nur ungewöhnlich, weil die\nmeisten Leute mich entweder fürchten... oder\nverachten.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06メリン\nNun, ich komme aus einem kleinen Dorf. Ich\nbewundere nun mal einzigartige Leute und\nungewöhnliche Dinge.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06メリン\nUnd ich könnte niemals ein Wesen verachten,\ndas ich so bewundere wie Euch.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ヴェイル\nIch bin einzigartig und ungewöhnlich, schätze\nich.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06メリン\nVerzeihung, ist es Euch unangenehm, dass ich\nEuch so begegnet bin?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ヴェイル\nNein. Es geht schon. Vielleicht bist du auf deine\neigene Art ebenfalls ... ungewöhnlich, kann das\nsein?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06メリン\nIch? Ungewöhnlich? Ja, könnte man so sehen.\nDa haben wir ja was gemeinsam, oder nicht?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ヴェイル\nOh!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06メリン\nEs tut mir so leid, Milady Veyle. Das war\nfürchterlich unangemessen von mir. Ich hätte\ndas nicht sagen sollen.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ヴェイル\nNein. Es ist schon gut. Ich war nur etwas\nüberrascht.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08ヴェイル\nUm ehrlich zu sein, bin ich einfach nur froh,\ndass du denkst, ich wäre ähnlich wie...\nein Mensch.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08ヴェイル\nMerrin, warum wollen wir nicht Freundinnen\nsein? Zwei ungewöhnliche Leute, die einander\ngefunden haben.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x08\x06メリン\nIhr seid so unglaublich, Milady Veyle. Euer\nAnblick erfüllt mich stets mit neuen wunder-\nsamen Gefühlen.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06メリン\nEuer Haar, Eure Haut, wie Ihr Euch bewegt.\nMakellos. Aber Ihr seid ja auch ein Drache,\nda ist das selbstverständlich.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ヴェイル\nScheint so.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06メリン\nIch mache aus meinem Äußeren, was ich kann,\naber ich bin trotzdem meilenweit von Eurer\nKlasse der Lässigkeit entfernt.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06メリン\nMüsst Ihr Euch anstrengen, um so gut\nauszusehen, also so als Drache? Oder passiert\ndas ganz von allein?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ヴェイル\nIch denke nicht, dass ich etwas Besonderes tue.\nIch weiß wirklich nicht viel darüber.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06メリン\nIhr seht so lässig aus, ohne etwas Besonderes\ndafür zu tun? Drachen sind ja so unglaublich.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ヴェイル\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ヴェイル\nÄhm, Merrin...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ヴェイル\nIch frage mich... Findest du mich nur deswegen\nso... lässig, weil ich ein Drache bin?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06メリン\nOh! Nein, Milady Veyle, gar nicht! Ich finde,\nIhr seid lässig, weil Ihr Ihr seid. Wirklich.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06メリン\nAber ich muss Euch fragen: Schämt Ihr Euch,\nein Drache zu sein?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ヴェイル\nJa sicher. Mein ganzes Leben lang haben mich\ndie Leute deswegen gehasst.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06メリン\nDas ist nicht Eure Schuld. Das ist deren Schuld!\nSie haben Euch gehasst, ohne Euch wirklich zu\nkennen.\x0E\x04\x00\x00
