MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nIhr macht gute Fortschritte dort draußen auf\ndem Schlachtfeld. Eure Fähigkeiten haben sich\nwirklich verbessert.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08リュール\nJa, aber nur, weil ich versuche, mit Euch\nmitzuhalten. Ich muss noch viel lernen!\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08リュール\nIhr sollt einen älteren Bruder gehabt haben.\nMögt Ihr mir etwas über ihn erzählen?\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x0A\x08ヘクトル\nNun, manchmal konnte er schon ein wenig\nnerven, aber ich kenne niemanden, der besser\nals er war, in allem. Ich war es bestimmt nicht.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08リュール\nIch bewundere Eure Fähigkeiten, Hector, und\nhabe eine Bitte. Würdet Ihr mit mir trainieren?\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\nEs wäre mir eine Ehre. Was führt Euch zu\ndieser Bitte?\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x0A\x08リュール\nIhr seid stets schnell zur Stelle, um Eure\nVerbündeten zu verteidigen. Ich möchte\nebenfalls in der Lage sein, Euch zu verteidigen.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08ヘクトル\nEin kluger Plan. Aber wenn wir in der Lage sein\nwollen, uns gegenseitig den Rücken freizu-\nhalten, müsst Ihr in diesem Training alles geben.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nNie hätte ich gedacht, dass ich den Tag erleben\nwürde, an dem wir Seite an Seite kämpfen. Das\nLeben kann recht überraschend sein.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x0A\x08ヘクトル\nIn der Tat, so ist das Schicksal! Ich freue mich\nschon darauf zu sehen, was die Zukunft für\nuns bereithält.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nEure Kampftaktiken unterwerfen sich keinen\nKonventionen. Wäret Ihr bereit, mich darin zu\nunterrichten?\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0A\x08ヘクトル\nIch habe das alles durch meine Kämpfe in der\nArena gelernt. Wenn es Euch nichts ausmacht,\netwas schmutzig zu werden, kann es losgehen.\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nWas macht Ihr da? Sagt nicht, Ihr... strickt?\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nDoch, ich stricke in jeder freien Minute. Es\nmacht meinen Kopf frei und hilft mir, mich\nzu konzentrieren.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0A\x08ヘクトル\nWisst Ihr, mein Bruder hat mir oft gesagt, ich\nsei zu ungeduldig. Würdet Ihr mir das Stricken\nbeibringen?\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x0C\nヴァンドレ\nGewiss. Wenn das Stricken Euch von Nutzen\nist, wird es mir die größte Freude bereiten.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nHe, Clanne. Warum stehst du so weit von mir\nentfernt? Wenn du mit mir reden möchtest,\nkomm näher.\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06クラン\nN-nein, so ist es schon gut! Wenn ich näher\nherantrete, schwinden mir aufgrund Eurer\nAusstrahlung bestimmt die Sinne!\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x08\x06クラン\nIch könnte mir vorstellen, dass Eure Geschwis-\nter bestimmt genauso beeindruckend gewesen\nsind, wie Ihr es seid...\x0E\x04\x00\x00
