MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nVerzeiht mir, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche... Wenn es nicht stört,\nwürde ich gerne etwas mit Euch besprechen.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リュール\nTatsächlich? Nein, es stört überhaupt nicht.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nAber entspann dich erst einmal. Ich beiße nicht.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06メリン\nAha, natürlich. Vergebt mir.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06メリン\nIch musste all meinen Mut zusammennehmen,\num Euch das zu fragen.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06メリン\nWisst Ihr, ich liebe seltene Viecher – und vor\nallem Drachen.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nDu betrachtest also mich als ein... seltenes\nViech?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06メリン\nNun, zumindest seid Ihr selten. Ihr seid ja\n\x0E\x0A\x00X(der einzige Wyrmgott,die einzige Wyrmgöttin der Welt.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06メリン\nDaher hoffte ich, Ihr würdet mir helfen, Eure\nSpezies besser zu verstehen.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リュール\nÄhm... Aha.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06メリン\nWas ist los?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リュール\nNichts, nichts. Bitte, fahr fort.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06メリン\nGut. Kommen wir zur Sache. Erzählt mir, wie\nEuer typischer Tag so verläuft.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nHmm... Jemand weckt mich morgens. Ich esse\nFrühstück. Trainiere bis zum Mittag.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08リュール\nIch lebe wie eine normale Person, ganz ehrlich.\nIst das hilfreich?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06メリン\nSehr! Basisverhalten entspricht dem eines\ndurchschnittlichen Menschen...\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\nWarte... Schreibst du das alles auf?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06メリン\nJa sicher. Das ist exzellentes Material für das\nBuch, das ich über Euch schreibe.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08リュール\nBuch? Ist das nicht ein bisschen übertrieben?\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06メリン\nWas meint Ihr? Künftige Generationen verdienen\nes doch, alles über \x0E\x0A\x008\x18den Wyrmgott\x1Cdie Wyrmgöttin zu erfahren.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0A\x08リュール\nIch, äh... wahrscheinlich schon.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nHmm...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\nMerrin... Ich kann nicht trainieren, wenn du mich\ndie ganze Zeit so anstarrst.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06メリン\nBeachtet mich nicht. Ich bin gar nicht hier.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06メリン\nIch beobachte nur Euer Verhalten. Ich sammle\nMaterial für mein Buch.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\nUnd wie lange willst du mich noch beobachten?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06メリン\nSo lange, wie es dauert.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06メリン\nNur keine Sorge. Ich werde nicht ruhen, bis ich\njedes noch so kleine Detail dokumentiert habe!\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リュール\nOh, bitte, Schluss damit!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06メリン\nWas denn? Ich wollte doch nur--\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リュール\nNein, nicht ich-wollte-doch-nur! Ich bin keines\ndeiner Viecher, klar?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リュール\nJa, ich bin ein Drache. Ich lebe länger als andere\nund habe gewisse einzigartige Fähigkeiten.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\nAber ich habe auch Gefühle. Ich mag es nicht,\nwenn man mich angafft wie ein Tier.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06メリン\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche, es tut mir so leid!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06メリン\nEs ist nur... Für mich seid Ihr so viel mehr als\nnur ein Mensch.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06メリン\nIhr seid ein wahrhaft göttliches Wesen. Ich\nwollte sichergehen, dass künftige Generationen\ndas verstehen.\x0E\x04\x00\x00
