MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nWeshalb... starrst... du mich so an?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04ルイ\nIch grüße Euch, Zelkov.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ゼルコバ\nIch habe dir eine... Frage... gestellt.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x06\x04ルイ\nHa! Ich versichere Euch, dass es keinen\nbestimmten Grund dafür gab.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x06\x04ルイ\nDoch dürfte ich Euch vielleicht auf eine Tasse\nTee einladen, falls Ihr die Zeit dafür erübrigen\nkönntet?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nDiese... Einladung... ergibt keinen Sinn. Wir\nstehen uns ja nicht einmal nahe.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x06\x04ルイ\nGerade weil wir uns nicht nahestehen, lade ich\nEuch dazu ein! Ich würde Euch gerne besser\nkennenlernen.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ゼルコバ\nBitte... erspare... mir die Heucheleien. Was willst\ndu wirklich von mir?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x06\x04ルイ\nMein lieber Zelkov, ich hege keinerlei Hinter-\ngedanken. Ich dachte lediglich, wir könnten uns\nbei einer Tasse Tee etwas näherkommen.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nEs tut mir leid, aber ich muss... ablehnen.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04ルイ\nWie schade. Dann werde ich meinen eigens\nhergestellten beruhigenden Tee wohl entsorgen\nmüssen.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nWie habe ich das zu... verstehen?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x06\x04ルイ\nNun ja, es ist kaum zu übersehen, dass es Euch\nan Schlaf mangelt.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nIch wüsste nicht, weshalb... dich... das\ninteressieren sollte.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x06\x04ルイ\nEs betrifft mich vielleicht nicht direkt. Doch als\nEuer Freund bin ich besorgt.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nIch habe... genug... gehört.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08ゼルコバ\nIch weiß nicht, was du... beabsichtigst... aber du\nsolltest dich von mir fernhalten.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x01\x0A\x08ゼルコバ\n\x0E\x03\x02\x06\x04ルイ\nMein lieber Zelkov. Ihr werdet feststellen, dass\nes schon weitaus mehr bedarf, um mich von\netwas abzubringen.\x0E\x04\x00\x00
