MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x06\x04ボネ\nAh, welch deliziöses Aroma. So frisch.\nSo... grün!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08パンドロ\nJa, ich liebe den Geruch von frisch gemähtem\nGras am Morgen!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08パンドロ\nUff! Das wäre dann das letzte Unkraut im\nSomniel.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08パンドロ\nWas bedeutet, dass unser Wachdienst für den\nTag damit beendet ist.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x06\x04ボネ\nKönnen wir schnödes Unkrautjäten wirklich\nWachdienst nennen?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08パンドロ\nNatürlich, warum nicht? Wenn wir es so nennen,\ndann ist es das auch.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08パンドロ\nHier kommen vielleicht keine Banditen hin, aber\ntrotzdem müssen wir das Somniel schützen.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x06\x04ボネ\nJa, klar. Wir verteidigen es gegen die\nerbarmungslose Invasion des... Unkrauts.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08パンドロ\nOh! Bunet, mein Guter. Denk daran, dass du\nnoch das Essen für meine Party kochen willst.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x06\x04ボネ\nKeine Sorge. Ich werde wie immer ein absolut\nmakelloses Bankett zubereiten!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08パンドロ\nDas will ich hören. Du bist wirklich ein Juwel\nvon Freund, weißt du das?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x06\x04ボネ\nImmer gerne. Ich ergreife jede Chance, meine\nkulinarischen Fähigkeiten zu verfeinern.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08パンドロ\nOh, stimmt ja. Es wird auch eine berühmte\nEssenskritikerin zugegen sein.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x06\x04ボネ\nWirklich?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08パンドロ\nJa! Das ist DIE Gelegenheit, ihr zu zeigen,\nwas du kannst.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x06\x04ボネ\nInteressant... Dann werde ich zu diesem Anlass\nein innovatives neues Gericht kreieren.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x06\x04ボネ\nEtwas, das ihre Augen zum Leuchten bringen\nwird. Erzähl mir dann, wie sie reagiert hat.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08パンドロ\nWarum schaust du es dir nicht selbst an?\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x06\x04ボネ\nIch mag keine Partys. Zu laut. Wie eine Speise\nmit zu vielen kräftigen Gewürzen auf einmal.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08パンドロ\nAh, zu schade. Ich schätze, das ist nun mal der\nPreis für deine feinen Sinne.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x06\x04ボネ\nLass mich hinterher bitte wissen, wie es\ngelaufen ist. Mehr verlange ich nicht.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0A\x08パンドロ\nKein Problem, mein Freund. Ich kann es kaum\nerwarten, deine Köstlichkeiten zu probieren!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x06\x04ボネ\nPandreo... Wie war die Party?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x06\x04ボネ\nWar die Kritikerin von meiner Kochkunst\nangetan?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08パンドロ\nOh, äh, ja. Sie war durchaus beeindruckt, aber...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x06\x04ボネ\nAber?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08パンドロ\nNun, ehrlich gesagt hat kein anderer Gast das\nGericht gemocht.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x06\x04ボネ\nWas? Aber ich habe es doch persönlich\nabgeschmeckt! Das Aroma war himmlisch!\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08パンドロ\nVersteh mich nicht falsch. Geschmeckt hat es\ngroßartig.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08パンドロ\nEs war nur etwas zu... gourmetartig. Partyessen\nmuss leicht zugänglich und gut zu tragen sein.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x06\x04ボネ\nWas? Warum das denn?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08パンドロ\nWeil man sich beim Essen auch unterhalten und\nbewegen will. Aber das war eher was für ein\nsteifes Königsbankett.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08パンドロ\nIch hätte es dir sagen sollen. Du bist ja\nschließlich nicht so party-erfahren.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x06\x04ボネ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08パンドロ\nMach dir nichts draus. Die Gäste haben es ja\nnicht verschmäht.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x06\x04ボネ\nEines Kochs Pflicht ist es, die für den Anlass\npassende Speise zu bereiten... Ich habe versagt.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x06\x04ボネ\nIch habe etwas Schlimmeres bereitet als ein\nschlechtes Essen. Nämlich... ein falsches Essen.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08パンドロ\nBunet, das ist doch gar nicht wahr.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x06\x04ボネ\nIch habe deine Freundschaft enttäuscht. Dafür\ngenügt keine Entschuldigung. Bitte, schlag mich!\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08パンドロ\nWas? Nein! Du hast dir mit dem Essen so viel\nArbeit gemacht. Ich schlage dich auf keinen Fall!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x06\x04ボネ\nObwohl ich deine Party ruiniert habe, verzeihst\ndu mir doch... Du bist ein wahrer Freund.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x06\x04ボネ\nPandreo. Wann findet deine nächste Party\nstatt?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08パンドロ\nDu willst es wiedergutmachen, hm?\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x06\x04ボネ\nNein. Also, noch nicht. Zuvor muss ich noch\netwas anderes tun.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x06\x04ボネ\nIch muss eine Party besuchen.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08パンドロ\nWaaaas?\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x0A\x08パンドロ\nHey, Bunet! Wie hat dir die Party gefallen?\nHat Spaß gemacht, nicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x06\x04ボネ\nHngh.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08パンドロ\nUff. So schlimm, hm?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x06\x04ボネ\nVergib mir... Der Lärm war überwältigend.\nMir schwirrt immer noch der Kopf.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08パンドロ\nAch so. Ja, das ist wohl meine Schuld.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x06\x04ボネ\nIch gebe zu, die Stimmung war gut. Selbst in\ndiesen Zeiten hatten alle ihren Spaß.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08パンドロ\nDer Zauber einer hübschen kleinen Feier.\nDoch was ist mit dir? Hast du was gelernt?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x06\x04ボネ\nSicherlich. Ich habe viele wertvolle Einblicke\ngewonnen.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x06\x04ボネ\nMir fiel auf, dass du die meiste Zeit einfach den\nSorgen anderer Leute zugehört hast.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08パンドロ\nJa, sicher. Bei den Partys geht es doch nicht um\nmich. Ich will, dass es den Leuten besser geht.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08パンドロ\nIch mag zwar aussehen wie ein Straßenräuber,\naber dennoch bin und bleibe ich ein Geistlicher!\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x06\x04ボネ\nJa. Ich erkenne jetzt meinen Fehler. Ich wollte,\ndass meine Speisen der Mittelpunkt der\nAufmerksamkeit sind.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x06\x04ボネ\nDoch eine gute Partykost tritt zurück, um der\nKonversation die Bühne zu überlassen.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x06\x04ボネ\nTrotz Kopfschmerzen war ich gerne dabei. Jetzt\nkann ich das perfekt passende Gericht bereiten.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08パンドロ\nDas wäre großartig. Vielen Dank, Bunet.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08パンドロ\nUnd wenn ich dir irgendwie helfen kann, dann\nsag es mir. Egal, wie.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x06\x04ボネ\nNun, da gäbe es tatsächlich etwas.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x06\x04ボネ\nLass mich dich einmal kurz lecken.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08パンドロ\nEinmal kurz WAS?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08パンドロ\nÄhm. Ah, das soll wohl ein Scherz sein, richtig?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x06\x04ボネ\nNein. Das meine ich ernst.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x06\x04ボネ\nIch muss deinen feierfreudigen Geist begreifen,\num dessen Essenz in meiner Kochkunst zu\nverwenden.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x06\x04ボネ\nAlso los, Ärmel hoch. Das geht auch ganz\nschnell. Kein Grund, nervös zu werden.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08パンドロ\nÄh... Hahaha...\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x06\x04ボネ\nPandreo? Was ist los?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08パンドロ\nIch habe in meinem Leben schon so mancher\nwilden Party beigewohnt, aber...\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08パンドロ\n...Das geht sogar mir etwas zu weit.\x0E\x04\x00\x00
