MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x06\x04ボネ\nMerrin! Du kommst genau zur rechten Zeit.\nBitte, nimm Platz.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06メリン\nWas soll das alles?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x06\x04ボネ\nIch möchte, dass du als Erste mein neuestes\nRezept verkostest.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06メリン\nOh. Ist es für ein Kochbuch?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x06\x04ボネ\nNein, für ein Restaurant. Ich möchte das\nGasthaus meiner Eltern wiedereröffnen,\nsobald der Krieg vorbei ist.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x06\x04ボネ\nIn meiner Freizeit habe ich schon einige neue\nGerichte für die Speisekarte kreiert.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06メリン\nDas klingt gut! Was servierst du denn heute?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x06\x04ボネ\nGeschmortes Hähnchen.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06メリン\nOh! Schon mal die Bestnote für die\nPräsentation.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x06\x04ボネ\nDanke. Ich habe eine seltene Geflügelrasse\naufgetrieben und sie mehrere Tage lang auf\nkleiner Flamme gegart.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04ボネ\nEs sind unterschiedliche, aber passende Ge-\nwürze in der Flüssigkeit, darunter auch solche,\ndie einen gesunden Wärmeeffekt hervorrufen.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x06\x04ボネ\nHier. Koste selbst.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06メリン\nGut, ich versuche es. Dann wollen wir mal...\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06メリン\nMmm!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06メリン\nUnglaublich... Das Fleisch ist so zart, dass es\npraktisch im Mund schmilzt.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06メリン\nUnd obwohl die Aromen einander vortrefflich\nauf der Zunge ergänzen, kann doch jede Zutat\nnoch eigenständig wahrgenommen werden.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06メリン\nDie Gewürze überlagern nicht das Umami des\nHähnchens. Eine Koexistenz in perfekter\nHarmonie.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x06\x04ボネ\nIch habe noch nie eine so wunderschöne\nBeschreibung meiner Kochkünste gehört.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06メリン\nEin kunstvolles Mahl verdient eine kunstvolle\nBeschreibung.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06メリン\nDu kennst dich wirklich gut aus mit Federvieh.\nDas muss unbedingt auf die Speisekarte.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x06\x04ボネ\nDas freut mich zu hören. Dann hat sich meine\nharte Arbeit ja gelohnt.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x06\x04ボネ\nDanke, dass du gekostet hast, Merrin.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x08\x06メリン\nDas Vergnügen war ganz meinerseits. Ich danke\ndir für das delikate Mahl.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x08\x06メリン\nHey, Bunet. Ich habe gehört, du interessierst\ndich für Viecher.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x06\x04ボネ\nBitte was?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06メリン\nIch bin zufällig auch ein Fan davon. Und ich\nweiß, wo in der Wildnis man ein paar ganz\ntolle Exemplare zu sehen bekommt.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06メリン\nSoll ich dich mitnehmen? Als Dank für das\nleckere Essen neulich.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x06\x04ボネ\nÄhm...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x06\x04ボネ\nDanke für das Angebot, aber ich lehne lieber ab.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06メリン\nWas, wirklich? Du magst dir keine wilden Tiere\nanschauen?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x06\x04ボネ\nDas habe ich nicht gemeint...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06メリン\nWas hast du denn dann gemeint?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06メリン\nAugenblick mal...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06メリン\nOh nein. Jetzt verstehe ich.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x06\x04ボネ\nHm?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06メリン\nDu magst lieber wilde Tiere essen, richtig?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x06\x04ボネ\nWas?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06メリン\nNormales Fleisch zu kochen ist dir zu langweilig\ngeworden, also jagst du jetzt seltene Viecher.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06メリン\nWas hast du wirklich geschmort?\nWar das ein Trick, um mir einen Falken\noder so etwas zu verfüttern?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x06\x04ボネ\nNatürlich nicht. Ich schwöre, es war Hähnchen!\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06メリン\nLügner. Und wahrscheinlich wirfst du dich nur\nan mich ran, damit ich dir meine Lieblingsorte\nfür wilde Tiere zeige!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x06\x04ボネ\nHör zu--\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06メリン\nNein, DU hörst zu. Ein Verbrechen gegen die\nTiere ist ein Verbrechen gegen mich.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06メリン\nWenn du auch nur daran DENKST, noch ein\narmes Viech zu verletzen, dann bist du\nGeschichte!\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x06\x04ボネ\nMerrin, bitte. Das ist ein großes\nMissverständnis.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x08\x06メリン\nIch rupfe und koche dich persönlich.\nVerstanden?\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x01\x08\x06メリン\n\x0E\x03\x02\x06\x04ボネ\nArgh. Ich scheine ein Meister darin zu sein,\nmissverstanden zu werden.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x08\x06メリン\nSo, Bunet. Da bin ich, wie du wolltest.\nAlso, was soll das alles?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06メリン\nWenn du mir einen Flamingoauflauf oder so\netwas servieren willst, dann schwöre ich, dass\nich dir die--\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x06\x04ボネ\nNichts dergleichen. Bitte, hör mich an.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06メリン\nHm?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x06\x04ボネ\nIch habe gar kein Interesse an deinen\n„Viechern“.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x06\x04ボネ\nTatsächlich bin ich viel mehr interessiert an...\ndir.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06メリン\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06メリン\nBitte was?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x06\x04ボネ\nObwohl wir beide der königlichen Familie\ndienen, hatten wir niemals die Chance, Freunde\nzu werden.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x06\x04ボネ\nIch gestehe, ich war zu eingeschüchtert von dir,\num es vorzuschlagen. Du bist so selbstsicher\nund offen.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x06\x04ボネ\nDu erzählst jedem, der dir zuhört, ständig was\nüber Viecher hier und Viecher da...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x06\x04ボネ\nIch hatte gehofft, mich eines Tages mit der\nViecherhüterin anfreunden zu können.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x06\x04ボネ\nDas ist mein Spitzname für dich.\x0E\x04\x00\x00
