MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x02\x0E\x0Cオルテンシア\nAlle hier in der Armee sind zu hübsch. Das\nist nicht in Ordnung.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cオルテンシア\nWie soll ich die Niedlichste von allen sein, wenn\ndie Konkurrenz so umwerfend aussieht?!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\nAha, sprich nicht weiter!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cオルテンシア\nWarte mal, du bist...\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06アンナ\nNur die beste Freundin einer Maid in Not:\nDie einmalige Lady Anna! Ka-tsching!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06アンナ\nWenn du Niedlichkeit begehrst, Prinzessin\nHortensia, dann sieh dir nur meine Schönheits-\nprodukte an!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cオルテンシア\nIch bin ganz Ohr! Ich sollte dir aber sagen, dass\nich ziemlich wählerisch bin.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06アンナ\nIch garantiere die Zufriedenheit mit jedem\nArtikel, den ich verkaufe.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06アンナ\nImmerhin sind alle Produkte, dich ich heute\nanbiete, speziell auf dich zugeschnitten!\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cオルテンシア\nDu bist davon überzeugt. Das gefällt mir. Also\ngut, dann zeig mir mal, was du hast.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06アンナ\nSelbstverständlich!\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06アンナ\nNehmen wir zuerst mal dieses Rouge in Pink.\nBereits ein Hauch davon hält den ganzen Tag.\nMorgens auftragen und alles ist erledigt!\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cオルテンシア\nUuuh...\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06アンナ\nHier haben wir auch noch Lippenstift, Seife,\nGesichtsreiniger und einen verzauberten Kristall,\nder dein Haar weich und glänzend macht.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06アンナ\nUnd schließlich noch ein Accessoire, um all die\nDinge aufzubewahren. Seine Regenbogenfarben\nsorgen schon beim Tragen für Niedlichkeit!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cオルテンシア\nDas alles ist... UNGLAUBLICH! Ich muss sie\nhaben – ich nehme alles!\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06アンナ\nVielen Dank für deinen Einkauf! Oooh, ich\nmache ein Riesengeschäft!\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cオルテンシア\nDas hast du auch verdient – deine Produkte sind\nbeeindruckend! Damit werde ich so liebreizend\nwie nie!\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06アンナ\nErlaube mir eine kleine Kundenbefragung:\nWarum möchtest du niedlich sein, Prinzessin\nHortensia?\x0E\x04\x00\x00
