MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nスタルーク\x022\n\x0E\x03\x02\x0C\nスタルーク\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche, passt auf! Da ist ein Wolf!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リュール\nWas? Wo?!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nスタルーク\nHerr Wolf! Bitte entfernt Euch! Lasst\n\x0E\x0A\x00\x10\x06den\x06die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin in Ruhe – ich bitte Euch!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nスタルーク\nHngh. Er hört nicht auf mich... Dann bleibt mir\nkeine Wahl. Da muss ich wohl durchgreifen.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リュール\nDiese Haltung! Will er sich wieder... verbeugen\nund entschuldigen, wie damals an der Grenze?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nスタルーク\nHerr Wolf! Es tut mir sehr, sehr leid!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nスタルーク\nIch bin sicher, dass meine Entschuldigung Euch\nnur noch mehr erzürnt – so sehr, dass Ihr mich\nbestimmt gleich verschlingt!\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nスタルーク\nUnd dann bin ich in Eurem Magen, und meine\nVerbündeten werden viele Tage damit vergeu-\nden, nach mir zu suchen. Aber ich muss es tun!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nスタルーク\nObwohl ich nicht das Recht besitze, dies\nzu tun, bitte ich Euch dennoch, nach Hause zu\ngehen! Ich flehe Euch an!\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リュール\nDer Wolf hat sich wirklich umgedreht...\nUnglaublich.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nスタルーク\nDa läuft er hin.\x0E\x04\x00\x00
