MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\nGeist der Karten! Lasse dein göttliches Licht\nleuchten und zeige mir den richtigen Weg!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08セアダス\nHAAA!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06クロエ\nSeadall! Ich habe dich schreien hören! Was ist\ndenn los?!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08セアダス\nOh, Chloé. Ich befinde mich inmitten einer\nwichtigen Lesung der Karten.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06クロエ\nUnd dazu gehört Schreien?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08セアダス\nSieh doch nur.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08セアダス\nGenau vor mir... befindet sich gegrilltes Fleisch,\nnoch leicht brutzelnd von der Hitze des Feuers.\nOh, welch Versuchung.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08セアダス\nDoch wenn ich meiner Leidenschaft für\nherzhafte Aromen nachgebe, wird mein\nTanz mit Sicherheit darunter leiden.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08セアダス\nMein Körper ist mein Instrument. Ich muss\nstandhaft bleiben! Deshalb entschied ich mich,\nRücksprache mit den Karten zu halten.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06クロエ\nHa, das klingt ja unterhaltsam.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06クロエ\nUnd? Was haben die Karten dir offenbart?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08セアダス\nSo sehr es mich auch schmerzt, das zu sagen:\nEs scheint nicht mein Schicksal zu sein, dieses\nFleisch hier zu verspeisen.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06クロエ\nAuch gut. Bleibt mehr für mich.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08セアダス\nMond und Sterne! Ich dachte, du würdest mir\nzumindest irgendwie widersprechen!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08セアダス\nGut, nur zu. Aber... könntest du das Essen\nvielleicht etwas weniger genießen?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06クロエ\nDanke für die Mahlzeit, Seadall. Nächstes Mal\nwerde ich dir etwas spendieren!\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08セアダス\nIn Ordnung. Das klingt... lecker.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x08\x06クロエ\nUnd, Seadall? Was hältst du davon?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08セアダス\nSoll das... genießbar sein?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06クロエ\nAber natürlich!\x0E\x04\x00\x00
