MID_BGM_Evt_Amb_Lithos_ST_Play	Garten des Lichts
MID_BGM_Evt_Amb_Lithos_Black_ST_Play	Korridor der Dunkelheit
MID_BGM_Evt_Amb_Lithos2_ST_Play	Lythos, das heilige Land
MID_BGM_Evt_Amb_Lithos2_Black_ST_Play	Verbrannte Erde von Gradlon
MID_BGM_Evt_Ring_ST_Play	Die zwölf Sterne
MID_BGM_Evt_Tutorial_ST_Play	Mutter und Kind wiedervereint
MID_BGM_Evt_Advent_Sigurd_ST_Play	Unterstütze uns, Emblem von Holy War
MID_BGM_Evt_Lumiere_Die_ST_Play	Versprochen
MID_BGM_Evt_Amb_Filene_ST_Play	Firene, Reich der Fülle
MID_BGM_Evt_Danger1_ST_Play	Gefahr im Verzug
MID_BGM_Evt_Danger2_ST_Play	Überraschungsangriff
MID_BGM_Evt_Advent_Cellica_ST_Play	Stehe uns bei, Emblem von Echoes
MID_BGM_Evt_Brave_ST_Play	Ein Leuchtfeuer erwacht
MID_BGM_Evt_Veyre_ST_Play	Weiß-silbernes Herz
MID_BGM_Evt_Determination_Filene_ST_Play	Kampf für den Frieden
MID_BGM_Evt_Disturb1_ST_Play	Dunkle Schatten
MID_BGM_Evt_Disturb2_ST_Play	Düstere Pläne
MID_BGM_Evt_Funny_ST_Play	Hallihallöchen!
MID_BGM_Evt_Advent_Micaiah_ST_Play	Heile uns, Emblem von Dawn
MID_BGM_Evt_Tension1_ST_Play	Konfrontation
MID_BGM_Evt_Tension2_ST_Play	Drohendes Gefecht
MID_BGM_Evt_Amb_Brodia_ST_Play	Brodia, Reich der Krieger
MID_BGM_Evt_Collide_ST_Play	Konflikt
MID_BGM_Evt_Appear_Diamand_ST_Play	Der Kriegerprinz
MID_BGM_Evt_Advent_Roy_ST_Play	Erhebe dich, Emblem von Binding
MID_BGM_Evt_Appear_Ivy_ST_Play	Nachdenkliche Prinzessin
MID_BGM_Evt_Advent_Leif_ST_Play	Befreie uns, Emblem von Genealogy
MID_BGM_Evt_Determination_Brodia_ST_Play	Stolz eines Kriegers
MID_BGM_Evt_Amb_Ircion_ST_Play	Elusia, Reich des Wissens
MID_BGM_Evt_Danger_Church_ST_Play	Tragödie
MID_BGM_Evt_Veyre_Exposed_ST_Play	Schwarz-silberne Verheerung
MID_BGM_Evt_Advent_Lucina_ST_Play	Entflamme uns, Emblem von Awakening
MID_BGM_Evt_Amb_Solum_ST_Play	Solm, Reich der Freiheit
MID_BGM_Mov_Vigilante_ST_Play	Wüstenrose
MID_BGM_Evt_Vigilante_ST_Play	Die Wächter
MID_BGM_Evt_4ku_ST_Play	Bluthunde des Dämonendrachen
MID_BGM_Evt_4ku_Sad_ST_Play	Familientraum
MID_BGM_Evt_Misutira_Song_ST_Play	Die freie Prinzessin
MID_BGM_Evt_Advent_Ike_ST_Play	Kämpfe tapfer, Emblem von Radiance
MID_BGM_Evt_Determination_Solum_ST_Play	Hartnäckige Freiheit
MID_BGM_Evt_Determination_Ircion_ST_Play	Ein frommer Pakt
MID_BGM_Evt_Advent_Eirika_ST_Play	Bringe Ruhe zurück, Emblem von Sacred
MID_BGM_Evt_Veyre_Truth_ST_Play	Fallende Flügel
MID_BGM_Evt_Veyre_Sad_ST_Play	Dunkelgraue Gefühle
MID_BGM_Evt_Determination_ST_Play	Mächtige Herrschaft
MID_BGM_Evt_Past_ST_Play	Zwei Begegnungen
MID_BGM_Evt_BlackLumiere_ST_Play	Tausend einsame Jahre
MID_BGM_Evt_BlackLumiere_Die_ST_Play	Danke... Mutter
MID_BGM_Evt_Determination_Last_ST_Play	Das Leben kehrt zurück
MID_BGM_Evt_26OP_ST_Play	Gelöschtes Licht
MID_BGM_Evt_26ED_ST_Play	Ihre Reisen
MID_BGM_Evt_Advent_Lyn_ST_Play	Wehe herüber, Emblem von Blazing
MID_BGM_Evt_Advent_Byleth_ST_Play	Lehre uns, Emblem der Akademie
MID_BGM_Evt_Advent_Corrin_ST_Play	Zeig deine Fänge, Emblem von Fates
