MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x08\x06ジャン\nÄhm... entschuldige, Chloé?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06クロエ\nOh, hallo, Jean. Benötigst du Hilfe bei\nirgendetwas?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06ジャン\nNein, eigentlich nich'. Dachte eher, ich könnt dir\nvielleicht helfen.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06クロエ\nMir? Inwiefern?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06ジャン\nIch würd dir gern diese Magenmedizin geben.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06クロエ\nOh! Vielen Dank.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06クロエ\nAber meinem Magen geht es eigentlich ganz gut.\nWie kamst du denn auf den Gedanken, dass ich\nso etwas nötig hätte?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06ジャン\nNa ja, du isst jede Menge seltsames Zeug.\nIs' nur 'ne Frage der Zeit, bis dein Magen\nsich meldet.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06クロエ\nHahaha. Bist du etwa besorgt, dass ich mir\nmit meinem regelmäßigen Konsum von\nImbissbudengerichten den Magen verderbe?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06クロエ\nDa mach dir mal keine Gedanken. Mein Magen\nhält einiges aus.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06ジャン\nIs' trotzdem nicht verkehrt, aufs Schlimmste\nvorbereitet zu sein.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06ジャン\nErst neulich hab ich gesehen, wie du\nirgendwelche... sonderbaren Augäpfel in dich\nreingestopft hast.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06ジャン\nWas immer das war, das KANN nich' gesund\ngewesen sein.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06クロエ\nVermutlich nicht, aber die waren einfach so\nlecker... Hey, als Dank für die Magenmedizin\nlasse ich dir nächstes Mal auch ein paar übrig!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06ジャン\nWas?! Äh, schon gut... Dein Dank is' mehr als\ngenug.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06ジャン\nJedenfalls... sei bitte vorsichtig. Ich find's ein\nbisschen gruselig, was du deinem Magen so\nalles zumutest.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06クロエ\nIn Ordnung, ich werde darauf achten. Und\ndanke, dass du dich so um mich sorgst, Jean!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x08\x06クロエ\nHey, Jean. Was ist mit diesen Kräutern? Wären\ndie von Nutzen?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06ジャン\nDefinitiv! Du hast ein gutes Auge für so was,\nChloé. Mit denen kann ich Medizin zum\nFiebersenken herstellen.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06クロエ\nOh. Das ist gut zu wissen, denn dort drüben\nwachsen noch mehr von ihnen!\x0E\x04\x00\x00
