MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x06\x04エル\nIhr habt eine viel sanftere und elegantere\nErscheinung als ich. Vielleicht sollte ich von\nEuch lernen.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x0C\nエイリーク\nSei einfach du selbst, Nel. Ich tue auch\nnichts anderes.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nWenn ich ehrlich bin, muss ich zugeben, dass\nich kämpfen nicht mag. Doch ich tue es, weil\nich für uns eine bessere Zukunft schaffen will.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x06\x04エル\nEure Abscheu vor dem Kämpfen veranschaulicht\nEure Güte. Und Euer Grund, in den Kampf zu\nziehen, umso mehr.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x06\x04エル\nIch muss zugeben, dass mir Eure sanfte Art\nam Anfang Sorgen bereitete. Ich befürchtete,\ndass Ihr leicht verletzt werden könntet.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x06\x04エル\nAber nun weiß ich, warum die Kleinen unter uns\nEuch so verehren, Eirika. Euer Herz ist ebenso\nwarm wie stark.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x0C\nエイリーク\nDein Lob ist mir irgendwie unangenehm, aber\nsollte ich diesen Eindruck bei dir hinterlassen\nhaben, bin ich dankbar dafür.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x0C\nエイリーク\nIch schätze deine Empathie und wie sehr du\njene beschützt, die du liebst. Ich bin glücklich,\ndich kennengelernt zu haben.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nラファール\nDu... Du bist mir ein Rätsel. Du bist im Kampf\nso erbittert, und wirkst doch so schwach.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x0C\nエイリーク\nSollte das... ein Kompliment sein?\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nObwohl mein Bruder und ich uns nur selten\nsehen, habe ich manchmal das Gefühl, als\nwache er über mich.\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x0C\nラファール\nKlingt nach einem pflichtbewussten Bruder. Ich\nfrage mich, ob meine Schwester jemals so über\nmich dachte.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nラファール\nHast du jemals deinen Bruder nicht gemocht?\nIch habe meine Schwester einst gehasst, doch\ndas liegt nun in der Vergangenheit.\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0C\nエイリーク\nMein Bruder hat mich oft geneckt, aber ich habe\nniemals aufgehört, ihn zu lieben.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x0C\nエイリーク\nFalls du dir Sorgen wegen Nel machst, solltest\ndu einfach mit ihr reden. Immerhin ist sie deine\nFamilie.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nGlücklicherweise streiten meine Schwester und\nich uns nicht mehr. Aber sollte mich etwas\nanderes belasten, werde ich zu dir kommen.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nDu wirkst so zurückhaltend, Eirika. Ich finde,\ndu solltest dir mehr Geltung verschaffen.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x0C\nエイリーク\nMir mehr Geltung verschaffen? Ist das nötig?\nIch bin zufrieden, wenn ich euch allen einfach\nhelfend zur Seite stehen kann.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nIch würde zu gerne mal deinem Bruder guten\nTag sagen, aber ihn sieht man ja nur während\neiner Schlacht. Wie ist er denn so?\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x0C\nエイリーク\nEphraim ist stark und gütig. Ich wünschte nur,\ner würde endlich aufhören, mich wie ein kleines\nKind zu behandeln.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nFür mich sind meine Verbündeten Familie. Ich\nwürde alles tun, damit ihnen nichts geschieht.\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x0C\nエイリーク\nSo stehe ich ebenfalls zu meinen Freunden.\nIch bin sicher, dass diese Überzeugung uns\nstärker macht.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x0C\nエイリーク\nIch werde dir meine Stärke leihen, Zelestia,\ndamit du jene, die dir wichtig sind, beschützen\nkannst. Du kannst dich auf mich verlassen.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nIch danke dir, Eirika. Aber weißt du, ich möchte\ndich ebenfalls wie einen Teil meiner Familie\nbeschützen.\x0E\x04\x00\x00
